"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared este)","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)"
04/25/22 12:00:00,20.841,10.580,9.778,140.916
04/25/22 12:15:00,20.039,10.815,10.443,85.747
04/25/22 12:30:00,19.499,11.055,11.073,88.487
04/25/22 12:45:00,19.004,11.209,11.519,80.646
04/25/22 13:00:00,18.646,11.257,12.065,74.970
04/25/22 13:15:00,17.946,11.157,12.171,74.437
04/25/22 13:30:00,17.656,11.394,13.547,75.367
04/25/22 13:45:00,17.663,11.470,15.290,75.861
04/25/22 14:00:00,17.369,11.478,17.424,83.324
04/25/22 14:15:00,17.115,11.393,19.059,85.225
04/25/22 14:30:00,16.909,11.204,19.659,82.359
04/25/22 14:45:00,16.433,10.991,20.314,80.577
04/25/22 15:00:00,16.330,11.134,21.985,81.514
04/25/22 15:15:00,15.880,10.954,21.464,78.756
04/25/22 15:30:00,15.670,11.015,22.630,78.433
04/25/22 15:45:00,15.243,10.780,21.415,76.750
04/25/22 16:00:00,14.274,10.436,18.809,73.200
04/25/22 16:15:00,13.858,10.357,19.598,72.259
04/25/22 16:30:00,13.320,10.041,15.949,70.494
04/25/22 16:45:00,12.900,9.725,14.378,67.775
04/25/22 17:00:00,12.065,9.007,12.959,65.957
04/25/22 17:15:00,10.965,8.038,11.573,63.817
04/25/22 17:30:00,10.066,7.083,10.458,63.411
04/25/22 17:45:00,9.179,6.301,9.398,63.091
04/25/22 18:00:00,8.504,5.739,8.638,60.971
04/25/22 18:15:00,7.998,5.213,8.012,60.710
04/25/22 18:30:00,7.437,4.718,7.381,56.953
04/25/22 18:45:00,6.941,4.267,6.838,57.550
04/25/22 19:00:00,6.401,3.817,6.279,56.062
04/25/22 19:15:00,6.057,3.427,5.810,54.503
04/25/22 19:30:00,5.576,2.988,5.258,55.041
04/25/22 19:45:00,5.058,2.575,4.671,55.774
04/25/22 20:00:00,4.686,2.329,4.304,54.676
04/25/22 20:15:00,4.373,2.003,3.783,54.480
04/25/22 20:30:00,3.760,1.695,3.181,54.857
04/25/22 20:45:00,3.214,1.372,2.717,54.484
04/25/22 21:00:00,3.022,1.170,2.625,54.376
04/25/22 21:15:00,2.717,0.886,2.302,54.035
04/25/22 21:30:00,2.615,0.783,2.213,54.129
04/25/22 21:45:00,2.526,0.663,2.022,53.711
04/25/22 22:00:00,2.148,0.330,1.498,53.535
04/25/22 22:15:00,1.732,0.167,1.151,53.123
04/25/22 22:30:00,1.530,0.056,1.014,53.457
04/25/22 22:45:00,1.134,-0.130,0.641,52.737
04/25/22 23:00:00,0.763,-0.443,0.276,52.402
04/25/22 23:15:00,0.408,-0.646,-0.003,52.689
04/25/22 23:30:00,0.340,-0.867,-0.069,52.773
04/25/22 23:45:00,-0.005,-1.230,-0.301,52.894
04/26/22 00:00:00,-0.201,-1.467,-0.527,52.789
04/26/22 00:15:00,-0.469,-1.708,-0.748,52.782
04/26/22 00:30:00,-0.625,-1.918,-0.909,52.705
