"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664782, LBL: S1)","Temp, °C (SEN S/N: 20664782, LBL: S13)","Temp, °C (SEN S/N: 20664782, LBL: S7)","Temp, °C (SEN S/N: 20664782, LBL: S3)"
12/03/20 10:15:00,12.515,12.524,11.895,12.637
12/03/20 10:30:00,12.585,12.462,11.863,12.559
12/03/20 10:45:00,12.677,12.538,11.892,12.603
12/03/20 11:00:00,12.858,12.683,11.975,12.716
12/03/20 11:15:00,13.010,12.847,12.075,12.844
12/03/20 11:30:00,13.076,12.968,12.154,12.942
12/03/20 11:45:00,13.162,13.109,12.249,13.078
12/03/20 12:00:00,13.198,13.200,12.317,13.166
12/03/20 12:15:00,13.245,13.294,12.385,13.263
12/03/20 12:30:00,13.311,13.407,12.464,13.382
12/03/20 12:45:00,13.386,13.524,12.548,13.506
12/03/20 13:00:00,13.461,13.634,12.634,13.626
12/03/20 13:15:00,13.547,13.751,12.726,13.754
12/03/20 13:30:00,13.623,13.859,12.812,13.861
12/03/20 13:45:00,13.681,13.933,12.879,13.937
12/03/20 14:00:00,13.717,13.979,12.921,13.979
12/03/20 14:15:00,13.741,14.005,12.948,14.009
12/03/20 14:30:00,13.745,14.014,12.960,14.015
12/03/20 14:45:00,13.666,13.912,12.900,13.924
12/03/20 15:00:00,13.572,13.811,12.826,13.829
12/03/20 15:15:00,13.481,13.724,12.749,13.741
12/03/20 15:30:00,13.386,13.632,12.671,13.655
12/03/20 15:45:00,13.326,13.587,12.627,13.616
12/03/20 16:00:00,13.278,13.556,12.591,13.587
12/03/20 16:15:00,13.222,13.512,12.548,13.550
12/03/20 16:30:00,13.156,13.454,12.497,13.497
12/03/20 16:45:00,13.076,13.379,12.434,13.431
12/03/20 17:00:00,12.989,13.294,12.360,13.354
12/03/20 17:15:00,12.895,13.204,12.281,13.275
12/03/20 17:30:00,12.797,13.109,12.198,13.189
12/03/20 17:45:00,12.696,13.013,12.113,13.100
12/03/20 18:00:00,12.592,12.918,12.028,13.011
12/03/20 18:15:00,12.493,12.826,11.947,12.925
12/03/20 18:30:00,12.394,12.739,11.866,12.841
12/03/20 18:45:00,12.302,12.656,11.790,12.761
12/03/20 19:00:00,12.214,12.580,11.719,12.686
12/03/20 19:15:00,12.131,12.506,11.651,12.616
12/03/20 19:30:00,12.053,12.438,11.586,12.553
12/03/20 19:45:00,11.977,12.372,11.525,12.491
12/03/20 20:00:00,11.903,12.310,11.467,12.429
12/03/20 20:15:00,11.833,12.251,11.412,12.370
12/03/20 20:30:00,11.766,12.196,11.361,12.314
12/03/20 20:45:00,11.704,12.146,11.315,12.263
12/03/20 21:00:00,11.646,12.099,11.272,12.216
12/03/20 21:15:00,11.590,12.054,11.231,12.169
12/03/20 21:30:00,11.535,12.010,11.193,12.124
12/03/20 21:45:00,11.482,11.968,11.157,12.080
12/03/20 22:00:00,11.434,11.927,11.125,12.039
12/03/20 22:15:00,11.388,11.889,11.094,12.001
12/03/20 22:30:00,11.344,11.851,11.065,11.965
12/03/20 22:45:00,11.303,11.815,11.040,11.930
12/03/20 23:00:00,11.266,11.783,11.018,11.900
12/03/20 23:15:00,11.231,11.752,10.997,11.871
12/03/20 23:30:00,11.199,11.724,10.979,11.843
12/03/20 23:45:00,11.167,11.698,10.960,11.818
12/04/20 00:00:00,11.137,11.674,10.944,11.790
12/04/20 00:15:00,11.105,11.648,10.924,11.763
