"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664782, LBL: S1)","Temp, °C (SEN S/N: 20664782, LBL: S13)","Temp, °C (SEN S/N: 20664782, LBL: S7)","Temp, °C (SEN S/N: 20664782, LBL: S3)"
12/19/20 20:00:00,13.741,13.673,12.897,13.985
12/19/20 20:15:00,14.038,14.194,13.163,15.024
12/19/20 20:30:00,14.894,15.311,13.939,16.368
12/19/20 20:45:00,14.915,15.239,13.985,16.099
12/19/20 21:00:00,14.774,15.015,13.861,15.757
12/19/20 21:15:00,14.622,14.810,13.720,15.478
12/19/20 21:30:00,14.480,14.635,13.587,15.252
12/19/20 21:45:00,14.349,14.486,13.467,15.064
12/19/20 22:00:00,14.229,14.354,13.354,14.901
12/19/20 22:15:00,14.120,14.235,13.252,14.756
12/19/20 22:30:00,14.017,14.128,13.154,14.628
12/19/20 22:45:00,13.919,14.027,13.063,14.509
12/19/20 23:00:00,13.826,13.931,12.975,14.400
12/19/20 23:15:00,13.736,13.841,12.892,14.297
12/19/20 23:30:00,13.651,13.756,12.811,14.201
12/19/20 23:45:00,13.566,13.673,12.733,14.108
12/20/20 00:00:00,13.485,13.590,12.654,14.018
12/20/20 00:15:00,13.407,13.514,12.579,13.933
12/20/20 00:30:00,13.332,13.439,12.505,13.852
12/20/20 00:45:00,13.257,13.365,12.432,13.772
12/20/20 01:00:00,13.183,13.291,12.360,13.693
12/20/20 01:15:00,13.111,13.218,12.289,13.616
12/20/20 01:30:00,13.038,13.147,12.219,13.539
12/20/20 01:45:00,12.969,13.076,12.149,13.466
12/20/20 02:00:00,12.900,13.008,12.081,13.395
12/20/20 02:15:00,12.834,12.942,12.015,13.326
12/20/20 02:30:00,12.769,12.877,11.950,13.260
12/20/20 02:45:00,12.707,12.815,11.887,13.195
12/20/20 03:00:00,12.647,12.755,11.825,13.132
12/20/20 03:15:00,12.586,12.695,11.765,13.069
12/20/20 03:30:00,12.527,12.634,11.705,13.007
12/20/20 03:45:00,12.467,12.573,11.645,12.942
12/20/20 04:00:00,12.405,12.509,11.584,12.877
12/20/20 04:15:00,12.346,12.449,11.523,12.815
12/20/20 04:30:00,12.287,12.390,11.464,12.755
12/20/20 04:45:00,12.230,12.331,11.408,12.695
12/20/20 05:00:00,12.172,12.273,11.350,12.636
12/20/20 05:15:00,12.116,12.216,11.294,12.577
12/20/20 05:30:00,12.063,12.160,11.239,12.521
12/20/20 05:45:00,12.015,12.112,11.190,12.471
12/20/20 06:00:00,11.972,12.072,11.146,12.428
12/20/20 06:15:00,11.943,12.046,11.114,12.399
12/20/20 06:30:00,11.928,12.036,11.094,12.382
12/20/20 06:45:00,11.919,12.030,11.081,12.375
12/20/20 07:00:00,11.919,12.034,11.076,12.375
12/20/20 07:15:00,11.931,12.054,11.085,12.391
12/20/20 07:30:00,11.956,12.086,11.107,12.419
12/20/20 07:45:00,11.990,12.128,11.145,12.459
12/20/20 08:00:00,12.039,12.186,11.207,12.515
12/20/20 08:15:00,12.106,12.258,11.272,12.586
12/20/20 08:30:00,12.187,12.343,11.341,12.668
12/20/20 08:45:00,12.613,12.743,11.754,13.323
12/20/20 09:00:00,15.287,15.631,14.285,16.894
