"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664782, LBL: S1)","Temp, °C (SEN S/N: 20664782, LBL: S13)","Temp, °C (SEN S/N: 20664782, LBL: S7)","Temp, °C (SEN S/N: 20664782, LBL: S3)"
12/21/20 14:00:00,14.351,14.388,13.236,14.758
12/21/20 14:15:00,14.258,14.307,13.151,14.682
12/21/20 14:30:00,14.238,14.295,13.124,14.613
12/21/20 14:45:00,14.155,14.194,13.054,14.439
12/21/20 15:00:00,14.107,14.167,13.013,14.439
12/21/20 15:15:00,14.111,14.222,13.011,14.517
12/21/20 15:30:00,14.128,14.276,13.022,14.577
12/21/20 15:45:00,14.117,14.289,13.011,14.590
12/21/20 16:00:00,14.086,14.276,12.987,14.580
12/21/20 16:15:00,14.018,14.214,12.933,14.526
12/21/20 16:30:00,13.939,14.137,12.865,14.456
12/21/20 16:45:00,13.844,14.042,12.785,14.370
12/21/20 17:00:00,13.742,13.943,12.698,14.276
12/21/20 17:15:00,13.638,13.846,12.610,14.180
12/21/20 17:30:00,13.535,13.748,12.526,14.087
12/21/20 17:45:00,13.437,13.658,12.446,14.000
12/21/20 18:00:00,13.345,13.575,12.370,13.921
12/21/20 18:15:00,13.258,13.497,12.299,13.844
12/21/20 18:30:00,13.175,13.425,12.230,13.772
12/21/20 18:45:00,13.097,13.357,12.166,13.705
12/21/20 19:00:00,13.023,13.291,12.106,13.640
12/21/20 19:15:00,12.954,13.228,12.048,13.580
12/21/20 19:30:00,12.888,13.171,11.993,13.523
12/21/20 19:45:00,12.825,13.114,11.943,13.467
12/21/20 20:00:00,12.764,13.061,11.893,13.413
12/21/20 20:15:00,12.707,13.010,11.848,13.362
12/21/20 20:30:00,12.653,12.962,11.804,13.314
12/21/20 20:45:00,12.600,12.915,11.763,13.266
12/21/20 21:00:00,12.550,12.871,11.724,13.221
12/21/20 21:15:00,12.502,12.828,11.687,13.177
12/21/20 21:30:00,12.456,12.787,11.651,13.135
12/21/20 21:45:00,12.412,12.746,11.617,13.093
12/21/20 22:00:00,12.369,12.707,11.584,13.054
12/21/20 22:15:00,12.326,12.669,11.551,13.014
12/21/20 22:30:00,12.287,12.633,11.520,12.977
12/21/20 22:45:00,12.249,12.598,11.490,12.942
12/21/20 23:00:00,12.213,12.564,11.461,12.907
12/21/20 23:15:00,12.178,12.530,11.434,12.873
12/21/20 23:30:00,12.143,12.499,11.408,12.840
12/21/20 23:45:00,12.109,12.465,11.380,12.805
12/22/20 00:00:00,12.075,12.434,11.355,12.770
12/22/20 00:15:00,12.043,12.402,11.329,12.737
12/22/20 00:30:00,12.012,12.370,11.303,12.704
12/22/20 00:45:00,11.981,12.340,11.279,12.671
12/22/20 01:00:00,11.950,12.308,11.253,12.639
12/22/20 01:15:00,11.921,12.278,11.228,12.607
12/22/20 01:30:00,11.892,12.248,11.204,12.577
12/22/20 01:45:00,11.863,12.217,11.181,12.547
12/22/20 02:00:00,11.836,12.187,11.157,12.517
12/22/20 02:15:00,11.809,12.158,11.134,12.487
12/22/20 02:30:00,11.781,12.130,11.110,12.456
12/22/20 02:45:00,11.754,12.099,11.087,12.426
12/22/20 03:00:00,11.727,12.069,11.062,12.396
