"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2432430, LBL: T1)","Temp, °C (SEN S/N: 2432430, LBL: T2)","Temp, °C (SEN S/N: 2432430, LBL: T3)","Temp, °C (SEN S/N: 2432430, LBL: T4)"
02/21/20 11:00:00,11.540,9.854,8.245,11.394
02/21/20 11:15:00,11.589,9.854,8.394,11.321
02/21/20 11:30:00,11.516,9.952,8.444,11.102
02/21/20 11:45:00,11.516,10.051,8.543,11.151
02/21/20 12:00:00,11.443,10.051,8.618,11.175
02/21/20 12:15:00,11.297,9.952,8.543,11.005
02/21/20 12:30:00,11.151,9.879,8.444,10.736
02/21/20 12:45:00,11.053,9.805,8.394,10.663
02/21/20 13:00:00,11.053,9.731,8.444,10.761
02/21/20 13:15:00,11.029,9.632,8.319,10.761
02/21/20 13:30:00,10.712,9.460,8.245,10.467
02/21/20 13:45:00,10.173,9.312,8.120,10.100
02/21/20 14:00:00,9.805,9.238,8.020,9.903
02/21/20 14:15:00,9.657,9.213,8.045,9.805
02/21/20 14:30:00,9.558,9.238,8.095,9.879
02/21/20 14:45:00,9.361,9.213,8.120,9.829
02/21/20 15:00:00,9.064,9.089,8.020,9.558
02/21/20 15:15:00,8.866,8.916,8.020,9.485
02/21/20 15:30:00,8.643,8.767,7.970,9.336
02/21/20 15:45:00,8.444,8.693,7.945,9.238
02/21/20 16:00:00,8.319,8.593,7.870,9.114
02/21/20 16:15:00,8.195,8.519,7.820,9.040
02/21/20 16:30:00,8.095,8.444,7.770,8.990
02/21/20 16:45:00,7.945,8.369,7.695,8.866
02/21/20 17:00:00,7.795,8.245,7.594,8.693
02/21/20 17:15:00,7.619,8.095,7.494,8.469
02/21/20 17:30:00,7.444,7.945,7.343,8.270
02/21/20 17:45:00,7.293,7.820,7.242,8.095
02/21/20 18:00:00,7.192,7.695,7.116,7.945
02/21/20 18:15:00,7.041,7.544,7.015,7.770
02/21/20 18:30:00,6.864,7.393,6.864,7.594
02/21/20 18:45:00,6.712,7.268,6.763,7.444
02/21/20 19:00:00,6.585,7.167,6.661,7.318
02/21/20 19:15:00,6.509,7.066,6.585,7.242
02/21/20 19:30:00,6.484,6.990,6.509,7.167
02/21/20 19:45:00,6.458,6.940,6.458,7.142
02/21/20 20:00:00,6.433,6.889,6.408,7.066
02/21/20 20:15:00,6.408,6.864,6.331,7.015
02/21/20 20:30:00,6.382,6.813,6.306,6.965
02/21/20 20:45:00,6.331,6.712,6.179,6.839
02/21/20 21:00:00,6.281,6.611,6.051,6.712
02/21/20 21:15:00,6.255,6.509,5.924,6.611
02/21/20 21:30:00,6.179,6.433,5.821,6.509
02/21/20 21:45:00,6.153,6.357,5.745,6.433
02/21/20 22:00:00,6.051,6.204,5.642,6.357
02/21/20 22:15:00,5.898,6.026,5.539,6.230
02/21/20 22:30:00,5.770,5.847,5.488,6.128
02/21/20 22:45:00,5.642,5.719,5.437,6.077
02/21/20 23:00:00,5.591,5.668,5.385,6.026
02/21/20 23:15:00,5.565,5.616,5.334,5.975
02/21/20 23:30:00,5.539,5.591,5.308,5.949
02/21/20 23:45:00,5.488,5.539,5.231,5.821
02/22/20 00:00:00,5.462,5.488,5.179,5.796
