"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20720662, LBL: Int Modulo)","HR, % (SEN S/N: 20720662, LBL: Int Modulo)","CO2, ppm (SEN S/N: 20720662, LBL: Int Modulo )"
12/02/20 10:00:00,12.268,59.570,849
12/02/20 10:00:30,12.340,59.668,857
12/02/20 10:01:00,12.340,59.741,869
12/02/20 10:01:30,12.340,59.717,867
12/02/20 10:02:00,12.340,59.717,860
12/02/20 10:02:30,12.389,59.668,863
12/02/20 10:03:00,12.413,59.644,854
12/02/20 10:03:30,12.413,59.570,870
12/02/20 10:04:00,12.437,59.546,860
12/02/20 10:04:30,12.437,59.497,865
12/02/20 10:05:00,12.485,59.448,866
12/02/20 10:05:30,12.534,59.424,845
12/02/20 10:06:00,12.534,59.351,851
12/02/20 10:06:30,12.509,59.375,869
12/02/20 10:07:00,12.534,59.351,859
12/02/20 10:07:30,12.606,59.302,857
12/02/20 10:08:00,12.582,59.302,848
12/02/20 10:08:30,12.606,59.326,857
12/02/20 10:09:00,12.630,59.326,848
12/02/20 10:09:30,12.630,59.326,856
12/02/20 10:10:00,12.654,59.326,848
12/02/20 10:10:30,12.678,59.351,843
12/02/20 10:11:00,12.703,59.375,836
12/02/20 10:11:30,12.703,59.448,848
12/02/20 10:12:00,12.775,59.521,835
12/02/20 10:12:30,12.775,59.595,840
12/02/20 10:13:00,12.944,67.236,926
12/02/20 10:13:30,13.209,70.728,908
12/02/20 10:14:00,13.449,73.022,843
12/02/20 10:14:30,13.642,70.239,853
12/02/20 10:15:00,13.834,70.435,849
12/02/20 10:15:30,14.002,69.702,854
12/02/20 10:16:00,14.146,68.628,863
12/02/20 10:16:30,14.314,67.529,879
12/02/20 10:17:00,14.457,68.457,870
12/02/20 10:17:30,14.625,66.406,902
12/02/20 10:18:00,14.768,64.258,911
12/02/20 10:18:30,14.888,63.818,920
12/02/20 10:19:00,15.008,62.964,906
12/02/20 10:19:30,15.103,61.450,893
12/02/20 10:20:00,15.199,60.791,890
12/02/20 10:20:30,15.294,60.376,885
12/02/20 10:21:00,15.366,58.618,864
12/02/20 10:21:30,15.461,58.423,865
12/02/20 10:22:00,15.533,58.301,865
12/02/20 10:22:30,15.676,61.841,860
12/02/20 10:23:00,15.796,65.063,862
12/02/20 10:23:30,15.915,66.089,868
12/02/20 10:24:00,15.986,63.232,866
12/02/20 10:24:30,16.106,62.915,881
12/02/20 10:25:00,16.177,60.962,873
12/02/20 10:25:30,16.272,60.376,899
12/02/20 10:26:00,16.344,58.691,936
12/02/20 10:26:30,16.415,59.644,919
12/02/20 10:27:00,16.534,58.496,917
12/02/20 10:27:30,16.582,57.056,909
12/02/20 10:28:00,16.630,56.201,905
12/02/20 10:28:30,16.701,55.103,884
12/02/20 10:29:00,16.725,54.272,860
12/02/20 10:29:30,16.773,53.467,852
12/02/20 10:30:00,16.796,52.344,837
12/02/20 10:30:30,16.820,51.465,843
12/02/20 10:31:00,16.844,51.221,839
12/02/20 10:31:30,16.844,50.391,838
12/02/20 10:32:00,16.892,49.292,823
12/02/20 10:32:30,16.915,48.779,796
12/02/20 10:33:00,16.915,48.779,821
12/02/20 10:33:30,17.082,47.974,812
12/02/20 10:34:00,16.987,47.925,828
12/02/20 10:34:30,17.034,47.876,828
12/02/20 10:35:00,17.058,48.096,821
12/02/20 10:35:30,17.082,48.218,852
12/02/20 10:36:00,17.177,48.584,865
12/02/20 10:36:30,17.249,49.292,860
12/02/20 10:37:00,17.296,50.293,900
12/02/20 10:37:30,17.368,50.635,887
12/02/20 10:38:00,17.439,51.221,909
12/02/20 10:38:30,17.510,51.416,922
12/02/20 10:39:00,17.605,50.977,910
12/02/20 10:39:30,17.653,50.635,924
12/02/20 10:40:00,17.772,50.781,961
12/02/20 10:40:30,17.819,51.221,1023
12/02/20 10:41:00,17.867,51.172,1064
12/02/20 10:41:30,17.986,51.392,1052
12/02/20 10:42:00,18.033,51.416,1049
12/02/20 10:42:30,18.081,50.977,1037
12/02/20 10:43:00,18.152,50.610,1035
12/02/20 10:43:30,18.224,50.342,1021
12/02/20 10:44:00,18.271,49.854,988
12/02/20 10:44:30,18.295,49.390,1008
12/02/20 10:45:00,18.343,49.097,1008
12/02/20 10:45:30,18.390,48.999,1023
12/02/20 10:46:00,18.461,48.682,1000
12/02/20 10:46:30,18.485,48.511,998
12/02/20 10:47:00,18.533,48.315,1010
12/02/20 10:47:30,18.580,48.437,1000
12/02/20 10:48:00,18.628,48.633,974
12/02/20 10:48:30,18.675,49.341,1002
12/02/20 10:49:00,18.747,49.512,1024
12/02/20 10:49:30,18.794,48.657,1009
12/02/20 10:50:00,18.818,48.462,1022
12/02/20 10:50:30,18.818,48.047,1028
12/02/20 10:51:00,18.866,47.827,1020
12/02/20 10:51:30,18.866,47.607,1006
12/02/20 10:52:00,18.913,47.852,1018
12/02/20 10:52:30,18.937,48.267,1029
12/02/20 10:53:00,18.961,49.561,1035
12/02/20 10:53:30,19.008,49.976,1055
12/02/20 10:54:00,19.080,49.731,1046
12/02/20 10:54:30,19.103,50.049,1037
