"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/03/20 10:00:00,,,,23.644,22.619
12/03/20 10:15:00,16.286,6.916,8.353,,
12/03/20 10:30:00,16.586,7.381,8.902,,
12/03/20 10:45:00,16.844,7.824,9.457,,
12/03/20 11:00:00,17.376,8.447,10.184,22.017,21.281
12/03/20 11:15:00,17.934,9.179,11.030,,
12/03/20 11:30:00,18.420,10.017,11.643,,
12/03/20 11:45:00,18.892,10.863,12.157,,
12/03/20 12:00:00,19.138,11.467,12.455,21.044,20.521
12/03/20 12:15:00,19.227,11.900,12.678,,
12/03/20 12:30:00,19.322,12.717,13.099,,
12/03/20 12:45:00,19.445,13.918,13.595,,
12/03/20 13:00:00,19.512,15.119,14.214,20.831,20.424
12/03/20 13:15:00,19.621,16.656,14.916,,
12/03/20 13:30:00,19.897,17.974,15.560,,
12/03/20 13:45:00,20.091,19.042,16.070,,
12/03/20 14:00:00,20.170,19.209,16.140,20.831,19.930
12/03/20 14:15:00,19.835,19.215,16.153,,
12/03/20 14:30:00,19.683,19.585,16.235,,
12/03/20 14:45:00,19.248,18.389,15.699,,
12/03/20 15:00:00,18.870,17.703,15.318,19.350,18.503
12/03/20 15:15:00,18.583,17.549,15.139,,
12/03/20 15:30:00,18.439,17.699,15.043,,
12/03/20 15:45:00,18.195,18.553,15.194,,
12/03/20 16:00:00,17.831,19.688,15.163,18.323,17.179
12/03/20 16:15:00,17.430,20.379,14.970,,
12/03/20 16:30:00,17.012,20.699,14.676,,
12/03/20 16:45:00,16.513,20.734,14.298,,
12/03/20 17:00:00,15.943,20.370,13.739,16.606,14.750
12/03/20 17:15:00,15.373,19.918,13.129,,
12/03/20 17:30:00,14.782,19.243,12.458,,
12/03/20 17:45:00,14.153,18.100,11.742,,
12/03/20 18:00:00,13.515,16.802,11.029,14.098,12.397
12/03/20 18:15:00,12.898,15.311,10.410,,
12/03/20 18:30:00,12.308,13.978,9.875,,
12/03/20 18:45:00,11.763,12.919,9.403,,
12/03/20 19:00:00,11.318,12.122,8.993,11.934,10.753
12/03/20 19:15:00,10.947,11.488,8.646,,
