"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/19/20 20:00:00,8.902,5.491,7.660,10.357,9.777
12/19/20 20:15:00,8.694,5.325,7.462,,
12/19/20 20:30:00,8.534,5.239,7.362,,
12/19/20 20:45:00,8.395,5.160,7.255,,
12/19/20 21:00:00,8.255,5.095,7.151,9.651,8.869
12/19/20 21:15:00,8.084,4.984,7.001,,
12/19/20 21:30:00,7.843,4.793,6.729,,
12/19/20 21:45:00,7.563,4.590,6.406,,
12/19/20 22:00:00,7.300,4.395,6.126,8.585,7.799
12/19/20 22:15:00,7.067,4.215,5.882,,
12/19/20 22:30:00,6.805,4.020,5.627,,
12/19/20 22:45:00,6.560,3.837,5.403,,
12/19/20 23:00:00,6.318,3.655,5.192,7.534,6.843
12/19/20 23:15:00,6.088,3.497,4.993,,
12/19/20 23:30:00,5.914,3.375,4.830,,
12/19/20 23:45:00,5.763,3.247,4.670,,
12/20/20 00:00:00,5.586,3.097,4.495,6.633,6.076
12/20/20 00:15:00,5.403,2.971,4.329,,
12/20/20 00:30:00,5.248,2.851,4.179,,
12/20/20 00:45:00,5.127,2.755,4.066,,
12/20/20 01:00:00,5.002,2.657,3.932,5.909,5.432
12/20/20 01:15:00,4.869,2.550,3.804,,
12/20/20 01:30:00,4.736,2.430,3.676,,
12/20/20 01:45:00,4.620,2.361,3.592,,
12/20/20 02:00:00,4.488,2.304,3.500,5.280,4.845
12/20/20 02:15:00,4.366,2.240,3.401,,
12/20/20 02:30:00,4.242,2.180,3.309,,
12/20/20 02:45:00,4.104,2.106,3.176,,
12/20/20 03:00:00,3.994,2.025,3.060,4.688,4.229
12/20/20 03:15:00,3.884,1.929,2.946,,
12/20/20 03:30:00,3.766,1.872,2.831,,
12/20/20 03:45:00,3.628,1.830,2.678,,
12/20/20 04:00:00,3.483,1.789,2.523,4.043,3.696
12/20/20 04:15:00,3.360,1.757,2.406,,
12/20/20 04:30:00,3.267,1.727,2.324,,
12/20/20 04:45:00,3.178,1.698,2.254,,
12/20/20 05:00:00,3.075,1.666,2.166,3.599,3.475
12/20/20 05:15:00,2.976,1.635,2.076,,
12/20/20 05:30:00,2.933,1.617,2.081,,
12/20/20 05:45:00,2.994,1.601,2.121,,
12/20/20 06:00:00,3.310,1.595,2.205,9.900,3.960
12/20/20 06:15:00,4.467,1.605,2.381,,
12/20/20 06:30:00,6.420,1.629,2.627,,
12/20/20 06:45:00,8.291,1.671,2.946,,
12/20/20 07:00:00,9.800,1.781,3.244,16.975,11.752
12/20/20 07:15:00,11.367,2.029,3.617,,
12/20/20 07:30:00,12.720,2.411,4.066,,
12/20/20 07:45:00,13.975,2.840,4.555,,
12/20/20 08:00:00,15.070,3.256,5.045,21.488,18.397
12/20/20 08:15:00,15.992,3.641,5.529,,
12/20/20 08:30:00,16.903,4.050,6.035,,
12/20/20 08:45:00,17.732,4.438,6.544,,
12/20/20 09:00:00,18.228,4.846,7.063,23.304,22.063
12/20/20 09:15:00,17.601,5.256,7.575,,
12/20/20 09:30:00,17.113,5.695,8.123,,
12/20/20 09:45:00,16.997,6.220,8.733,,
12/20/20 10:00:00,17.158,6.743,9.369,23.630,22.287
12/20/20 10:15:00,17.452,7.230,9.907,,
12/20/20 10:30:00,17.645,7.682,10.464,,
12/20/20 10:45:00,17.867,8.038,10.930,,
12/20/20 11:00:00,18.188,8.391,11.525,21.627,21.154
12/20/20 11:15:00,18.656,8.847,12.171,,
12/20/20 11:30:00,18.980,9.216,12.689,,
12/20/20 11:45:00,19.233,9.711,13.309,,
12/20/20 12:00:00,19.417,10.176,13.790,21.621,21.082
12/20/20 12:15:00,19.921,10.759,14.599,,
12/20/20 12:30:00,20.058,11.212,15.063,,
12/20/20 12:45:00,19.853,11.329,15.091,,
12/20/20 13:00:00,19.219,10.948,14.845,20.896,15.868
12/20/20 13:15:00,18.408,10.423,14.394,,
12/20/20 13:30:00,16.396,9.396,12.748,,
12/20/20 13:45:00,13.916,8.411,11.285,,
12/20/20 14:00:00,12.214,7.727,10.420,14.450,13.011
12/20/20 14:15:00,11.491,7.196,9.917,,
12/20/20 14:30:00,11.020,6.759,9.401,,
12/20/20 14:45:00,10.696,6.430,8.916,,
12/20/20 15:00:00,10.466,6.266,8.722,12.734,11.857
12/20/20 15:15:00,10.216,6.116,8.526,,
12/20/20 15:30:00,9.897,5.918,8.290,,
12/20/20 15:45:00,9.624,5.797,8.123,,
12/20/20 16:00:00,9.359,5.653,7.895,11.441,10.107
12/20/20 16:15:00,8.875,5.470,7.599,,
12/20/20 16:30:00,8.377,5.195,7.259,,
12/20/20 16:45:00,7.956,4.995,7.028,,
12/20/20 17:00:00,7.704,4.888,6.894,9.935,9.706
12/20/20 17:15:00,7.596,4.819,6.834,,
12/20/20 17:30:00,7.556,4.809,6.823,,
12/20/20 17:45:00,7.501,4.793,6.773,,
12/20/20 18:00:00,7.398,4.731,6.648,9.564,9.091
12/20/20 18:15:00,7.269,4.654,6.504,,
12/20/20 18:30:00,7.176,4.611,6.417,,
12/20/20 18:45:00,7.099,4.584,6.337,,
12/20/20 19:00:00,7.001,4.561,6.250,8.961,8.640
12/20/20 19:15:00,6.909,4.534,6.180,,
12/20/20 19:30:00,6.834,4.499,6.116,,
12/20/20 19:45:00,6.772,4.472,6.051,,
12/20/20 20:00:00,6.736,4.464,6.021,8.563,8.386
12/20/20 20:15:00,6.743,4.475,6.024,,
12/20/20 20:30:00,6.750,4.501,6.029,,
12/20/20 20:45:00,6.742,4.514,6.019,,
12/20/20 21:00:00,6.720,4.516,6.000,8.297,8.042
12/20/20 21:15:00,6.693,4.514,5.981,,
12/20/20 21:30:00,6.661,4.509,5.955,,
12/20/20 21:45:00,6.601,4.499,5.914,,
12/20/20 22:00:00,6.526,4.483,5.869,7.942,7.705
12/20/20 22:15:00,6.469,4.477,5.840,,
12/20/20 22:30:00,6.434,4.495,5.843,,
12/20/20 22:45:00,6.380,4.491,5.815,,
12/20/20 23:00:00,6.336,4.491,5.800,7.652,7.550
12/20/20 23:15:00,6.315,4.488,5.792,,
12/20/20 23:30:00,6.288,4.491,5.779,,
12/20/20 23:45:00,6.245,4.483,5.751,,
12/21/20 00:00:00,6.170,4.444,5.672,7.473,7.015
12/21/20 00:15:00,6.027,4.355,5.526,,
12/21/20 00:30:00,5.871,4.232,5.396,,
12/21/20 00:45:00,5.711,4.086,5.222,,
12/21/20 01:00:00,5.581,3.943,5.011,6.843,6.314
12/21/20 01:15:00,5.456,3.829,4.840,,
12/21/20 01:30:00,5.303,3.706,4.738,,
12/21/20 01:45:00,5.174,3.627,4.693,,
12/21/20 02:00:00,5.066,3.558,4.602,6.169,5.669
12/21/20 02:15:00,4.924,3.439,4.438,,
12/21/20 02:30:00,4.762,3.287,4.259,,
12/21/20 02:45:00,4.633,3.155,4.107,,
12/21/20 03:00:00,4.521,3.056,3.974,5.521,5.260
12/21/20 03:15:00,4.418,2.979,3.866,,
12/21/20 03:30:00,4.374,2.944,3.842,,
12/21/20 03:45:00,4.325,2.929,3.850,,
12/21/20 04:00:00,4.241,2.863,3.758,5.184,4.746
12/21/20 04:15:00,4.081,2.683,3.554,,
12/21/20 04:30:00,3.948,2.548,3.418,,
12/21/20 04:45:00,3.894,2.523,3.418,,
12/21/20 05:00:00,3.891,2.536,3.437,5.222,4.654
12/21/20 05:15:00,3.830,2.468,3.347,,
12/21/20 05:30:00,3.784,2.416,3.284,,
12/21/20 05:45:00,4.347,2.389,3.264,,
12/21/20 06:00:00,5.706,2.423,3.330,12.821,6.710
12/21/20 06:15:00,7.360,2.526,3.485,,
12/21/20 06:30:00,9.143,2.702,3.714,,
12/21/20 06:45:00,10.741,2.911,3.966,,
12/21/20 07:00:00,12.089,3.216,4.285,17.312,14.463
12/21/20 07:15:00,13.069,3.612,4.743,,
12/21/20 07:30:00,13.703,3.896,5.044,,
12/21/20 07:45:00,13.934,4.232,5.353,,
12/21/20 08:00:00,13.840,4.512,5.712,17.622,16.096
12/21/20 08:15:00,13.694,5.034,6.372,,
12/21/20 08:30:00,13.245,5.380,6.702,,
12/21/20 08:45:00,12.723,5.563,6.753,,
12/21/20 09:00:00,12.491,5.685,6.834,18.799,15.543
12/21/20 09:15:00,12.577,5.818,7.029,,
12/21/20 09:30:00,12.803,6.102,7.497,,
12/21/20 09:45:00,13.085,6.490,8.032,,
12/21/20 10:00:00,13.330,6.851,8.493,19.990,19.546
12/21/20 10:15:00,13.559,7.096,8.796,,
12/21/20 10:30:00,14.027,7.407,9.193,,
12/21/20 10:45:00,14.408,7.732,9.683,,
12/21/20 11:00:00,14.780,8.121,10.289,19.145,18.730
12/21/20 11:15:00,15.246,8.674,10.994,,
12/21/20 11:30:00,15.743,9.186,11.812,,
