"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/21/20 14:00:00,13.031,9.564,12.376,15.710,15.364
12/21/20 14:15:00,13.726,11.655,12.823,,
12/21/20 14:30:00,13.948,12.758,12.929,,
12/21/20 14:45:00,13.634,13.281,12.754,,
12/21/20 15:00:00,13.419,14.113,12.737,15.212,15.105
12/21/20 15:15:00,13.317,15.046,12.913,,
12/21/20 15:30:00,13.327,15.897,13.153,,
12/21/20 15:45:00,13.303,15.704,13.091,,
12/21/20 16:00:00,13.230,15.539,12.919,15.081,13.850
12/21/20 16:15:00,12.864,14.111,12.329,,
12/21/20 16:30:00,12.416,12.885,11.787,,
12/21/20 16:45:00,11.998,11.906,11.297,,
12/21/20 17:00:00,11.584,11.049,10.789,13.288,12.025
12/21/20 17:15:00,11.184,10.357,10.349,,
12/21/20 17:30:00,10.852,9.840,10.021,,
12/21/20 17:45:00,10.537,9.424,9.769,,
12/21/20 18:00:00,10.254,8.990,9.514,11.801,11.204
12/21/20 18:15:00,9.993,8.613,9.273,,
12/21/20 18:30:00,9.811,8.383,9.121,,
12/21/20 18:45:00,9.595,8.131,8.920,,
12/21/20 19:00:00,9.376,7.904,8.720,10.995,10.472
12/21/20 19:15:00,9.189,7.723,8.556,,
12/21/20 19:30:00,9.032,7.549,8.409,,
12/21/20 19:45:00,8.864,7.338,8.254,,
12/21/20 20:00:00,8.686,7.108,8.085,10.283,9.909
12/21/20 20:15:00,8.535,6.958,7.956,,
12/21/20 20:30:00,8.430,6.846,7.865,,
12/21/20 20:45:00,8.343,6.748,7.795,,
12/21/20 21:00:00,8.265,6.631,7.712,9.808,9.453
12/21/20 21:15:00,8.177,6.522,7.616,,
12/21/20 21:30:00,8.095,6.417,7.511,,
12/21/20 21:45:00,8.017,6.342,7.418,,
12/21/20 22:00:00,7.937,6.271,7.340,9.330,9.104
12/21/20 22:15:00,7.879,6.226,7.289,,
12/21/20 22:30:00,7.837,6.213,7.270,,
12/21/20 22:45:00,7.776,6.202,7.242,,
12/21/20 23:00:00,7.683,6.162,7.171,9.013,8.641
12/21/20 23:15:00,7.594,6.121,7.104,,
12/21/20 23:30:00,7.492,6.056,6.987,,
12/21/20 23:45:00,7.381,5.974,6.857,,
12/22/20 00:00:00,7.285,5.906,6.756,8.518,8.251
12/22/20 00:15:00,7.206,5.858,6.686,,
12/22/20 00:30:00,7.143,5.816,6.631,,
12/22/20 00:45:00,7.086,5.771,6.574,,
12/22/20 01:00:00,7.034,5.739,6.528,8.177,7.953
12/22/20 01:15:00,6.977,5.711,6.485,,
12/22/20 01:30:00,6.927,5.695,6.453,,
12/22/20 01:45:00,6.870,5.664,6.404,,
12/22/20 02:00:00,6.827,5.643,6.372,7.842,7.542
12/22/20 02:15:00,6.791,5.624,6.345,,
12/22/20 02:30:00,6.762,5.605,6.307,,
12/22/20 02:45:00,6.723,5.563,6.247,,
12/22/20 03:00:00,6.685,5.528,6.204,7.506,7.483
12/22/20 03:15:00,6.652,5.497,6.175,,
12/22/20 03:30:00,6.629,5.494,6.175,,
12/22/20 03:45:00,6.617,5.504,6.188,,
12/22/20 04:00:00,6.595,5.501,6.190,7.481,7.437
12/22/20 04:15:00,6.566,5.488,6.183,,
12/22/20 04:30:00,6.534,5.477,6.177,,
12/22/20 04:45:00,6.501,5.464,6.167,,
12/22/20 05:00:00,6.465,5.451,6.154,7.420,7.371
12/22/20 05:15:00,6.436,5.440,6.132,,
12/22/20 05:30:00,6.418,5.433,6.126,,
12/22/20 05:45:00,6.434,5.430,6.135,,
12/22/20 06:00:00,6.458,5.460,6.182,7.647,7.439
12/22/20 06:15:00,6.509,5.526,6.252,,
12/22/20 06:30:00,6.585,5.629,6.364,,
12/22/20 06:45:00,6.660,5.712,6.455,,
12/22/20 07:00:00,6.713,5.781,6.542,8.106,7.715
12/22/20 07:15:00,6.849,5.926,6.715,,
12/22/20 07:30:00,7.003,6.097,6.925,,
12/22/20 07:45:00,7.088,6.180,7.039,,
12/22/20 08:00:00,7.261,6.336,7.225,9.193,8.266
12/22/20 08:15:00,7.582,6.606,7.553,,
12/22/20 08:30:00,7.885,6.905,7.901,,
12/22/20 08:45:00,8.160,7.129,8.146,,
12/22/20 09:00:00,8.417,7.308,8.269,9.546,9.359
12/22/20 09:15:00,8.447,7.294,8.241,,
12/22/20 09:30:00,8.568,7.363,8.346,,
12/22/20 09:45:00,8.678,7.437,8.479,,
12/22/20 10:00:00,9.058,7.788,9.041,11.748,10.010
12/22/20 10:15:00,9.686,8.330,9.844,,
12/22/20 10:30:00,10.043,8.742,10.392,,
12/22/20 10:45:00,10.391,9.121,10.799,,
12/22/20 11:00:00,10.770,9.510,11.082,13.025,12.062
12/22/20 11:15:00,10.945,9.720,11.269,,
12/22/20 11:30:00,11.236,10.053,11.686,,
12/22/20 11:45:00,11.712,10.530,12.266,,
12/22/20 12:00:00,11.766,10.709,12.416,13.592,13.105
12/22/20 12:15:00,11.745,10.658,12.471,,
12/22/20 12:30:00,11.893,10.834,12.701,,
12/22/20 12:45:00,12.171,11.178,13.008,,
12/22/20 13:00:00,12.517,11.557,13.296,14.481,13.891
12/22/20 13:15:00,12.873,11.878,13.569,,
12/22/20 13:30:00,13.297,12.369,13.880,,
12/22/20 13:45:00,13.288,12.292,13.500,,
12/22/20 14:00:00,12.965,11.783,12.659,13.646,13.252
12/22/20 14:15:00,12.770,11.484,12.450,,
12/22/20 14:30:00,12.598,11.320,12.483,,
12/22/20 14:45:00,12.600,11.259,12.520,,
12/22/20 15:00:00,12.405,10.976,12.245,13.031,11.460
12/22/20 15:15:00,11.983,10.368,11.651,,
12/22/20 15:30:00,11.050,9.208,10.689,,
12/22/20 15:45:00,10.248,8.441,10.064,,
12/22/20 16:00:00,9.903,8.056,9.752,11.136,10.420
12/22/20 16:15:00,9.698,7.815,9.555,,
12/22/20 16:30:00,9.470,7.625,9.335,,
12/22/20 16:45:00,9.145,7.272,8.959,,
12/22/20 17:00:00,8.827,6.944,8.608,10.101,9.415
12/22/20 17:15:00,8.543,6.698,8.355,,
12/22/20 17:30:00,8.327,6.479,8.126,,
12/22/20 17:45:00,8.163,6.344,7.962,,
12/22/20 18:00:00,8.001,6.209,7.795,9.254,8.838
12/22/20 18:15:00,7.870,6.108,7.661,,
12/22/20 18:30:00,7.741,6.022,7.564,,
12/22/20 18:45:00,7.632,5.954,7.479,,
12/22/20 19:00:00,7.399,5.823,7.316,8.607,8.184
12/22/20 19:15:00,7.170,5.709,7.189,,
12/22/20 19:30:00,7.067,5.675,7.137,,
12/22/20 19:45:00,7.001,5.661,7.086,,
12/22/20 20:00:00,6.949,5.645,7.037,8.107,7.882
12/22/20 20:15:00,6.857,5.616,6.941,,
12/22/20 20:30:00,6.804,5.594,6.884,,
12/22/20 20:45:00,6.789,5.562,6.834,,
12/22/20 21:00:00,6.751,5.521,6.769,7.793,7.058
12/22/20 21:15:00,6.593,5.440,6.650,,
12/22/20 21:30:00,6.455,5.343,6.514,,
12/22/20 21:45:00,6.360,5.258,6.401,,
12/22/20 22:00:00,6.301,5.200,6.326,6.895,6.680
12/22/20 22:15:00,6.240,5.144,6.248,,
12/22/20 22:30:00,6.183,5.092,6.194,,
12/22/20 22:45:00,6.151,5.056,6.151,,
12/22/20 23:00:00,6.107,5.002,6.086,6.620,6.450
12/22/20 23:15:00,6.059,4.942,6.027,,
12/22/20 23:30:00,6.014,4.903,5.979,,
12/22/20 23:45:00,5.998,4.892,5.966,,
12/23/20 00:00:00,6.001,4.900,5.968,6.460,6.444
12/23/20 00:15:00,5.993,4.901,5.950,,
12/23/20 00:30:00,5.976,4.905,5.949,,
12/23/20 00:45:00,5.970,4.909,5.952,,
12/23/20 01:00:00,5.962,4.905,5.947,6.434,6.322
12/23/20 01:15:00,5.939,4.892,5.925,,
12/23/20 01:30:00,5.886,4.853,5.871,,
12/23/20 01:45:00,5.875,4.837,5.859,,
12/23/20 02:00:00,5.851,4.822,5.840,6.291,5.840
12/23/20 02:15:00,5.800,4.799,5.770,,
12/23/20 02:30:00,5.690,4.701,5.600,,
12/23/20 02:45:00,5.480,4.516,5.350,,
12/23/20 03:00:00,5.308,4.361,5.184,5.653,5.554
12/23/20 03:15:00,5.240,4.294,5.105,,
12/23/20 03:30:00,5.243,4.294,5.150,,
12/23/20 03:45:00,5.250,4.316,5.192,,
12/23/20 04:00:00,5.260,4.338,5.222,5.687,5.622
12/23/20 04:15:00,5.279,4.369,5.260,,
12/23/20 04:30:00,5.292,4.387,5.280,,
12/23/20 04:45:00,5.292,4.394,5.282,,
12/23/20 05:00:00,5.263,4.368,5.211,5.645,5.595
12/23/20 05:15:00,5.211,4.303,5.139,,
12/23/20 05:30:00,5.197,4.283,5.131,,
12/23/20 05:45:00,5.242,4.320,5.190,,
12/23/20 06:00:00,6.384,4.490,5.412,13.580,6.841
12/23/20 06:15:00,8.445,4.709,5.648,,
12/23/20 06:30:00,10.363,4.900,5.832,,
