"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2432430, LBL: T1)","Temp, °C (SEN S/N: 2432430, LBL: T2)","Temp, °C (SEN S/N: 2432430, LBL: T3)","Temp, °C (SEN S/N: 2432430, LBL: T4)"
11/05/20 17:15:00,15.270,43.921,14.529,12.606
11/05/20 17:30:00,14.625,46.099,13.762,11.856
11/05/20 17:45:00,13.906,47.580,12.871,11.053
11/05/20 18:00:00,13.209,48.804,11.832,10.271
11/05/20 18:15:00,12.606,51.489,11.005,9.632
11/05/20 18:30:00,12.098,46.705,10.320,9.114
11/05/20 18:45:00,11.662,44.380,9.756,8.668
11/05/20 19:00:00,11.200,45.877,9.213,8.220
11/05/20 19:15:00,10.736,51.845,8.742,7.795
11/05/20 19:30:00,10.345,72.709,8.344,7.444
11/05/20 19:45:00,9.977,115.398,7.945,7.041
11/05/20 20:00:00,9.534,125.891,7.569,6.661
11/05/20 20:15:00,9.163,110.502,7.192,6.281
11/05/20 20:30:00,8.792,172.746,6.839,5.949
11/05/20 20:45:00,8.419,173.598,6.509,5.616
11/05/20 21:00:00,8.070,171.911,6.204,5.308
11/05/20 21:15:00,7.745,173.598,5.949,5.050
11/05/20 21:30:00,7.469,172.746,5.693,4.792
11/05/20 21:45:00,7.142,171.911,5.411,4.506
11/05/20 22:00:00,6.813,168.726,5.128,4.220
11/05/20 22:15:00,6.509,173.598,4.869,3.958
11/05/20 22:30:00,6.204,172.746,4.558,3.670
11/05/20 22:45:00,5.898,170.288,4.246,3.406
11/05/20 23:00:00,5.616,168.726,4.011,3.168
11/05/20 23:15:00,5.360,167.966,3.775,2.930
11/05/20 23:30:00,5.154,168.726,3.591,2.770
11/05/20 23:45:00,4.921,167.219,3.406,2.557
11/06/20 00:00:00,4.584,164.361,3.142,2.262
11/06/20 00:15:00,4.272,167.219,2.903,2.047
11/06/20 00:30:00,4.037,167.966,2.717,1.832
11/06/20 00:45:00,3.801,166.486,2.530,1.643
11/06/20 01:00:00,3.643,167.219,2.370,1.507
11/06/20 01:15:00,3.459,164.361,2.182,1.289
11/06/20 01:30:00,3.274,174.468,1.994,1.126
11/06/20 01:45:00,3.063,167.219,1.832,0.962
11/06/20 02:00:00,2.877,168.726,1.670,0.770
11/06/20 02:15:00,2.664,166.486,1.507,0.577
11/06/20 02:30:00,2.477,163.002,1.344,0.439
11/06/20 02:45:00,2.316,161.045,1.208,0.301
11/06/20 03:00:00,2.128,165.765,1.071,0.135
11/06/20 03:15:00,1.967,163.676,0.934,-0.004
11/06/20 03:30:00,1.832,161.045,0.797,-0.143
11/06/20 03:45:00,1.670,167.219,0.687,-0.255
11/06/20 04:00:00,1.507,166.486,0.577,-0.367
11/06/20 04:15:00,1.344,166.486,0.467,-0.507
11/06/20 04:30:00,1.208,166.486,0.329,-0.620
11/06/20 04:45:00,1.071,166.486,0.190,-0.760
11/06/20 05:00:00,0.962,165.765,0.079,-0.873
11/06/20 05:15:00,0.797,166.486,-0.060,-0.986
11/06/20 05:30:00,1.017,165.765,-0.088,-1.015
11/06/20 05:45:00,1.751,170.288,-0.060,-0.930
11/06/20 06:00:00,2.101,170.288,0.051,-0.676
11/06/20 06:15:00,3.274,174.468,0.273,-0.311
11/06/20 06:30:00,5.872,176.262,0.577,0.135
11/06/20 06:45:00,8.568,179.102,0.907,0.632
11/06/20 07:00:00,11.005,182.142,1.289,1.180
11/06/20 07:15:00,13.305,186.555,1.724,1.805
11/06/20 07:30:00,15.223,187.730,2.182,2.503
11/06/20 07:45:00,16.844,186.555,2.690,3.221
11/06/20 08:00:00,18.200,188.938,3.248,3.958
11/06/20 08:15:00,19.056,192.771,3.775,4.688
11/06/20 08:30:00,19.722,192.771,4.324,5.385
11/06/20 08:45:00,20.269,194.125,4.818,6.000
11/06/20 09:00:00,20.817,191.457,5.334,6.661
11/06/20 09:15:00,21.270,192.771,5.821,7.242
11/06/20 09:30:00,21.819,190.180,6.331,7.845
11/06/20 09:45:00,22.345,25.065,6.889,8.568
11/06/20 10:00:00,22.681,30.394,7.494,9.262
11/06/20 10:15:00,22.872,201.572,8.120,10.026
11/06/20 10:30:00,22.226,31.255,8.543,10.345
11/06/20 10:45:00,21.413,32.665,8.916,10.638
11/06/20 11:00:00,20.984,31.408,9.608,11.394
11/06/20 11:15:00,20.412,29.865,9.854,11.492
11/06/20 11:30:00,20.460,29.439,10.541,12.364
11/06/20 11:45:00,20.603,32.924,11.443,13.473
