"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/02/20 11:00:00,13.535,7.782,8.970,17.373,16.399
12/02/20 11:15:00,13.961,8.176,9.413,,
12/02/20 11:30:00,14.298,8.720,9.864,,
12/02/20 11:45:00,14.590,9.271,10.539,,
12/02/20 12:00:00,15.028,10.009,11.400,16.588,16.344
12/02/20 12:15:00,15.166,10.383,11.748,,
12/02/20 12:30:00,15.079,10.680,11.974,,
12/02/20 12:45:00,15.063,11.332,12.326,,
12/02/20 13:00:00,15.405,12.485,13.169,16.729,16.586
12/02/20 13:15:00,15.461,13.115,13.458,,
12/02/20 13:30:00,15.727,14.547,13.910,,
12/02/20 13:45:00,15.748,14.325,13.775,,
12/02/20 14:00:00,15.415,13.617,13.484,16.306,15.400
12/02/20 14:15:00,14.979,13.064,13.028,,
12/02/20 14:30:00,14.673,12.754,12.837,,
12/02/20 14:45:00,14.469,12.625,12.861,,
12/02/20 15:00:00,14.438,13.344,13.016,15.469,15.075
12/02/20 15:15:00,14.532,14.720,13.132,,
12/02/20 15:30:00,14.499,15.043,13.162,,
12/02/20 15:45:00,14.194,14.068,12.806,,
12/02/20 16:00:00,13.910,13.433,12.444,14.729,14.318
12/02/20 16:15:00,13.858,13.984,12.403,,
12/02/20 16:30:00,13.844,15.224,12.453,,
12/02/20 16:45:00,13.681,16.088,12.497,,
12/02/20 17:00:00,13.350,16.402,12.267,14.029,12.736
12/02/20 17:15:00,12.962,16.387,11.792,,
12/02/20 17:30:00,12.585,16.073,11.263,,
12/02/20 17:45:00,12.172,15.420,10.744,,
12/02/20 18:00:00,11.702,14.421,10.208,12.219,10.617
12/02/20 18:15:00,11.195,13.130,9.640,,
12/02/20 18:30:00,10.681,11.912,9.044,,
12/02/20 18:45:00,10.225,10.963,8.511,,
12/02/20 19:00:00,9.791,10.217,8.082,10.161,8.758
12/02/20 19:15:00,9.361,9.551,7.602,,
12/02/20 19:30:00,8.951,8.956,7.146,,
12/02/20 19:45:00,8.599,8.450,6.770,,
12/02/20 20:00:00,8.254,7.993,6.382,8.305,7.113
12/02/20 20:15:00,7.892,7.536,6.009,,
12/02/20 20:30:00,7.552,7.132,5.690,,
12/02/20 20:45:00,7.244,6.770,5.401,,
12/02/20 21:00:00,6.954,6.450,5.150,6.789,5.933
12/02/20 21:15:00,6.693,6.158,4.930,,
12/02/20 21:30:00,6.431,5.877,4.702,,
12/02/20 21:45:00,6.170,5.603,4.447,,
12/02/20 22:00:00,5.922,5.345,4.197,5.669,4.974
12/02/20 22:15:00,5.723,5.113,3.999,,
12/02/20 22:30:00,5.528,4.895,3.806,,
12/02/20 22:45:00,5.319,4.680,3.605,,
12/02/20 23:00:00,5.105,4.459,3.391,4.762,4.363
12/02/20 23:15:00,4.935,4.257,3.203,,
12/02/20 23:30:00,4.819,4.105,3.060,,
12/02/20 23:45:00,4.738,4.035,2.976,,
12/03/20 00:00:00,4.670,3.989,2.953,4.316,3.876
12/03/20 00:15:00,4.535,3.917,2.959,,
12/03/20 00:30:00,4.368,3.758,2.853,,
12/03/20 00:45:00,4.210,3.581,2.670,,
12/03/20 01:00:00,4.050,3.409,2.496,3.681,3.112
12/03/20 01:15:00,3.884,3.239,2.326,,
12/03/20 01:30:00,3.709,3.046,2.135,,
12/03/20 01:45:00,3.544,2.890,1.987,,
12/03/20 02:00:00,3.419,2.758,1.874,2.961,2.476
12/03/20 02:15:00,3.282,2.597,1.725,,
12/03/20 02:30:00,3.128,2.433,1.578,,
12/03/20 02:45:00,2.984,2.292,1.452,,
12/03/20 03:00:00,2.843,2.143,1.311,2.317,1.887
12/03/20 03:15:00,2.708,1.997,1.177,,
12/03/20 03:30:00,2.592,1.870,1.061,,
12/03/20 03:45:00,2.493,1.772,0.972,,
12/03/20 04:00:00,2.389,1.676,0.871,1.771,1.391
12/03/20 04:15:00,2.252,1.551,0.725,,
12/03/20 04:30:00,2.138,1.437,0.618,,
12/03/20 04:45:00,2.042,1.342,0.544,,
12/03/20 05:00:00,1.928,1.219,0.423,2.688,1.168
12/03/20 05:15:00,1.847,1.132,0.337,,
12/03/20 05:30:00,2.099,1.062,0.294,,
12/03/20 05:45:00,3.170,1.134,0.432,,
12/03/20 06:00:00,4.508,1.264,0.628,10.355,4.379
12/03/20 06:15:00,5.944,1.434,0.860,,
12/03/20 06:30:00,7.425,1.629,1.134,,
12/03/20 06:45:00,8.911,1.863,1.464,,
12/03/20 07:00:00,10.303,2.128,1.838,17.345,12.298
12/03/20 07:15:00,11.613,2.414,2.242,,
12/03/20 07:30:00,12.861,2.718,2.687,,
12/03/20 07:45:00,13.954,3.012,3.132,,
12/03/20 08:00:00,14.931,3.337,3.592,21.791,18.573
12/03/20 08:15:00,15.882,3.663,4.072,,
12/03/20 08:30:00,16.738,4.027,4.618,,
12/03/20 08:45:00,17.397,4.399,5.163,,
12/03/20 09:00:00,17.092,4.778,5.707,23.576,22.505
12/03/20 09:15:00,16.597,5.171,6.256,,
12/03/20 09:30:00,16.183,5.595,6.813,,
12/03/20 09:45:00,15.988,6.016,7.329,,
12/03/20 10:00:00,16.031,6.458,7.845,23.651,23.651
