"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664782)","Temp, °C (SEN S/N: 20664782)","Temp, °C (SEN S/N: 20664782)","Temp, °C (SEN S/N: 20664782)"
11/07/19 08:45:00,10.473,10.182,11.825,12.069
11/07/19 08:46:00,10.718,10.387,12.214,12.254
11/07/19 08:47:00,10.583,10.270,12.279,12.172
11/07/19 08:48:00,10.502,10.228,12.140,12.022
11/07/19 08:49:00,10.528,10.216,12.086,11.968
11/07/19 08:50:00,10.003,9.723,11.863,11.795
11/07/19 08:51:00,9.915,9.608,11.663,11.598
11/07/19 08:52:00,9.709,9.379,11.447,11.473
11/07/19 08:53:00,9.307,9.043,11.359,11.250
11/07/19 08:54:00,9.165,8.943,11.218,11.087
11/07/19 08:55:00,9.256,9.052,11.140,11.067
11/07/19 08:56:00,9.293,9.061,11.070,11.037
11/07/19 08:57:00,9.251,8.957,11.026,11.032
11/07/19 08:58:00,9.189,8.917,11.021,10.982
11/07/19 08:59:00,9.395,9.117,11.087,10.989
11/07/19 09:00:00,9.780,9.472,11.373,11.102
