"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2420039, LBL: Tint1)","HR, % (SEN S/N: 2420039, LBL: HR)","Intensidad, lux (SEN S/N: 2420039, LBL: I)"
02/21/20 12:15:00,11.807,71.024,366.6
02/21/20 12:30:00,11.297,71.406,413.9
02/21/20 12:45:00,11.053,71.866,524.3
02/21/20 13:00:00,10.980,72.274,508.5
02/21/20 13:15:00,10.834,72.526,256.2
02/21/20 13:30:00,10.541,73.028,311.4
02/21/20 13:45:00,10.443,73.819,484.9
02/21/20 14:00:00,10.394,74.255,611.0
02/21/20 14:15:00,10.492,74.219,729.2
02/21/20 14:30:00,10.638,74.054,745.0
02/21/20 14:45:00,10.418,74.538,374.5
02/21/20 15:00:00,10.320,74.990,508.5
02/21/20 15:15:00,10.271,75.257,366.6
02/21/20 15:30:00,10.173,75.541,358.7
02/21/20 15:45:00,10.075,75.742,311.4
02/21/20 16:00:00,9.977,76.053,279.9
02/21/20 16:15:00,9.879,76.198,272.0
02/21/20 16:30:00,9.854,76.275,248.3
02/21/20 16:45:00,9.731,76.525,130.1
02/21/20 17:00:00,9.534,76.731,67.0
02/21/20 17:15:00,9.336,76.662,43.4
02/21/20 17:30:00,9.188,76.850,11.8
02/21/20 17:45:00,9.040,77.202,11.8
02/21/20 18:00:00,8.941,77.563,11.8
02/21/20 18:15:00,8.841,77.678,11.8
02/21/20 18:30:00,8.742,77.875,11.8
02/21/20 18:45:00,8.643,78.044,11.8
02/21/20 19:00:00,8.568,78.110,11.8
02/21/20 19:15:00,8.519,78.181,11.8
02/21/20 19:30:00,8.494,78.366,11.8
02/21/20 19:45:00,8.469,78.469,11.8
02/21/20 20:00:00,8.419,78.458,11.8
02/21/20 20:15:00,8.394,78.534,11.8
02/21/20 20:30:00,8.369,78.556,11.8
02/21/20 20:45:00,8.319,78.653,11.8
02/21/20 21:00:00,8.295,78.865,11.8
02/21/20 21:15:00,8.245,78.935,11.8
02/21/20 21:30:00,8.220,79.038,11.8
02/21/20 21:45:00,8.195,78.924,11.8
02/21/20 22:00:00,8.145,78.751,11.8
02/21/20 22:15:00,8.070,78.626,11.8
02/21/20 22:30:00,7.995,78.556,11.8
02/21/20 22:45:00,7.970,78.577,11.8
02/21/20 23:00:00,7.970,78.632,11.8
02/21/20 23:15:00,7.970,78.767,11.8
02/21/20 23:30:00,7.970,78.848,11.8
02/21/20 23:45:00,7.945,78.951,11.8
02/22/20 00:00:00,7.920,79.053,11.8
02/22/20 00:15:00,7.895,79.156,11.8
02/22/20 00:30:00,7.870,79.123,11.8
02/22/20 00:45:00,7.845,79.199,11.8
02/22/20 01:00:00,7.820,79.193,11.8
02/22/20 01:15:00,7.795,79.296,11.8
02/22/20 01:30:00,7.795,79.188,11.8
02/22/20 01:45:00,7.745,79.150,11.8
02/22/20 02:00:00,7.695,79.166,11.8
02/22/20 02:15:00,7.695,79.220,11.8
02/22/20 02:30:00,7.720,79.279,11.8
02/22/20 02:45:00,7.720,79.279,11.8
02/22/20 03:00:00,7.695,79.274,11.8
02/22/20 03:15:00,7.695,79.328,11.8
02/22/20 03:30:00,7.695,79.328,11.8
02/22/20 03:45:00,7.695,79.355,11.8
02/22/20 04:00:00,7.670,79.538,11.8
02/22/20 04:15:00,7.670,79.619,11.8
02/22/20 04:30:00,7.645,79.775,11.8
02/22/20 04:45:00,7.645,79.828,11.8
02/22/20 05:00:00,7.619,80.011,11.8
02/22/20 05:15:00,7.594,79.790,11.8
02/22/20 05:30:00,7.594,79.925,11.8
02/22/20 05:45:00,7.594,79.979,11.8
02/22/20 06:00:00,7.619,79.823,11.8
02/22/20 06:15:00,7.720,79.603,106.4
02/22/20 06:30:00,7.895,79.291,201.0
02/22/20 06:45:00,8.095,78.848,342.9
02/22/20 07:00:00,8.394,78.344,421.8
02/22/20 07:15:00,8.593,78.006,429.7
02/22/20 07:30:00,8.693,77.674,571.6
02/22/20 07:45:00,8.916,77.257,579.5
02/22/20 08:00:00,8.965,77.131,524.3
02/22/20 08:15:00,9.312,76.602,689.8
02/22/20 08:30:00,9.682,75.881,950.0
02/22/20 08:45:00,10.001,75.091,1170.7
02/22/20 09:00:00,10.271,74.146,1344.2
02/22/20 09:15:00,10.516,73.806,1178.6
02/22/20 09:30:00,10.638,73.020,1147.1
02/22/20 09:45:00,10.565,72.865,910.6
02/22/20 10:00:00,10.907,72.175,1454.6
02/22/20 10:15:00,11.078,71.533,1178.6
02/22/20 10:30:00,11.224,71.335,1170.7
02/22/20 10:45:00,11.880,71.009,1817.2
02/22/20 11:00:00,12.703,69.858,1099.8
02/22/20 11:15:00,12.243,69.999,1036.7
02/22/20 11:30:00,12.147,70.947,2613.5
02/22/20 11:45:00,12.171,70.156,2479.4
02/22/20 12:00:00,13.618,67.672,1927.6
02/22/20 12:15:00,13.978,66.142,1218.0
02/22/20 12:30:00,13.786,66.195,1036.7
