"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2420039, LBL: Tint1)","HR, % (SEN S/N: 2420039, LBL: HR)","Intensidad, lux (SEN S/N: 2420039, LBL: I)"
12/03/20 10:30:00,17.344,45.588,2944.6
12/03/20 10:45:00,17.415,50.051,2952.5
12/03/20 11:00:00,17.938,51.862,1785.7
12/03/20 11:15:00,18.366,52.325,1801.4
12/03/20 11:30:00,18.152,53.994,3283.6
12/03/20 11:45:00,18.604,54.306,1833.0
12/03/20 12:00:00,18.509,55.430,2463.7
12/03/20 12:15:00,18.414,56.059,2006.4
12/03/20 12:30:00,18.771,55.837,2132.6
12/03/20 12:45:00,19.008,55.718,2053.7
12/03/20 13:00:00,19.199,55.808,2108.9
12/03/20 13:15:00,19.484,55.850,2116.8
12/03/20 13:30:00,19.413,55.748,2116.8
12/03/20 13:45:00,19.389,56.021,1848.7
12/03/20 14:00:00,18.961,56.355,1241.7
12/03/20 14:15:00,18.913,56.746,1801.4
12/03/20 14:30:00,18.295,57.507,555.8
12/03/20 14:45:00,17.082,59.920,666.2
12/03/20 15:00:00,16.606,60.234,760.8
12/03/20 15:15:00,16.249,59.876,642.5
12/03/20 15:30:00,15.891,60.806,973.6
12/03/20 15:45:00,16.129,61.025,973.6
12/03/20 16:00:00,16.010,61.661,792.3
12/03/20 16:15:00,15.748,62.391,658.3
12/03/20 16:30:00,15.366,63.422,477.0
12/03/20 16:45:00,14.936,64.468,350.8
12/03/20 17:00:00,14.529,65.335,279.9
12/03/20 17:15:00,14.146,66.113,193.2
12/03/20 17:30:00,13.786,66.950,114.3
12/03/20 17:45:00,13.425,68.012,43.4
12/03/20 18:00:00,13.088,68.842,11.8
12/03/20 18:15:00,12.799,69.647,11.8
12/03/20 18:30:00,12.509,70.420,11.8
12/03/20 18:45:00,12.292,71.146,11.8
12/03/20 19:00:00,12.098,71.731,11.8
12/03/20 19:15:00,11.953,72.466,11.8
12/03/20 19:30:00,11.783,73.164,11.8
12/03/20 19:45:00,11.637,73.668,11.8
12/03/20 20:00:00,11.467,74.110,11.8
12/03/20 20:15:00,11.346,74.448,11.8
12/03/20 20:30:00,11.224,74.786,11.8
12/03/20 20:45:00,11.127,75.044,11.8
12/03/20 21:00:00,11.029,75.274,11.8
12/03/20 21:15:00,10.932,75.421,11.8
12/03/20 21:30:00,10.834,75.623,11.8
12/03/20 21:45:00,10.761,75.774,11.8
12/03/20 22:00:00,10.663,75.809,11.8
12/03/20 22:15:00,10.614,75.909,11.8
12/03/20 22:30:00,10.541,75.949,11.8
12/03/20 22:45:00,10.516,75.944,11.8
12/03/20 23:00:00,10.492,75.829,11.8
12/03/20 23:15:00,10.467,75.796,11.8
12/03/20 23:30:00,10.418,75.869,11.8
12/03/20 23:45:00,10.369,75.941,11.8
12/04/20 00:00:00,10.320,76.152,11.8
12/04/20 00:15:00,10.247,76.275,11.8
12/04/20 00:30:00,10.173,76.480,11.8
12/04/20 00:45:00,10.124,76.662,11.8
12/04/20 01:00:00,10.075,76.790,11.8
12/04/20 01:15:00,10.026,76.889,11.8
12/04/20 01:30:00,9.977,76.989,11.8
12/04/20 01:45:00,9.928,77.116,11.8
12/04/20 02:00:00,9.854,77.237,11.8
12/04/20 02:15:00,9.805,77.364,11.8
12/04/20 02:30:00,9.756,77.491,11.8
12/04/20 02:45:00,9.706,77.535,11.8
12/04/20 03:00:00,9.657,77.689,11.8
12/04/20 03:15:00,9.608,77.705,11.8
12/04/20 03:30:00,9.558,77.777,11.8
12/04/20 03:45:00,9.534,77.854,11.8
12/04/20 04:00:00,9.534,77.881,11.8
12/04/20 04:15:00,9.534,77.854,11.8
12/04/20 04:30:00,9.509,77.848,11.8
12/04/20 04:45:00,9.509,77.794,11.8
12/04/20 05:00:00,9.509,77.712,11.8
12/04/20 05:15:00,9.485,77.597,11.8
12/04/20 05:30:00,9.534,77.553,27.6
12/04/20 05:45:00,9.706,77.206,98.5
12/04/20 06:00:00,9.879,76.721,153.7
12/04/20 06:15:00,10.001,76.334,169.5
12/04/20 06:30:00,10.149,75.923,216.8
12/04/20 06:45:00,10.492,75.053,390.2
12/04/20 07:00:00,10.956,73.699,516.4
12/04/20 07:15:00,11.492,72.234,650.4
12/04/20 07:30:00,11.977,70.574,800.2
12/04/20 07:45:00,12.340,69.246,989.4
12/04/20 08:00:00,12.920,67.775,1139.2
12/04/20 08:15:00,13.570,66.214,1423.0
12/04/20 08:30:00,14.146,64.331,1691.1
12/04/20 08:45:00,14.146,63.567,1036.7
12/04/20 09:00:00,14.194,64.046,2124.7
12/04/20 09:15:00,14.960,62.614,2392.7
12/04/20 09:30:00,15.485,61.664,2566.2
12/04/20 09:45:00,16.082,60.838,2739.6
12/04/20 10:00:00,16.058,60.565,1549.2
12/04/20 10:15:00,17.058,59.464,3283.6
12/04/20 10:30:00,16.511,60.248,3362.4
12/04/20 10:45:00,16.582,60.080,942.1
12/04/20 11:00:00,16.296,61.440,1218.0
12/04/20 11:15:00,15.963,61.981,784.4
12/04/20 11:30:00,15.175,63.183,445.4
12/04/20 11:45:00,14.553,63.519,500.6
12/04/20 12:00:00,14.122,63.593,413.9
12/04/20 12:15:00,13.690,63.401,303.5
12/04/20 12:30:00,13.401,63.704,335.1
12/04/20 12:45:00,13.209,64.665,240.5
12/04/20 13:00:00,12.992,65.588,201.0
12/04/20 13:15:00,12.775,66.564,153.7
12/04/20 13:30:00,12.654,67.467,256.2
12/04/20 13:45:00,12.630,67.837,469.1
12/04/20 14:00:00,12.944,68.182,689.8
12/04/20 14:15:00,12.992,68.306,674.1
12/04/20 14:30:00,12.944,68.642,477.0
12/04/20 14:45:00,12.775,69.299,437.5
12/04/20 15:00:00,12.582,69.863,272.0
12/04/20 15:15:00,12.316,70.554,169.5
12/04/20 15:30:00,12.122,70.573,240.5
12/04/20 15:45:00,12.025,70.100,145.8
12/04/20 16:00:00,11.856,69.954,98.5
12/04/20 16:15:00,11.686,69.779,67.0
12/04/20 16:30:00,11.516,69.861,35.5
12/04/20 16:45:00,11.394,70.604,19.7
12/04/20 17:00:00,11.273,71.288,11.8
12/04/20 17:15:00,11.175,71.834,11.8
12/04/20 17:30:00,11.078,72.349,11.8
12/04/20 17:45:00,10.980,72.780,11.8
12/04/20 18:00:00,10.883,73.125,11.8
12/04/20 18:15:00,10.810,73.446,11.8
12/04/20 18:30:00,10.712,73.706,11.8
12/04/20 18:45:00,10.638,73.970,11.8
12/04/20 19:00:00,10.565,74.067,11.8
12/04/20 19:15:00,10.492,74.191,11.8
