"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2420039, LBL: Tint1)","HR, % (SEN S/N: 2420039, LBL: HR)","Intensidad, lux (SEN S/N: 2420039, LBL: I)"
11/05/20 17:15:00,13.810,40.200,67.0
11/05/20 17:30:00,12.678,40.740,35.5
11/05/20 17:45:00,11.929,41.225,11.8
11/05/20 18:00:00,11.419,41.984,11.8
11/05/20 18:15:00,11.053,42.913,11.8
11/05/20 18:30:00,10.785,43.444,11.8
11/05/20 18:45:00,10.541,44.224,11.8
11/05/20 19:00:00,10.320,43.607,11.8
11/05/20 19:15:00,10.075,43.795,11.8
11/05/20 19:30:00,9.879,44.082,11.8
11/05/20 19:45:00,9.706,44.433,11.8
11/05/20 20:00:00,9.558,45.034,11.8
11/05/20 20:15:00,9.435,45.390,11.8
11/05/20 20:30:00,9.287,45.772,11.8
11/05/20 20:45:00,9.163,46.065,11.8
11/05/20 21:00:00,9.064,46.483,11.8
11/05/20 21:15:00,8.965,46.746,11.8
11/05/20 21:30:00,8.866,46.826,11.8
11/05/20 21:45:00,8.717,46.776,11.8
11/05/20 22:00:00,8.568,46.971,11.8
11/05/20 22:15:00,8.419,46.737,11.8
11/05/20 22:30:00,8.245,46.868,11.8
11/05/20 22:45:00,8.095,46.849,11.8
11/05/20 23:00:00,7.970,47.230,11.8
11/05/20 23:15:00,7.895,47.373,11.8
11/05/20 23:30:00,7.845,47.641,11.8
11/05/20 23:45:00,7.820,47.272,11.8
11/06/20 00:00:00,7.770,47.326,11.8
11/06/20 00:15:00,7.695,47.652,11.8
11/06/20 00:30:00,7.670,47.831,11.8
11/06/20 00:45:00,7.594,48.186,11.8
11/06/20 01:00:00,7.494,48.477,11.8
11/06/20 01:15:00,7.393,48.585,11.8
11/06/20 01:30:00,7.318,48.605,11.8
11/06/20 01:45:00,7.242,48.656,11.8
11/06/20 02:00:00,7.167,48.797,11.8
11/06/20 02:15:00,7.142,48.703,11.8
11/06/20 02:30:00,7.091,49.090,11.8
11/06/20 02:45:00,7.041,49.083,11.8
11/06/20 03:00:00,6.990,49.137,11.8
11/06/20 03:15:00,6.889,49.032,11.8
11/06/20 03:30:00,6.813,49.143,11.8
11/06/20 03:45:00,6.788,48.898,11.8
11/06/20 04:00:00,6.763,48.894,11.8
11/06/20 04:15:00,6.763,49.197,11.8
11/06/20 04:30:00,6.737,49.646,11.8
11/06/20 04:45:00,6.636,49.572,11.8
11/06/20 05:00:00,6.585,49.565,11.8
11/06/20 05:15:00,6.509,49.555,11.8
11/06/20 05:30:00,6.611,49.569,82.8
11/06/20 05:45:00,6.763,49.620,177.4
11/06/20 06:00:00,6.965,49.587,272.0
11/06/20 06:15:00,7.217,49.500,358.7
11/06/20 06:30:00,7.519,49.390,453.3
11/06/20 06:45:00,7.845,49.101,555.8
11/06/20 07:00:00,8.245,48.881,681.9
11/06/20 07:15:00,8.643,48.478,768.7
11/06/20 07:30:00,9.139,47.719,902.7
11/06/20 07:45:00,9.608,47.412,1052.5
11/06/20 08:00:00,10.149,46.898,1202.3
11/06/20 08:15:00,10.614,45.320,1336.3
11/06/20 08:30:00,11.078,44.196,1478.2
11/06/20 08:45:00,11.516,42.466,1635.9
11/06/20 09:00:00,12.074,41.966,1793.6
11/06/20 09:15:00,12.630,40.956,1927.6
11/06/20 09:30:00,13.377,41.072,2069.5
11/06/20 09:45:00,14.122,41.092,2203.5
11/06/20 10:00:00,14.673,40.008,2306.0
11/06/20 10:15:00,14.984,39.147,445.4
11/06/20 10:30:00,14.290,38.144,1596.5
11/06/20 10:45:00,14.337,38.149,2455.8
11/06/20 11:00:00,14.912,36.826,642.5
11/06/20 11:15:00,14.792,37.329,2432.1
11/06/20 11:30:00,15.819,36.595,2511.0
11/06/20 11:45:00,16.963,36.677,2503.1
