"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 2420039, LBL: Tint1)","HR, % (SEN S/N: 2420039, LBL: HR)","Intensidad, lux (SEN S/N: 2420039, LBL: I)"
12/02/20 12:00:00,26.158,48.923,11.8
12/02/20 12:15:00,22.824,39.432,11.8
12/02/20 12:30:00,21.079,44.096,11.8
12/02/20 12:45:00,26.231,47.196,67.0
12/02/20 13:00:00,31.637,37.448,27.6
12/02/20 13:15:00,33.704,36.228,35.5
12/02/20 13:30:00,36.851,32.224,19.7
12/02/20 13:45:00,36.092,30.462,19.7
12/02/20 14:00:00,34.995,28.984,11.8
12/02/20 14:15:00,32.613,25.114,11.8
12/02/20 14:30:00,31.868,26.939,19.7
12/02/20 14:45:00,31.612,26.157,11.8
12/02/20 15:00:00,32.742,26.239,11.8
12/02/20 15:15:00,34.466,24.752,11.8
12/02/20 15:30:00,34.783,22.731,19.7
12/02/20 15:45:00,32.562,21.039,11.8
12/02/20 16:00:00,30.925,21.642,11.8
12/02/20 16:15:00,31.052,23.296,11.8
12/02/20 16:30:00,31.382,22.933,11.8
12/02/20 16:45:00,31.103,21.793,11.8
12/02/20 17:00:00,30.066,20.887,11.8
12/02/20 17:15:00,28.468,20.650,11.8
12/02/20 17:30:00,26.916,21.531,11.8
12/02/20 17:45:00,25.404,21.955,11.8
12/02/20 18:00:00,14.218,33.586,59.1
12/02/20 18:15:00,12.243,40.881,11.8
12/02/20 18:30:00,12.147,49.006,11.8
12/02/20 18:45:00,12.992,53.979,11.8
12/02/20 19:00:00,13.570,55.547,11.8
12/02/20 19:15:00,21.581,48.272,11.8
12/02/20 19:30:00,16.773,52.380,11.8
12/02/20 19:45:00,13.834,58.564,11.8
12/02/20 20:00:00,12.389,62.387,11.8
12/02/20 20:15:00,11.637,64.971,11.8
12/02/20 20:30:00,11.175,66.852,11.8
12/02/20 20:45:00,10.858,68.112,11.8
12/02/20 21:00:00,10.614,69.064,11.8
12/02/20 21:15:00,11.565,63.271,11.8
12/02/20 21:30:00,23.569,54.556,11.8
12/02/20 21:45:00,20.103,52.381,11.8
12/02/20 22:00:00,15.294,60.977,11.8
12/02/20 22:15:00,13.040,66.206,11.8
12/02/20 22:30:00,11.929,69.169,11.8
12/02/20 22:45:00,11.297,71.010,11.8
12/02/20 23:00:00,10.907,72.119,11.8
12/02/20 23:15:00,10.614,73.015,11.8
12/02/20 23:30:00,10.369,73.665,11.8
12/02/20 23:45:00,10.173,74.182,11.8
12/03/20 00:00:00,10.026,74.513,11.8
12/03/20 00:15:00,9.903,74.849,11.8
12/03/20 00:30:00,9.805,75.161,11.8
12/03/20 00:45:00,9.657,75.435,11.8
12/03/20 01:00:00,9.534,75.685,11.8
12/03/20 01:15:00,9.410,75.880,11.8
12/03/20 01:30:00,9.312,76.189,11.8
12/03/20 01:45:00,9.213,76.416,11.8
12/03/20 02:00:00,9.114,76.615,11.8
12/03/20 02:15:00,9.015,76.758,11.8
12/03/20 02:30:00,8.916,76.929,11.8
12/03/20 02:45:00,8.841,77.159,11.8
12/03/20 03:00:00,8.792,77.204,11.8
12/03/20 03:15:00,8.693,77.264,11.8
12/03/20 03:30:00,8.618,77.276,11.8
12/03/20 03:45:00,8.543,77.451,11.8
12/03/20 04:00:00,8.494,77.604,11.8
12/03/20 04:15:00,8.419,77.697,11.8
12/03/20 04:30:00,8.369,77.768,11.8
12/03/20 04:45:00,8.270,77.882,11.8
12/03/20 05:00:00,8.195,77.948,11.8
12/03/20 05:15:00,8.145,78.046,11.8
12/03/20 05:30:00,8.195,77.866,169.5
12/03/20 05:45:00,8.319,77.648,311.4
12/03/20 06:00:00,8.469,77.381,437.5
12/03/20 06:15:00,8.693,76.991,563.7
12/03/20 06:30:00,8.941,76.414,666.2
12/03/20 06:45:00,9.188,75.778,784.4
12/03/20 07:00:00,9.657,74.826,981.5
12/03/20 07:15:00,10.222,73.468,1147.1
12/03/20 07:30:00,10.736,72.113,1281.1
12/03/20 07:45:00,11.151,70.982,1430.9
12/03/20 08:00:00,18.319,62.612,1218.0
12/03/20 08:15:00,31.816,42.118,1478.2
12/03/20 08:30:00,23.160,50.379,1651.6
12/03/20 08:45:00,19.151,56.537,1840.9
12/03/20 09:00:00,17.582,59.728,2093.1
12/03/20 09:15:00,16.963,61.400,2298.1
12/03/20 09:30:00,16.915,61.960,2447.9
12/03/20 09:45:00,17.106,61.274,2605.6
12/03/20 10:00:00,17.415,60.575,2708.1
12/03/20 10:15:00,17.344,43.401,2629.2
