"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658681, LBL: Tint)","HR, % (SEN S/N: 20658681, LBL: HR)","Intensidad, lux (SEN S/N: 20658681, LBL: Luz)","Temp, °C (SEN S/N: 20658681, LBL: Tsup-Claraboya int)"
12/02/20 12:00:00,34.783,36.603,2999.8,39.375
12/02/20 12:15:00,32.304,33.237,2968.2,33.992
12/02/20 12:30:00,29.240,35.532,2818.4,29.941
12/02/20 12:45:00,30.217,36.332,5420.1,33.027
12/02/20 13:00:00,31.893,34.087,3283.6,33.548
12/02/20 13:15:00,31.612,31.947,5396.4,32.820
12/02/20 13:30:00,32.562,30.793,3591.1,33.079
12/02/20 13:45:00,28.617,32.639,2692.3,27.284
12/02/20 14:00:00,25.793,31.682,2440.0,24.412
12/02/20 14:15:00,22.130,26.690,2132.6,20.865
12/02/20 14:30:00,22.178,27.708,2652.9,21.748
12/02/20 14:45:00,21.748,32.964,5136.3,21.987
12/02/20 15:00:00,25.987,24.271,6941.7,14.553
12/02/20 15:15:00,28.816,20.741,8376.5,14.745
12/02/20 15:30:00,27.063,19.693,4868.2,13.954
12/02/20 15:45:00,21.843,24.224,2400.6,14.912
12/02/20 16:00:00,20.555,29.326,3457.0,13.570
12/02/20 16:15:00,21.604,25.498,4316.4,13.594
12/02/20 16:30:00,21.652,23.597,4016.8,13.810
12/02/20 16:45:00,20.079,23.217,3401.8,12.775
12/02/20 17:00:00,18.271,24.717,2345.4,12.171
12/02/20 17:15:00,16.939,26.432,1848.7,11.953
12/02/20 17:30:00,15.748,28.170,1352.1,10.810
12/02/20 17:45:00,14.266,29.535,650.4,12.413
12/02/20 18:00:00,12.389,31.337,145.8,11.175
12/02/20 18:15:00,10.761,34.356,11.8,10.565
12/02/20 18:30:00,9.460,36.336,11.8,10.956
12/02/20 18:45:00,8.717,37.591,11.8,11.127
12/02/20 19:00:00,8.095,38.596,11.8,17.938
12/02/20 19:15:00,8.668,38.185,11.8,19.770
12/02/20 19:30:00,7.895,38.481,11.8,11.807
12/02/20 19:45:00,6.965,41.035,11.8,10.173
12/02/20 20:00:00,6.077,42.666,11.8,9.238
12/02/20 20:15:00,5.360,44.759,11.8,8.767
12/02/20 20:30:00,4.740,45.717,11.8,8.369
12/02/20 20:45:00,4.246,46.443,11.8,7.995
12/02/20 21:00:00,3.775,46.352,11.8,7.720
12/02/20 21:15:00,3.433,46.489,11.8,13.810
12/02/20 21:30:00,4.973,48.593,11.8,26.940
12/02/20 21:45:00,5.360,43.626,11.8,12.847
12/02/20 22:00:00,4.350,45.820,11.8,9.731
12/02/20 22:15:00,3.564,48.763,11.8,8.618
12/02/20 22:30:00,3.036,47.521,11.8,8.145
12/02/20 22:45:00,2.584,47.641,11.8,7.695
12/02/20 23:00:00,2.101,47.457,11.8,7.268
12/02/20 23:15:00,1.588,47.449,11.8,6.940
12/02/20 23:30:00,1.126,47.149,11.8,6.636
12/02/20 23:45:00,1.044,47.676,11.8,6.560
12/03/20 00:00:00,1.208,47.279,11.8,6.636
12/03/20 00:15:00,1.262,46.657,11.8,6.535
12/03/20 00:30:00,0.989,47.549,11.8,6.306
12/03/20 00:45:00,0.467,47.420,11.8,6.000
12/03/20 01:00:00,0.079,47.814,11.8,5.796
12/03/20 01:15:00,-0.227,46.970,11.8,5.616
12/03/20 01:30:00,-0.507,47.111,11.8,5.437
12/03/20 01:45:00,-0.676,47.416,11.8,5.231
12/03/20 02:00:00,-0.902,47.594,11.8,5.205
12/03/20 02:15:00,-1.128,46.969,11.8,5.102
12/03/20 02:30:00,-1.242,47.162,11.8,4.921
12/03/20 02:45:00,-1.299,47.422,11.8,4.818
12/03/20 03:00:00,-1.441,48.497,3.9,4.714
12/03/20 03:15:00,-1.556,48.954,11.8,4.610
12/03/20 03:30:00,-1.699,49.610,11.8,4.636
12/03/20 03:45:00,-1.871,49.557,11.8,4.532
12/03/20 04:00:00,-2.015,49.419,11.8,4.506
12/03/20 04:15:00,-2.276,49.735,3.9,4.376
12/03/20 04:30:00,-2.596,49.690,11.8,4.246
12/03/20 04:45:00,-2.888,49.444,11.8,4.141
12/03/20 05:00:00,-3.183,49.549,19.7,4.011
12/03/20 05:15:00,-3.212,49.633,169.5,4.063
12/03/20 05:30:00,-2.392,49.982,390.2,4.376
12/03/20 05:45:00,-1.015,49.500,587.3,4.818
12/03/20 06:00:00,0.660,48.993,729.2,5.642
12/03/20 06:15:00,2.423,47.770,886.9,6.433
12/03/20 06:30:00,4.454,46.409,1036.7,7.268
12/03/20 06:45:00,6.813,45.032,1478.2,8.369
12/03/20 07:00:00,10.026,43.198,2282.3,10.443
12/03/20 07:15:00,13.425,40.380,2968.2,12.268
12/03/20 07:30:00,15.867,39.081,2652.9,13.810
12/03/20 07:45:00,17.629,38.818,2708.1,14.840
12/03/20 08:00:00,20.079,38.426,3275.7,32.742
12/03/20 08:15:00,25.162,36.807,3638.4,33.704
12/03/20 08:30:00,27.554,35.439,3922.2,24.726
12/03/20 08:45:00,29.115,34.341,4190.2,24.315
12/03/20 09:00:00,30.798,34.224,4450.4,25.501
12/03/20 09:15:00,32.613,33.811,4623.8,27.087
12/03/20 09:30:00,34.019,33.390,4710.5,28.023
12/03/20 09:45:00,35.049,32.380,4773.6,27.727
12/03/20 10:00:00,36.012,31.945,4828.8,26.598
12/03/20 10:15:00,36.933,30.739,4876.1,26.231
12/03/20 10:30:00,37.728,29.268,5932.5,26.256
12/03/20 10:45:00,37.728,28.007,5853.7,26.940
12/03/20 11:00:00,39.318,28.620,5901.0,27.727
12/03/20 11:15:00,41.181,26.922,6492.3,28.916
12/03/20 11:30:00,41.210,27.279,7083.6,28.717
12/03/20 11:45:00,42.119,27.772,5388.5,29.540
12/03/20 12:00:00,41.678,27.455,6184.8,29.490
12/03/20 12:15:00,41.007,26.412,5916.8,28.369
12/03/20 12:30:00,42.208,26.285,6594.8,29.365
12/03/20 12:45:00,43.677,25.028,7123.0,29.840
12/03/20 13:00:00,45.467,23.923,8100.6,30.874
12/03/20 13:15:00,47.613,23.555,9157.0,32.021
12/03/20 13:30:00,48.404,22.439,9724.6,31.868
12/03/20 13:45:00,48.537,21.497,8502.6,32.330
12/03/20 14:00:00,45.972,16.585,7044.1,30.722
12/03/20 14:15:00,44.411,15.259,8266.1,30.925
12/03/20 14:30:00,41.502,14.392,3338.8,27.998
12/03/20 14:45:00,34.836,17.185,4489.8,24.098
12/03/20 15:00:00,32.691,19.349,5238.8,23.521
12/03/20 15:15:00,31.612,19.924,4931.3,22.705
12/03/20 15:30:00,30.520,20.774,6508.0,22.082
12/03/20 15:45:00,32.717,18.357,6602.6,24.098
12/03/20 16:00:00,32.278,16.268,6113.9,23.064
12/03/20 16:15:00,30.571,15.471,5104.7,22.034
12/03/20 16:30:00,28.048,15.703,3945.8,20.484
12/03/20 16:45:00,24.992,16.325,3055.0,18.889
12/03/20 17:00:00,22.082,17.776,2416.4,17.486
12/03/20 17:15:00,19.651,19.089,1777.8,16.249
12/03/20 17:30:00,17.344,20.591,1131.3,14.912
12/03/20 17:45:00,14.960,22.434,484.9,13.522
12/03/20 18:00:00,12.871,24.664,201.0,12.389
12/03/20 18:15:00,11.492,25.491,11.8,11.807
12/03/20 18:30:00,10.345,26.393,11.8,11.127
12/03/20 18:45:00,9.534,27.770,11.8,10.736
12/03/20 19:00:00,8.866,29.602,11.8,10.467
12/03/20 19:15:00,8.170,30.319,11.8,10.124
12/03/20 19:30:00,7.444,30.738,11.8,9.805
12/03/20 19:45:00,6.636,30.956,11.8,9.410
12/03/20 20:00:00,5.847,32.929,11.8,9.015
12/03/20 20:15:00,5.437,32.254,11.8,8.916
12/03/20 20:30:00,5.282,32.303,11.8,8.866
