"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20720662, LBL: Int Modulo)","HR, % (SEN S/N: 20720662, LBL: Int Modulo)","CO2, ppm (SEN S/N: 20720662, LBL: Int Modulo )"
11/11/20 09:15:00,19.674,26.050,772
11/11/20 09:15:30,19.674,25.562,730
11/11/20 09:16:00,19.508,24.243,692
11/11/20 09:16:30,19.508,23.291,692
11/11/20 09:17:00,19.294,22.388,678
11/11/20 09:17:30,19.199,22.217,674
11/11/20 09:18:00,19.103,22.144,686
11/11/20 09:18:30,19.103,20.093,1004
11/11/20 09:19:00,19.222,21.631,1414
11/11/20 09:19:30,19.484,22.534,1764
11/11/20 09:20:00,19.793,23.804,2093
11/11/20 09:20:30,20.222,25.464,2413
11/11/20 09:21:00,20.793,27.173,2740
11/11/20 09:21:30,21.223,28.491,3084
11/11/20 09:22:00,21.819,30.005,3351
11/11/20 09:22:30,22.417,31.177,3672
11/11/20 09:23:00,22.968,32.031,3897
11/11/20 09:23:30,23.545,32.837,4148
11/11/20 09:24:00,24.195,33.350,4394
11/11/20 09:24:30,24.871,33.789,4704
11/11/20 09:25:00,25.404,33.740,4863
11/11/20 09:25:30,25.866,32.715,4869
11/11/20 09:26:00,26.280,32.495,4907
11/11/20 09:26:30,26.500,31.812,4921
11/11/20 09:27:00,26.598,30.933,4878
11/11/20 09:27:30,26.646,30.078,4711
11/11/20 09:28:00,26.598,29.126,4733
11/11/20 09:28:30,26.549,27.466,4307
11/11/20 09:29:00,26.426,25.830,3776
11/11/20 09:29:30,26.304,25.781,3588
11/11/20 09:30:00,26.182,25.854,3819
11/11/20 09:30:30,26.036,25.317,3703
11/11/20 09:31:00,25.890,25.244,3666
11/11/20 09:31:30,25.720,25.195,3739
11/11/20 09:32:00,25.574,25.464,3786
11/11/20 09:32:30,25.404,25.220,3811
11/11/20 09:33:00,25.234,25.122,3657
11/11/20 09:33:30,25.089,24.561,3678
11/11/20 09:34:00,24.944,24.341,3401
11/11/20 09:34:30,24.750,24.194,3312
11/11/20 09:35:00,24.581,23.828,3112
11/11/20 09:35:30,24.412,23.950,3110
11/11/20 09:36:00,24.291,24.072,3107
11/11/20 09:36:30,24.146,23.462,2948
11/11/20 09:37:00,23.978,23.706,2833
11/11/20 09:37:30,23.809,23.926,2985
11/11/20 09:38:00,23.689,23.828,3060
11/11/20 09:38:30,23.545,23.608,2909
11/11/20 09:39:00,23.400,23.413,2789
11/11/20 09:39:30,23.232,23.511,2711
11/11/20 09:40:00,23.112,23.511,2726
11/11/20 09:40:30,22.968,23.462,2650
11/11/20 09:41:00,22.872,23.267,2591
11/11/20 09:41:30,22.729,23.291,2542
11/11/20 09:42:00,22.633,23.389,2582
11/11/20 09:42:30,22.489,23.291,2470
11/11/20 09:43:00,22.393,23.340,2461
11/11/20 09:43:30,22.298,23.437,2466
11/11/20 09:44:00,22.202,23.462,2457
11/11/20 09:44:30,22.082,23.462,2434
11/11/20 09:45:00,22.011,23.389,2401
11/11/20 09:45:30,21.915,23.267,2320
11/11/20 09:46:00,21.795,23.413,2250
11/11/20 09:46:30,21.724,23.315,2247
11/11/20 09:47:00,21.628,23.389,2259
11/11/20 09:47:30,21.557,23.267,2156
11/11/20 09:48:00,21.509,23.218,2134
11/11/20 09:48:30,21.437,23.169,2063
11/11/20 09:49:00,21.366,23.242,2047
11/11/20 09:49:30,21.294,23.291,2068
11/11/20 09:50:00,21.223,23.315,2091
11/11/20 09:50:30,21.175,23.315,2096
11/11/20 09:51:00,21.103,23.291,2042
11/11/20 09:51:30,21.032,23.267,2022
11/11/20 09:52:00,20.936,23.267,1997
11/11/20 09:52:30,20.889,23.315,1961
11/11/20 09:53:00,20.841,23.291,1936
11/11/20 09:53:30,20.746,23.413,1935
11/11/20 09:54:00,20.698,23.413,1903
11/11/20 09:54:30,20.627,23.462,1936
11/11/20 09:55:00,20.579,23.511,1912
11/11/20 09:55:30,20.531,23.560,1933
11/11/20 09:56:00,20.507,23.560,1935
11/11/20 09:56:30,20.436,23.633,1891
11/11/20 09:57:00,20.412,23.706,1900
11/11/20 09:57:30,20.341,23.779,1883
11/11/20 09:58:00,20.293,23.828,1846
11/11/20 09:58:30,20.269,23.901,1863
11/11/20 09:59:00,20.222,24.023,1859
11/11/20 09:59:30,20.174,24.023,1853
11/11/20 10:00:00,20.103,24.072,1838
11/11/20 10:00:30,20.079,24.121,1821
11/11/20 10:01:00,20.031,24.097,1764
11/11/20 10:01:30,20.007,24.023,1759
11/11/20 10:02:00,19.960,24.023,1720
11/11/20 10:02:30,19.936,23.975,1673
11/11/20 10:03:00,19.888,24.023,1678
11/11/20 10:03:30,19.865,24.048,1653
11/11/20 10:04:00,19.841,24.146,1644
11/11/20 10:04:30,19.793,24.170,1641
11/11/20 10:05:00,19.746,23.950,1595
11/11/20 10:05:30,19.746,23.853,1562
11/11/20 10:06:00,19.698,23.828,1504
11/11/20 10:06:30,19.674,23.877,1524
11/11/20 10:07:00,19.627,23.730,1522
11/11/20 10:07:30,19.651,23.657,1465
11/11/20 10:08:00,19.579,23.828,1454
11/11/20 10:08:30,19.555,23.877,1460
11/11/20 10:09:00,19.508,23.828,1446
11/11/20 10:09:30,19.484,23.682,1427
11/11/20 10:10:00,19.484,23.535,1415
11/11/20 10:10:30,19.436,23.413,1348
11/11/20 10:11:00,19.413,23.364,1376
11/11/20 10:11:30,19.484,23.413,1328
11/11/20 10:12:00,19.365,23.193,1281
11/11/20 10:12:30,19.318,23.120,1284
11/11/20 10:13:00,19.318,23.120,1290
11/11/20 10:13:30,19.294,23.096,1257
11/11/20 10:14:00,19.270,23.022,1241
11/11/20 10:14:30,19.246,23.071,1236
11/11/20 10:15:00,19.222,23.071,1234
11/11/20 10:15:30,19.199,23.145,1234
11/11/20 10:16:00,19.175,23.120,1216
11/11/20 10:16:30,19.151,23.169,1238
11/11/20 10:17:00,19.151,23.193,1226
11/11/20 10:17:30,19.127,23.315,1213
11/11/20 10:18:00,19.103,23.340,1227
11/11/20 10:18:30,19.103,23.413,1227
11/11/20 10:19:00,19.080,23.462,1226
11/11/20 10:19:30,19.056,23.462,1232
11/11/20 10:20:00,19.080,23.486,1209
11/11/20 10:20:30,19.032,23.584,1214
11/11/20 10:21:00,19.056,23.633,1219
11/11/20 10:21:30,19.008,23.633,1199
11/11/20 10:22:00,19.032,23.706,1227
11/11/20 10:22:30,19.032,23.804,1207
11/11/20 10:23:00,18.985,23.901,1215
11/11/20 10:23:30,18.961,23.975,1192
11/11/20 10:24:00,18.961,24.048,1219
11/11/20 10:24:30,18.961,24.146,1192
11/11/20 10:25:00,18.985,24.219,1201
11/11/20 10:25:30,18.937,24.316,1201
11/11/20 10:26:00,18.937,24.414,1166
11/11/20 10:26:30,18.961,25.049,1175
11/11/20 10:27:00,18.961,26.074,1254
11/11/20 10:27:30,18.961,24.951,1217
11/11/20 10:28:00,19.008,24.951,1176
11/11/20 10:28:30,18.985,24.536,1172
11/11/20 10:29:00,18.961,24.048,1105
11/11/20 10:29:30,18.985,23.779,1095
11/11/20 10:30:00,19.008,23.657,1072
11/11/20 10:30:30,19.008,23.218,1034
11/11/20 10:31:00,19.246,24.243,1417
11/11/20 10:31:30,19.555,25.220,1800
11/11/20 10:32:00,19.984,26.855,2174
11/11/20 10:32:30,20.555,28.687,2547
11/11/20 10:33:00,21.223,30.444,2872
11/11/20 10:33:30,21.843,31.958,3232
11/11/20 10:34:00,22.537,32.983,3495
11/11/20 10:34:30,23.256,33.960,3797
11/11/20 10:35:00,23.978,34.595,4074
11/11/20 10:35:30,24.653,34.937,4351
11/11/20 10:36:00,25.331,35.327,4603
11/11/20 10:36:30,26.085,35.376,4902
11/11/20 10:37:00,26.744,35.400,5000
11/11/20 10:37:30,27.456,35.132,5000
11/11/20 10:38:00,28.023,34.888,5000
11/11/20 10:38:30,28.642,34.619,5000
11/11/20 10:39:00,29.265,34.253,5000
11/11/20 10:39:30,29.765,33.643,5000
11/11/20 10:40:00,29.991,33.032,5000
11/11/20 10:40:30,30.091,31.860,5000
11/11/20 10:41:00,30.117,30.957,5000
11/11/20 10:41:30,30.091,29.956,5000
11/11/20 10:42:00,29.991,28.711,5000
11/11/20 10:42:30,29.916,27.686,5000
11/11/20 10:43:00,29.765,26.733,5000
11/11/20 10:43:30,29.590,26.025,4721
11/11/20 10:44:00,29.389,25.830,4679
11/11/20 10:44:30,29.240,25.244,4495
11/11/20 10:45:00,29.090,24.805,4349
11/11/20 10:45:30,28.891,24.438,4253
11/11/20 10:46:00,28.766,24.341,4258
11/11/20 10:46:30,28.593,24.146,4205
11/11/20 10:47:00,28.419,24.023,4113
11/11/20 10:47:30,28.221,23.828,4052
11/11/20 10:48:00,28.072,23.828,3977
11/11/20 10:48:30,27.924,23.950,4035
11/11/20 10:49:00,27.727,23.804,3971
