"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20720662, LBL: Int Modulo)","HR, % (SEN S/N: 20720662, LBL: Int Modulo)","CO2, ppm (SEN S/N: 20720662, LBL: Int Modulo )"
12/21/20 08:34:00,14.697,58.423,0
12/21/20 08:34:30,14.673,56.958,0
12/21/20 08:35:00,14.625,57.544,0
12/21/20 08:35:30,14.553,55.298,0
12/21/20 08:36:00,14.457,56.567,0
12/21/20 08:36:30,14.409,56.445,0
12/21/20 08:37:00,14.409,58.057,0
12/21/20 08:37:30,14.553,58.936,0
12/21/20 08:38:00,14.888,62.061,0
12/21/20 08:38:30,15.199,61.938,0
12/21/20 08:39:00,15.652,62.988,0
12/21/20 08:39:30,16.034,62.866,0
12/21/20 08:40:00,16.439,62.939,0
12/21/20 08:40:30,16.796,61.646,0
12/21/20 08:41:00,17.082,60.791,0
12/21/20 08:41:30,17.344,60.645,0
12/21/20 08:42:00,17.558,59.717,0
12/21/20 08:42:30,17.915,57.642,0
12/21/20 08:43:00,18.105,58.252,0
12/21/20 08:43:30,18.295,56.982,0
12/21/20 08:44:00,18.485,56.836,0
12/21/20 08:44:30,18.675,55.859,0
12/21/20 08:45:00,18.913,54.248,0
12/21/20 08:45:30,19.103,53.320,0
12/21/20 08:46:00,19.318,52.686,0
12/21/20 08:46:30,19.460,51.465,0
12/21/20 08:47:00,19.555,52.051,0
12/21/20 08:47:30,19.651,49.951,0
12/21/20 08:48:00,19.674,49.683,0
12/21/20 08:48:30,19.579,49.072,0
12/21/20 08:49:00,19.508,48.193,0
12/21/20 08:49:30,19.413,48.657,0
12/21/20 08:50:00,19.270,47.681,0
12/21/20 08:50:30,19.175,46.948,0
12/21/20 08:51:00,19.008,46.338,0
12/21/20 08:51:30,18.913,46.387,0
12/21/20 08:52:00,18.771,46.313,0
12/21/20 08:52:30,18.675,46.851,0
12/21/20 08:53:00,18.533,46.338,0
12/21/20 08:53:30,18.366,45.508,0
12/21/20 08:54:00,18.271,45.654,0
12/21/20 08:54:30,18.176,45.044,0
12/21/20 08:55:00,18.057,45.801,0
12/21/20 08:55:30,17.938,45.850,0
12/21/20 08:56:00,17.819,45.776,0
12/21/20 08:56:30,17.701,46.069,0
12/21/20 08:57:00,17.582,45.923,0
