"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20720662, LBL: Int Modulo)","HR, % (SEN S/N: 20720662, LBL: Int Modulo)","CO2, ppm (SEN S/N: 20720662, LBL: Int Modulo )"
12/19/20 20:00:00,12.122,55.908,844
12/19/20 20:00:30,12.195,55.762,851
12/19/20 20:01:00,12.074,55.859,853
12/19/20 20:01:30,12.001,55.713,828
12/19/20 20:02:00,11.977,56.299,821
12/19/20 20:02:30,11.953,56.567,869
12/19/20 20:03:00,11.977,57.861,981
12/19/20 20:03:30,11.977,58.789,1308
12/19/20 20:04:00,12.122,59.570,1533
12/19/20 20:04:30,12.292,60.205,1776
12/19/20 20:05:00,12.461,61.401,1994
12/19/20 20:05:30,12.703,62.158,2235
12/19/20 20:06:00,12.944,63.086,2401
12/19/20 20:06:30,13.185,63.940,2693
12/19/20 20:07:00,13.522,65.332,2984
12/19/20 20:07:30,13.834,65.894,3324
12/19/20 20:08:00,14.098,66.724,3537
12/19/20 20:08:30,14.481,67.944,3823
12/19/20 20:09:00,14.936,68.750,4154
12/19/20 20:09:30,15.175,68.384,4395
12/19/20 20:10:00,15.485,68.945,4690
12/19/20 20:10:30,15.843,69.507,4973
12/19/20 20:11:00,16.153,69.556,5000
12/19/20 20:11:30,16.439,69.629,5000
12/19/20 20:12:00,16.677,69.482,5000
12/19/20 20:12:30,17.058,69.727,5000
12/19/20 20:13:00,17.296,69.482,5000
12/19/20 20:13:30,17.653,69.727,5000
12/19/20 20:14:00,17.867,69.604,5000
12/19/20 20:14:30,18.081,69.531,5000
12/19/20 20:15:00,18.390,69.629,5000
12/19/20 20:15:30,18.604,69.360,5000
12/19/20 20:16:00,18.866,69.238,5000
12/19/20 20:16:30,19.103,69.116,5000
12/19/20 20:17:00,19.389,68.701,5000
12/19/20 20:17:30,19.627,68.579,5000
12/19/20 20:18:00,19.746,67.114,5000
12/19/20 20:18:30,19.865,62.207,5000
12/19/20 20:19:00,19.865,57.886,5000
12/19/20 20:19:30,19.912,56.738,5000
12/19/20 20:20:00,19.960,57.153,5000
12/19/20 20:20:30,20.055,55.591,4910
12/19/20 20:21:00,20.007,54.810,4696
12/19/20 20:21:30,20.079,54.736,4735
12/19/20 20:22:00,20.174,54.956,4877
12/19/20 20:22:30,20.293,54.785,4967
12/19/20 20:23:00,20.365,54.492,4951
12/19/20 20:23:30,20.388,54.346,4867
12/19/20 20:24:00,20.388,54.224,4863
12/19/20 20:24:30,20.365,53.931,4739
12/19/20 20:25:00,20.317,53.833,4728
12/19/20 20:25:30,20.293,53.613,4742
12/19/20 20:26:00,20.222,53.564,4723
12/19/20 20:26:30,20.174,53.564,4688
12/19/20 20:27:00,20.103,53.540,4723
12/19/20 20:27:30,20.007,53.613,4633
12/19/20 20:28:00,19.912,53.613,4624
12/19/20 20:28:30,19.841,53.638,4625
12/19/20 20:29:00,19.770,53.662,4519
