"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20720662, LBL: Int Modulo)","HR, % (SEN S/N: 20720662, LBL: Int Modulo)","CO2, ppm (SEN S/N: 20720662, LBL: Int Modulo )"
04/23/21 14:20:00,15.867,29.053,379
04/23/21 14:20:30,15.963,28.809,389
04/23/21 14:21:00,16.225,28.687,391
04/23/21 14:21:30,16.439,27.661,397
04/23/21 14:22:00,16.606,29.077,391
04/23/21 14:22:30,15.676,27.466,381
04/23/21 14:23:00,16.439,27.563,394
04/23/21 14:23:30,16.415,27.710,392
04/23/21 14:24:00,16.392,28.101,397
04/23/21 14:24:30,15.963,29.199,381
04/23/21 14:25:00,17.296,30.493,407
04/23/21 14:25:30,17.843,30.469,401
04/23/21 14:26:00,18.176,29.175,406
04/23/21 14:26:30,18.628,29.150,398
04/23/21 14:27:00,19.460,28.540,416
04/23/21 14:27:30,20.126,27.466,420
04/23/21 14:28:00,20.865,27.563,409
04/23/21 14:28:30,21.294,27.368,420
04/23/21 14:29:00,20.936,26.660,417
04/23/21 14:29:30,21.342,26.294,420
04/23/21 14:30:00,21.628,26.489,430
04/23/21 14:30:30,21.891,26.538,405
04/23/21 14:31:00,22.226,25.269,413
04/23/21 14:31:30,22.465,24.976,417
04/23/21 14:32:00,22.298,29.736,528
04/23/21 14:32:30,22.753,29.883,467
04/23/21 14:33:00,22.824,30.835,459
04/23/21 14:33:30,22.896,31.128,436
04/23/21 14:34:00,22.537,31.348,508
04/23/21 14:34:30,22.202,30.420,477
04/23/21 14:35:00,22.106,32.593,446
04/23/21 14:35:30,21.963,32.910,445
04/23/21 14:36:00,21.843,32.104,411
04/23/21 14:36:30,21.891,32.349,419
04/23/21 14:37:00,22.058,33.130,427
04/23/21 14:37:30,22.058,33.691,479
04/23/21 14:38:00,22.298,32.983,434
04/23/21 14:38:30,22.298,33.228,419
04/23/21 14:39:00,22.465,31.152,572
04/23/21 14:39:30,22.824,32.373,935
04/23/21 14:40:00,23.328,33.643,1163
04/23/21 14:40:30,23.881,35.889,1560
04/23/21 14:41:00,24.508,36.963,1809
04/23/21 14:41:30,25.113,38.501,2117
04/23/21 14:42:00,25.841,39.648,2429
04/23/21 14:42:30,26.353,40.552,2713
04/23/21 14:43:00,26.965,41.846,3088
04/23/21 14:43:30,27.554,42.432,3381
04/23/21 14:44:00,28.072,42.993,3630
04/23/21 14:44:30,28.568,43.677,3993
04/23/21 14:45:00,29.090,44.336,4293
04/23/21 14:45:30,29.590,44.287,4570
04/23/21 14:46:00,30.066,44.604,4697
04/23/21 14:46:30,30.495,44.800,5000
04/23/21 14:47:00,30.824,44.946,5000
04/23/21 14:47:30,31.001,45.044,5000
04/23/21 14:48:00,31.510,45.337,5000
04/23/21 14:48:30,31.944,45.483,5000
04/23/21 14:49:00,32.433,45.508,5000
04/23/21 14:49:30,32.846,45.459,5000
04/23/21 14:50:00,33.183,45.483,271
04/23/21 14:50:30,33.495,45.312,271
04/23/21 14:51:00,33.730,45.166,271
04/23/21 14:51:30,33.835,45.312,271
04/23/21 14:52:00,33.835,45.239,271
04/23/21 14:52:30,33.835,44.946,271
04/23/21 14:53:00,33.757,44.653,271
04/23/21 14:53:30,33.757,44.458,271
04/23/21 14:54:00,33.678,44.019,271
04/23/21 14:54:30,33.600,43.677,271
04/23/21 14:55:00,33.287,43.213,271
04/23/21 14:55:30,33.287,42.920,271
04/23/21 14:56:00,33.209,42.700,271
04/23/21 14:56:30,33.131,42.578,271
04/23/21 14:57:00,32.975,42.456,5000
04/23/21 14:57:30,32.562,42.212,271
04/23/21 14:58:00,32.536,42.090,5000
04/23/21 14:58:30,32.175,42.114,5000
04/23/21 14:59:00,31.996,42.041,5000
04/23/21 14:59:30,31.944,42.114,5000
04/23/21 15:00:00,31.740,42.114,5000
04/23/21 15:00:30,31.791,42.187,5000
04/23/21 15:01:00,31.765,42.187,5000
04/23/21 15:01:30,31.816,42.236,5000
04/23/21 15:02:00,31.868,42.139,5000
04/23/21 15:02:30,31.791,42.041,5000
04/23/21 15:03:00,31.663,41.992,5000
04/23/21 15:03:30,31.484,41.943,5000
04/23/21 15:04:00,30.900,41.870,5000
04/23/21 15:04:30,31.103,41.870,5000
04/23/21 15:05:00,30.748,41.943,5000
04/23/21 15:05:30,30.192,41.821,5000
04/23/21 15:06:00,30.444,41.919,5000
04/23/21 15:06:30,30.343,42.017,5000
04/23/21 15:07:00,29.765,42.090,5000
04/23/21 15:07:30,29.464,42.212,5000
04/23/21 15:08:00,29.464,42.334,5000
04/23/21 15:08:30,29.115,42.505,5000
04/23/21 15:09:00,29.414,42.603,5000
04/23/21 15:09:30,29.365,42.773,4988
04/23/21 15:10:00,29.464,42.847,5000
04/23/21 15:10:30,29.240,42.871,4858
04/23/21 15:11:00,28.791,42.896,4850
04/23/21 15:11:30,28.196,42.822,4793
04/23/21 15:12:00,27.751,42.969,4711
04/23/21 15:12:30,27.579,43.140,4675
04/23/21 15:13:00,27.407,43.359,4692
04/23/21 15:13:30,27.259,43.506,4622
04/23/21 15:14:00,26.793,43.677,4496
04/23/21 15:14:30,26.549,43.872,4441
04/23/21 15:15:00,26.304,44.141,4352
04/23/21 15:15:30,26.158,44.312,4313
04/23/21 15:16:00,26.036,44.507,4340
04/23/21 15:16:30,25.939,44.751,4251
04/23/21 15:17:00,25.744,44.946,4186
04/23/21 15:17:30,25.695,45.093,4166
04/23/21 15:18:00,25.866,45.386,4091
04/23/21 15:18:30,25.501,45.483,3989
04/23/21 15:19:00,25.453,45.605,3993
04/23/21 15:19:30,25.307,45.825,3944
04/23/21 15:20:00,25.186,46.069,3892
04/23/21 15:20:30,25.234,46.289,3850
04/23/21 15:21:00,24.944,46.167,3841
04/23/21 15:21:30,24.895,46.387,3859
04/23/21 15:22:00,24.774,46.655,3683
04/23/21 15:22:30,24.847,46.802,3631
04/23/21 15:23:00,24.508,46.875,3581
04/23/21 15:23:30,24.702,47.217,3471
04/23/21 15:24:00,24.750,47.266,3501
04/23/21 15:24:30,24.508,47.412,3375
04/23/21 15:25:00,24.605,47.363,3314
04/23/21 15:25:30,24.895,47.632,3300
04/23/21 15:26:00,24.750,47.656,3334
04/23/21 15:26:30,24.798,47.656,3319
04/23/21 15:27:00,25.065,47.607,3322
04/23/21 15:27:30,24.871,47.803,3235
04/23/21 15:28:00,25.210,47.656,3246
04/23/21 15:28:30,25.162,47.607,3208
04/23/21 15:29:00,25.525,47.925,3277
04/23/21 15:29:30,25.404,47.778,3206
04/23/21 15:30:00,25.065,47.900,3163
04/23/21 15:30:30,25.137,47.876,3113
04/23/21 15:31:00,24.871,47.876,3074
04/23/21 15:31:30,24.508,47.656,3058
04/23/21 15:32:00,24.871,47.729,3011
04/23/21 15:32:30,25.089,47.925,3027
04/23/21 15:33:00,24.895,48.022,2920
04/23/21 15:33:30,24.436,47.876,2921
04/23/21 15:34:00,24.243,47.778,2839
04/23/21 15:34:30,23.930,47.534,2812
04/23/21 15:35:00,23.833,47.876,2812
04/23/21 15:35:30,23.785,47.925,2801
04/23/21 15:36:00,23.641,48.169,2779
04/23/21 15:36:30,23.521,47.974,2768
04/23/21 15:37:00,23.545,48.169,2738
04/23/21 15:37:30,23.424,48.145,2711
04/23/21 15:38:00,23.304,48.437,2710
04/23/21 15:38:30,23.352,48.437,2685
04/23/21 15:39:00,23.184,48.437,2614
04/23/21 15:39:30,23.136,48.389,2585
04/23/21 15:40:00,23.112,48.584,2529
04/23/21 15:40:30,23.088,48.486,2528
04/23/21 15:41:00,23.064,48.730,2519
04/23/21 15:41:30,23.016,48.657,2533
04/23/21 15:42:00,22.992,48.755,2519
04/23/21 15:42:30,22.872,48.828,2452
04/23/21 15:43:00,22.800,48.828,2412
04/23/21 15:43:30,22.800,48.462,2343
04/23/21 15:44:00,22.753,48.779,2374
04/23/21 15:44:30,22.729,48.779,2356
04/23/21 15:45:00,22.705,48.877,2322
04/23/21 15:45:30,22.729,49.121,2305
04/23/21 15:46:00,22.633,48.877,2281
04/23/21 15:46:30,22.585,49.048,2284
04/23/21 15:47:00,22.513,49.072,2274
04/23/21 15:47:30,22.369,49.023,2251
04/23/21 15:48:00,22.298,48.999,2214
04/23/21 15:48:30,22.226,48.706,2167
04/23/21 15:49:00,22.106,48.999,2148
04/23/21 15:49:30,22.082,48.999,2136
04/23/21 15:50:00,22.011,48.950,2109
04/23/21 15:50:30,21.963,48.877,2066
04/23/21 15:51:00,21.843,49.097,2096
04/23/21 15:51:30,21.772,49.194,2133
04/23/21 15:52:00,21.700,48.901,2091
04/23/21 15:52:30,21.628,49.146,2087
04/23/21 15:53:00,21.581,49.243,2066
04/23/21 15:53:30,21.509,49.292,2039
04/23/21 15:54:00,21.461,49.316,2031
04/23/21 15:54:30,21.461,49.390,2013
04/23/21 15:55:00,21.413,49.561,2023
04/23/21 15:55:30,21.342,49.414,1981
04/23/21 15:56:00,21.294,49.316,1940
