Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:IMATA
,Departamento:AREQUIPA,Provincia:CAYLLOMA,Distrito:SAN,ANTONIODECHUCA
,Latitud:15°50'33.56'',Longitud:71°5'26.22'',Altitud:4475,msnm.
,Tipo:EMA,-Meteorológica,Código:47E3834A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/05/01,00:00,-0.9,0.0,76,174,3.1
2023/05/01,01:00,-1.4,0.0,76,152,1.3
2023/05/01,02:00,-2.8,0.0,80,113,2.2
2023/05/01,03:00,-2.9,0.0,79,113,0.9
2023/05/01,04:00,-4.0,0.0,80,176,2.4
2023/05/01,05:00,-4.8,0.0,83,126,2.6
2023/05/01,06:00,-5.9,0.0,86,165,1.9
2023/05/01,07:00,-2.6,0.0,76,75,1.2
2023/05/01,08:00,0.6,0.0,68,87,1.8
2023/05/01,09:00,5.4,0.0,47,178,0.6
2023/05/01,10:00,8.8,0.0,34,118,1.2
2023/05/01,11:00,11.4,0.0,30,106,3.0
2023/05/01,12:00,12.3,0.0,25,52,2.8
2023/05/01,13:00,13.6,0.0,25,160,2.6
2023/05/01,14:00,13.8,0.0,24,173,3.5
2023/05/01,15:00,13.7,0.0,28,245,8.1
2023/05/01,16:00,12.3,0.0,37,250,9.3
2023/05/01,17:00,9.4,0.0,44,233,9.8
2023/05/01,18:00,5.5,0.0,53,254,7.1
2023/05/01,19:00,2.7,0.0,63,293,4.1
2023/05/01,20:00,1.1,0.0,82,275,5.5
2023/05/01,21:00,0.0,0.0,86,257,4.6
2023/05/01,22:00,-0.8,0.0,90,230,2.3
2023/05/01,23:00,-0.8,0.0,90,270,1.4
2023/05/02,00:00,-2.2,0.0,87,134,1.6
2023/05/02,01:00,-3.1,0.0,94,178,1.1
2023/05/02,02:00,-2.7,0.0,94,190,1.9
2023/05/02,03:00,-4.3,0.0,93,186,2.2
2023/05/02,04:00,-4.3,0.0,94,162,1.5
2023/05/02,05:00,-6.1,0.0,98,155,1.8
2023/05/02,06:00,-5.6,0.0,99,148,1.2
2023/05/02,07:00,-5.7,0.0,94,142,2.4
2023/05/02,08:00,-1.3,0.0,88,60,2.5
2023/05/02,09:00,5.3,0.0,52,48,3.5
2023/05/02,10:00,9.1,0.0,32,249,0.5
2023/05/02,11:00,11.1,0.0,28,80,1.1
2023/05/02,12:00,12.2,0.0,27,3,4.6
2023/05/02,13:00,12.7,0.0,27,31,3.0
2023/05/02,14:00,13.5,0.0,25,347,1.4
2023/05/02,15:00,13.9,0.0,23,129,2.9
2023/05/02,16:00,12.9,0.0,27,257,7.0
2023/05/02,17:00,10.3,0.0,37,243,8.5
2023/05/02,18:00,6.5,0.0,46,263,5.8
2023/05/02,19:00,3.1,0.0,56,334,3.2
2023/05/02,20:00,1.7,0.0,66,290,4.5
2023/05/02,21:00,1.0,0.0,72,229,3.1
2023/05/02,22:00,-0.5,0.0,74,173,1.8
2023/05/02,23:00,-0.8,0.0,80,211,1.4
2023/05/03,00:00,-1.7,0.0,81,164,1.5
2023/05/03,01:00,-2.7,0.0,83,123,2.3
2023/05/03,02:00,-2.5,0.0,85,119,2.1
2023/05/03,03:00,-3.6,0.0,89,92,2.8
2023/05/03,04:00,-4.1,0.0,93,162,2.7
2023/05/03,05:00,-4.9,0.0,90,174,2.1
2023/05/03,06:00,-3.5,0.0,88,119,0.7
2023/05/03,07:00,-3.5,0.0,87,167,2.0
2023/05/03,08:00,-0.1,0.0,84,155,0.9
2023/05/03,09:00,5.3,0.0,61,169,1.3
2023/05/03,10:00,9.4,0.0,50,40,1.5
2023/05/03,11:00,10.8,0.0,43,324,1.8
2023/05/03,12:00,11.6,0.0,40,350,6.1
2023/05/03,13:00,11.8,0.0,36,281,7.2
2023/05/03,14:00,12.1,0.0,37,58,3.5
2023/05/03,15:00,11.4,0.0,41,146,4.7
2023/05/03,16:00,9.9,0.0,43,340,7.1
2023/05/03,17:00,8.2,0.0,46,244,6.1
2023/05/03,18:00,6.3,0.0,46,237,5.3
2023/05/03,19:00,3.8,0.0,54,232,6.6
2023/05/03,20:00,3.3,0.0,57,248,5.1
2023/05/03,21:00,2.1,0.0,60,255,3.3
2023/05/03,22:00,1.3,0.0,66,337,0.7
2023/05/03,23:00,1.6,0.0,65,135,1.8
2023/05/04,00:00,0.1,0.0,69,158,1.6
2023/05/04,01:00,-1.6,0.0,79,181,1.9
2023/05/04,02:00,-1.9,0.0,79,190,1.2
2023/05/04,03:00,-2.9,0.0,82,143,2.4
2023/05/04,04:00,-3.9,0.0,91,164,1.8
2023/05/04,05:00,-3.8,0.0,85,163,2.1
2023/05/04,06:00,-4.2,0.0,89,134,2.1
2023/05/04,07:00,-3.8,0.0,87,129,0.7
2023/05/04,08:00,0.6,0.0,79,112,1.6
2023/05/04,09:00,5.8,0.0,66,103,1.7
2023/05/04,10:00,8.9,0.0,53,310,1.6
2023/05/04,11:00,10.1,0.0,50,304,3.7
2023/05/04,12:00,11.9,0.0,42,321,5.0
2023/05/04,13:00,12.8,0.0,36,326,5.3
2023/05/04,14:00,13.3,0.0,36,265,9.6
2023/05/04,15:00,11.3,0.0,43,250,10.2
2023/05/04,16:00,10.4,0.0,48,266,6.9
2023/05/04,17:00,8.6,0.0,52,274,6.9
2023/05/04,18:00,6.0,0.0,60,268,5.5
2023/05/04,19:00,4.7,0.0,65,248,4.9
2023/05/04,20:00,2.7,0.0,73,266,5.6
2023/05/04,21:00,3.2,0.0,76,281,2.8
2023/05/04,22:00,1.3,0.0,87,270,3.4
2023/05/04,23:00,1.2,0.0,85,322,1.4
2023/05/05,00:00,1.5,0.0,82,236,3.1
2023/05/05,01:00,1.5,0.0,84,216,1.3
2023/05/05,02:00,1.6,0.0,85,238,0.6
2023/05/05,03:00,1.3,0.0,84,237,2.9
