Date,P_norte,P_sur,P_oeste,P_este,P_ext_este,P_ext_sur,P_ext_oeste,P_ext_norte,T_int1,RH,lux,T_atico
2021-12-20 14:00:00,14.611,15.209,14.337,15.47,21.772,19.228,22.182,17.32,18.319,51.542,2566.2,39.346
2021-12-20 14:15:00,14.595,15.199,14.322,15.464,21.009,18.919,25.876,17.659,18.557,52.196,2132.6,40.602
2021-12-20 14:30:00,14.587,15.19,14.319,15.463,20.755,19.036,28.247,17.469,18.699,52.619,1044.6,41.736
2021-12-20 14:45:00,14.554,15.151,14.289,15.415,20.323,18.458,23.835,17.018,18.081,53.676,1060.4,37.261
2021-12-20 15:00:00,14.478,15.049,14.217,15.309,19.554,17.556,21.607,16.326,17.368,54.802,1281.1,31.97
2021-12-20 15:15:00,14.381,14.928,14.129,15.191,18.852,16.774,20.012,15.81,16.796,55.696,942.1,29.24
2021-12-20 15:30:00,14.282,14.815,14.039,15.082,18.536,16.58,20.305,15.591,16.534,55.961,1020.9,28.766
2021-12-20 15:45:00,14.192,14.711,13.957,14.984,18.065,16.534,20.698,15.5,16.368,56.058,965.8,29.615
2021-12-20 16:00:00,14.101,14.61,13.876,14.889,17.32,15.766,19.988,15.0,16.058,56.406,957.9,27.431
2021-12-20 16:15:00,14.012,14.512,13.799,14.801,17.009,15.491,20.018,14.692,15.867,56.256,918.5,27.038
2021-12-20 16:30:00,13.934,14.429,13.735,14.72,16.905,15.417,22.835,14.631,15.819,55.733,1202.3,27.604
2021-12-20 16:45:00,13.861,14.352,13.675,14.646,16.476,15.061,20.254,14.208,15.605,55.974,618.9,26.207
2021-12-20 17:00:00,13.771,14.253,13.596,14.548,15.552,14.165,17.966,13.266,15.151,56.148,500.6,22.202
2021-12-20 17:15:00,13.675,14.156,13.512,14.445,14.773,13.443,17.21,12.583,14.816,54.489,335.1,20.603
2021-12-20 17:30:00,13.572,14.045,13.424,14.339,14.066,12.731,15.579,11.874,14.457,54.436,350.8,18.937
2021-12-20 17:45:00,13.47,13.937,13.336,14.241,13.623,12.258,14.68,11.376,14.194,54.823,319.3,18.319
2021-12-20 18:00:00,13.367,13.826,13.248,14.137,12.796,11.428,13.775,10.577,13.834,54.951,98.5,15.843
2021-12-20 18:15:00,13.258,13.708,13.157,14.023,11.975,10.629,12.379,9.886,13.449,55.831,11.8,13.738
2021-12-20 18:30:00,13.147,13.592,13.063,13.907,11.251,9.946,11.353,9.199,13.064,56.164,11.8,12.098
2021-12-20 18:45:00,13.037,13.482,12.969,13.793,10.782,9.503,10.745,8.758,12.823,57.388,11.8,11.248
2021-12-20 19:00:00,12.936,13.38,12.883,13.691,10.534,9.316,10.435,8.539,12.63,58.374,11.8,10.712
2021-12-20 19:15:00,12.844,13.29,12.806,13.598,10.216,9.095,10.064,8.262,12.509,59.603,11.8,10.369
2021-12-20 19:30:00,12.76,13.201,12.736,13.512,9.854,8.775,9.617,7.935,12.364,60.38,11.8,10.026
2021-12-20 19:45:00,12.68,13.12,12.671,13.43,9.552,8.549,9.305,7.713,12.268,60.925,11.8,9.682
2021-12-20 20:00:00,12.606,13.046,12.612,13.353,9.321,8.399,8.979,7.533,12.171,61.763,11.8,9.854
2021-12-20 20:15:00,12.536,12.978,12.559,13.284,9.094,8.188,8.751,7.332,12.05,62.007,11.8,9.312
2021-12-20 20:30:00,12.471,12.916,12.508,13.222,8.855,7.953,8.507,7.119,11.953,62.138,11.8,8.965
2021-12-20 20:45:00,12.409,12.858,12.461,13.163,8.641,7.741,8.279,6.933,11.88,62.448,11.8,8.717
2021-12-20 21:00:00,12.351,12.802,12.419,13.106,8.366,7.495,7.97,6.705,11.807,63.196,11.8,8.568
2021-12-20 21:15:00,12.298,12.751,12.378,13.052,8.124,7.269,7.727,6.504,11.734,63.446,11.8,8.07
