date,To,Ig,RH,P,WS,WD
2023-03-12 11:00:00,9.3,663.0,75.0,29.74,4.0,247.5
2023-03-12 12:00:00,9.7,653.0,69.0,29.721,7.0,225.0
2023-03-12 13:00:00,10.8,852.0,64.0,29.681,5.0,247.5
2023-03-12 14:00:00,10.5,700.0,67.0,29.628,7.0,247.5
2023-03-12 15:00:00,10.8,325.0,67.0,29.587,9.0,247.5
2023-03-12 16:00:00,9.3,306.0,74.0,29.587,7.0,270.0
2023-03-12 17:00:00,6.1,52.0,86.0,29.604,10.0,67.5
2023-03-12 18:00:00,4.7,4.0,89.0,29.632,9.0,45.0
2023-03-12 19:00:00,4.4,0.0,91.0,29.671,7.0,67.5
2023-03-12 20:00:00,4.0,0.0,92.0,29.684,8.0,67.5
2023-03-12 21:00:00,2.4,0.0,91.0,29.735,5.0,67.5
2023-03-12 22:00:00,1.3,0.0,92.0,29.77,2.0,0.0
2023-03-12 23:00:00,0.9,0.0,92.0,29.78,1.0,0.0
2023-03-13 00:00:00,0.8,0.0,92.0,29.757,0.0,112.5
2023-03-13 01:00:00,1.1,0.0,92.0,29.746,0.0,
2023-03-13 02:00:00,0.8,0.0,93.0,29.736,0.0,112.5
2023-03-13 03:00:00,0.8,0.0,93.0,29.733,0.0,
2023-03-13 04:00:00,0.9,0.0,93.0,29.735,0.0,
2023-03-13 05:00:00,0.8,0.0,93.0,29.737,0.0,
2023-03-13 06:00:00,1.1,7.0,93.0,29.751,0.0,
2023-03-13 07:00:00,1.4,60.0,93.0,29.764,0.0,
2023-03-13 08:00:00,3.7,356.0,94.0,29.762,0.0,0.0
2023-03-13 09:00:00,5.8,513.0,91.0,29.765,6.0,292.5
2023-03-13 10:00:00,7.5,599.0,82.0,29.749,10.0,270.0
2023-03-13 11:00:00,8.1,924.0,83.0,29.713,13.0,292.5
2023-03-13 12:00:00,9.2,873.0,76.0,29.665,14.0,292.5
2023-03-13 13:00:00,7.3,395.0,87.0,29.644,15.0,292.5
2023-03-13 14:00:00,9.2,910.0,76.0,29.613,15.0,292.5
2023-03-13 15:00:00,8.7,504.0,77.0,29.594,12.0,292.5
2023-03-13 16:00:00,7.1,140.0,81.0,29.635,16.0,270.0
2023-03-13 17:00:00,5.5,34.0,86.0,29.671,8.0,270.0
2023-03-13 18:00:00,4.6,1.0,89.0,29.715,7.0,315.0
2023-03-13 19:00:00,1.2,0.0,90.0,29.772,2.0,22.5
