date;To;Ig;RH;P;WS;WD
24/03/2023 00:00;1.8;0;90;29.728;3;67.5
24/03/2023 01:00;1.1;0;90;29.756;2;90
24/03/2023 02:00;0.8;0;89;29.764;1;67.5
24/03/2023 03:00;0.7;0;90;29.755;0;
24/03/2023 04:00;0.6;0;90;29.753;0;
24/03/2023 05:00;-0.1;0;90;29.743;1;67.5
24/03/2023 06:00;-0.6;0;90;29.746;1;67.5
24/03/2023 07:00;-1.3;0;91;29.75;0;292.5
24/03/2023 08:00;-1.7;0;91;29.782;0;337.5
24/03/2023 09:00;-1.2;17;92;29.793;2;0
24/03/2023 10:00;1.6;232;90;29.808;1;0
24/03/2023 11:00;4.2;488;82;29.818;0;292.5
24/03/2023 12:00;5.4;722;64;29.81;1;315
24/03/2023 13:00;4.9;915;64;29.813;4;90
24/03/2023 14:00;6.7;987;58;29.787;3;112.5
24/03/2023 15:00;8.1;1040;50;29.745;4;45
24/03/2023 16:00;8.8;861;46;29.713;6;45
24/03/2023 17:00;9.2;359;52;29.682;8;22.5
24/03/2023 18:00;9.3;670;51;29.659;13;45
24/03/2023 19:00;7.8;457;70;29.656;16;67.5
24/03/2023 20:00;4.5;171;82;29.661;17;45
24/03/2023 21:00;2.4;5;89;29.71;13;45
24/03/2023 22:00;1.9;0;90;29.758;9;67.5
24/03/2023 23:00;1.3;0;90;29.798;8;67.5
25/03/2023 00:00;0.6;0;91;29.823;6;67.5
25/03/2023 01:00;0.2;0;90;29.821;4;90
25/03/2023 02:00;-0.3;0;86;29.84;4;90
25/03/2023 03:00;-0.8;0;86;29.845;3;67.5
25/03/2023 04:00;-1.3;0;87;29.837;1;67.5
25/03/2023 05:00;-1.5;0;89;29.821;1;45
25/03/2023 06:00;-1.9;0;90;29.819;0;22.5
25/03/2023 07:00;-2.1;0;90;29.806;0;337.5
25/03/2023 08:00;-2.7;0;91;29.807;0;337.5
25/03/2023 09:00;-2.1;13;92;29.817;0;315
25/03/2023 10:00;-0.4;226;90;29.836;1;315
25/03/2023 11:00;1.6;457;85;29.847;3;270
25/03/2023 12:00;3.7;706;80;29.85;5;225
25/03/2023 13:00;7.3;879;70;29.835;4;225
25/03/2023 14:00;9.2;991;44;29.823;4;202.5
25/03/2023 15:00;10.5;1023;46;29.799;3;180
25/03/2023 16:00;11.7;986;43;29.758;3;202.5
25/03/2023 17:00;11.9;876;41;29.705;4;315
25/03/2023 18:00;9.2;507;60;29.685;10;67.5
25/03/2023 19:00;7.3;145;71;29.668;15;45
25/03/2023 20:00;4.7;83;81;29.694;16;67.5
25/03/2023 21:00;3;8;87;29.741;11;67.5
25/03/2023 22:00;2.5;0;89;29.791;9;67.5
25/03/2023 23:00;2;0;88;29.809;8;67.5
26/03/2023 00:00;1.7;0;89;29.838;3;67.5
26/03/2023 01:00;1.1;0;89;29.851;0;22.5
26/03/2023 02:00;0.3;0;90;29.857;2;0
26/03/2023 03:00;0.2;0;90;29.808;0;22.5
26/03/2023 04:00;-0.1;0;91;29.786;0;
26/03/2023 05:00;-1.4;0;91;29.76;2;67.5
26/03/2023 06:00;-2.1;0;92;29.778;0;67.5
26/03/2023 07:00;-2.5;0;92;29.779;0;90
26/03/2023 08:00;-3.4;0;92;29.804;0;270
26/03/2023 09:00;-2.8;5;92;29.816;3;315
26/03/2023 10:00;-1.3;102;93;29.84;1;315
26/03/2023 11:00;1.1;297;93;29.846;1;0
26/03/2023 12:00;4.5;569;89;29.824;4;225
26/03/2023 13:00;7.6;735;74;29.804;3;180
26/03/2023 14:00;9.1;947;59;29.774;4;202.5
26/03/2023 15:00;9.9;743;50;29.755;3;202.5
26/03/2023 16:00;11.4;746;41;29.733;5;180
26/03/2023 17:00;10;803;50;29.703;7;45
26/03/2023 18:00;12.1;757;38;29.704;6;45
26/03/2023 19:00;8.6;207;62;29.721;7;45
26/03/2023 20:00;3.9;10;83;29.767;7;180
26/03/2023 21:00;1.6;0;91;29.788;3;90
26/03/2023 22:00;1.5;0;92;29.798;3;225
26/03/2023 23:00;2.3;0;92;29.83;5;180
27/03/2023 00:00;2.2;0;92;29.851;4;0
27/03/2023 01:00;1.9;0;92;29.841;3;0
27/03/2023 02:00;2.3;0;92;29.827;0;0
27/03/2023 03:00;2.6;0;92;29.812;0;202.5
27/03/2023 04:00;2.2;0;92;29.791;1;0
27/03/2023 05:00;1.8;0;92;29.767;1;247.5
27/03/2023 06:00;1.2;0;92;29.765;1;0
27/03/2023 07:00;1.1;0;92;29.769;2;0
27/03/2023 08:00;0.6;0;92;29.761;0;0
27/03/2023 09:00;0.9;5;92;29.784;2;0
27/03/2023 10:00;1.7;58;92;29.799;1;0
27/03/2023 11:00;4.2;319;88;29.786;2;247.5
27/03/2023 12:00;6.1;478;79;29.78;0;292.5
27/03/2023 13:00;8.4;938;69;29.766;3;180
27/03/2023 14:00;9;946;63;29.738;6;202.5
27/03/2023 21:00;1.2;0;92;29.848;0;
27/03/2023 22:00;1.5;0;92;29.884;0;202.5
27/03/2023 23:00;1.6;0;92;29.875;2;202.5
28/03/2023 00:00;0.8;0;92;29.882;2;67.5
28/03/2023 01:00;0.7;0;93;29.875;1;0
28/03/2023 02:00;1.2;0;93;29.864;1;202.5
28/03/2023 03:00;1.2;0;93;29.866;0;202.5
28/03/2023 04:00;1.3;0;93;29.859;2;225
28/03/2023 05:00;1.3;8;93;29.88;3;0
28/03/2023 06:00;1.7;92;93;29.897;6;0
28/03/2023 07:00;3.2;217;91;29.924;5;225
28/03/2023 08:00;4.7;384;84;29.936;4;202.5
28/03/2023 09:00;6.7;753;78;29.893;3;202.5
28/03/2023 10:00;7.6;733;71;29.869;4;202.5
28/03/2023 11:00;9.6;984;60;29.815;2;180
28/03/2023 12:00;10.2;944;54;29.777;3;202.5
28/03/2023 13:00;8.1;507;72;29.753;13;45
28/03/2023 14:00;9;709;61;29.731;11;45
28/03/2023 15:00;7.1;295;74;29.761;15;45
28/03/2023 16:00;4.8;61;83;29.788;13;67.5
28/03/2023 17:00;3.9;5;86;29.814;12;135
28/03/2023 18:00;3.9;0;85;29.846;6;90
28/03/2023 19:00;2.9;0;88;29.873;4;67.5
28/03/2023 20:00;2.3;0;90;29.883;2;45
28/03/2023 21:00;1.9;0;91;29.885;0;202.5
28/03/2023 22:00;0.7;0;91;29.883;1;270
28/03/2023 23:00;0.2;0;92;29.879;3;225
29/03/2023 00:00;0.4;0;92;29.87;4;247.5
29/03/2023 01:00;-0.8;0;92;29.854;4;292.5
29/03/2023 02:00;-0.2;0;93;29.847;2;315
29/03/2023 03:00;-1.1;0;93;29.834;2;315
29/03/2023 04:00;-2.1;0;93;29.869;2;315
29/03/2023 05:00;-2.4;6;93;29.896;0;315
29/03/2023 06:00;-2.2;111;93;29.919;0;292.5
29/03/2023 07:00;0.3;289;93;29.934;1;0
29/03/2023 08:00;3.2;530;94;29.918;2;202.5
29/03/2023 09:00;6.6;871;88;29.883;5;225
29/03/2023 10:00;9.1;1034;61;29.863;7;202.5
29/03/2023 11:00;10;989;52;29.844;5;202.5
29/03/2023 12:00;9.9;903;48;29.83;6;90
29/03/2023 13:00;11.7;906;45;29.813;7;112.5
29/03/2023 14:00;10.6;374;49;29.774;9;45
29/03/2023 15:00;10.5;414;51;29.772;12;45
29/03/2023 16:00;8.1;151;59;29.775;17;45
29/03/2023 17:00;5.3;6;65;29.802;14;45
29/03/2023 18:00;4.2;0;69;29.845;7;67.5
29/03/2023 19:00;2.8;0;72;29.865;3;67.5
29/03/2023 20:00;1.7;0;80;29.87;3;67.5
29/03/2023 21:00;1.7;0;78;29.886;1;67.5
29/03/2023 22:00;1.2;0;77;29.885;0;270
29/03/2023 23:00;0.3;0;82;29.869;1;292.5
30/03/2023 00:00;-0.2;0;80;29.867;3;0
30/03/2023 01:00;-0.7;0;84;29.854;2;0
30/03/2023 02:00;-1.3;0;86;29.856;0;
30/03/2023 03:00;-1.7;0;82;29.845;2;337.5
30/03/2023 04:00;-1.5;0;81;29.858;0;337.5
30/03/2023 05:00;-1.2;12;82;29.882;0;0
30/03/2023 06:00;0.9;195;76;29.901;1;270
30/03/2023 07:00;4.9;466;64;29.899;1;270
30/03/2023 08:00;6.9;686;40;29.889;1;202.5
30/03/2023 09:00;8.9;859;32;29.892;1;45
30/03/2023 10:00;9.9;1011;32;29.869;3;315
30/03/2023 11:00;10.4;927;32;29.836;5;90
30/03/2023 12:00;11.2;964;32;29.796;6;45
30/03/2023 13:00;12.1;807;32;29.75;8;67.5
30/03/2023 14:00;10.8;372;41;29.724;9;45
30/03/2023 15:00;9.9;315;45;29.728;15;45
30/03/2023 16:00;7.6;153;57;29.754;15;45
30/03/2023 17:00;5.3;4;60;29.78;13;45
30/03/2023 18:00;3.8;0;62;29.804;9;45
30/03/2023 19:00;2.7;0;76;29.826;4;67.5
30/03/2023 20:00;2.1;0;83;29.828;4;67.5
30/03/2023 21:00;2.1;0;81;29.826;1;45
30/03/2023 22:00;1.4;0;79;29.816;3;67.5
30/03/2023 23:00;1.4;0;75;29.808;3;67.5
31/03/2023 00:00;0.3;0;79;29.786;4;337.5
31/03/2023 01:00;-0.3;0;83;29.78;2;315
31/03/2023 02:00;-0.3;0;83;29.767;1;270
31/03/2023 03:00;-0.1;0;86;29.758;1;270
