Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,1.4124999999999999,0.8411074337735123,0.3601082953541145,6.871864690578307,0.0013760261287449339 
 01/01  02:00:00,1.9,1.3984409202201294,0.9691479905283118,6.898068721761819,0.6328999445827879 
 01/01  03:00:00,1.7125,1.2397514855359886,0.7865707291457649,6.771657029500702,0.46253184677957079 
 01/01  04:00:00,1.0375,0.5926084685019905,0.054078534969081538,6.504621782945785,-0.2670218574186583 
 01/01  05:00:00,0.7625,0.14058981296705,-0.45886930950806606,6.262122254071401,-0.768055931878264 
 01/01  06:00:00,0.55,6.022880168363033,2.9885101212955038,6.392108733928797,3.5572738363285749 
 01/01  07:00:00,2.4625000000000005,18.21012495393234,10.320642095909467,8.341917143407594,12.484182676105898 
 01/01  08:00:00,5.575,27.601598595508109,17.314269573541809,9.940213026201187,20.30592695151468 
 01/01  09:00:00,8.2625,35.591069702130599,24.206000930952287,13.156367153639227,27.403472455942894 
 01/01  10:00:00,10.200000000000001,39.17561472158127,28.90467318485564,14.841740740085545,31.229755263345724 
 01/01  11:00:00,11.3,38.55022121965742,30.285629663371979,15.812063369611732,31.217713597529273 
 01/01  12:00:00,12.1625,35.500800678197879,29.315360852841068,15.993599835403075,29.331232008483594 
 01/01  13:00:00,12.749999999999999,28.010213930880704,23.819678078318768,14.991149124368162,23.594098769879957 
 01/01  14:00:00,13.087499999999999,17.840944321347487,16.228846188942183,13.075186586914894,16.02124479695549 
 01/01  15:00:00,9.1375,12.842954932752332,11.970564864894378,11.52105836471046,11.737431725378628 
 01/01  16:00:00,5.887500000000001,8.71694860472461,8.01275512143539,10.257773720056033,7.740452152042307 
 01/01  17:00:00,4.025,6.7608868231918219,6.135317301625381,9.474864127877867,5.825296241367101 
 01/01  18:00:00,2.3875,3.463091009071758,3.2727195512700129,9.100036960795645,2.917179220040585 
 01/01  19:00:00,2.4000000000000005,2.122337229630697,1.9521944192781798,7.878516905967607,1.570243892321423 
 01/01  20:00:00,2.575,2.1476808513329468,1.992625172247918,7.727613751782304,1.6095734808778795 
 01/01  21:00:00,2.375,1.8851515429419792,1.6641991940853207,7.5777211800765988,1.2780148864949564 
 01/01  22:00:00,1.8625000000000003,1.3725076010219973,1.08399336398403,7.373086648065733,0.6931929205154586 
 01/01  23:00:00,1.4125,0.87582802833092,0.48905601813333646,7.15181190649418,0.09850002329704649 
 01/01  24:00:00,0.8625,0.5732258076964001,0.13765662088342288,6.921026594438276,-0.23967285218073892 
 01/02  01:00:00,0.35,0.24249626626778865,-0.24804404118304397,6.676036529541048,-0.6099758913020726 
 01/02  02:00:00,0.1375,0.042932269457617019,-0.4902123063054862,6.479306078395429,-0.8364446628085233 
 01/02  03:00:00,0.0375,-0.15849980160882366,-0.7255839462811349,6.305656278837762,-1.058852102718685 
 01/02  04:00:00,-0.125,-0.4554784107659673,-1.0741320308400085,6.11246441904549,-1.3970267402193606 
 01/02  05:00:00,-0.7625000000000001,-0.871213997524793,-1.5343134613690302,5.836225008429531,-1.8437276865557304 
 01/02  06:00:00,-0.975,5.23181310992608,2.0532000933288998,5.954272563613555,2.6138617847330707 
 01/02  07:00:00,0.16250000000000004,16.322291627412548,8.605322747365709,7.917297465070492,10.69324346004167 
 01/02  08:00:00,2.9250000000000004,24.239992639423329,14.052218276325757,9.304213360502662,16.8933973233623 
 01/02  09:00:00,6.324999999999999,32.65028387045322,21.159172121954577,12.390943146383716,24.27110746012212 
 01/02  10:00:00,9.0375,37.448642961735938,26.730545416385075,14.310064174028544,29.199747929806187 
