Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,1.4124999999999999,0.8427121855591583,0.5572887311439188,6.668365883678756,0.25086736928488648 
 01/01  02:00:00,1.9,1.38672458279748,1.140578953450014,6.691572371454035,0.8524197862980955 
 01/01  03:00:00,1.7125,1.2205052979675486,0.9406615963231294,6.564338379320923,0.6642782779769199 
 01/01  04:00:00,1.0375,0.5688564478589753,0.19947901927516946,6.297597229440786,-0.07338068489912825 
 01/01  05:00:00,0.7625,0.11699979273279755,-0.3236828470031493,6.056693277940553,-0.5859390779892035 
 01/01  06:00:00,0.55,6.779689061834247,5.268688679545956,6.22200708496714,5.813982443105848 
 01/01  07:00:00,2.4625000000000005,20.84807955150292,16.062874205371018,8.407347848674356,17.949030331148199 
 01/01  08:00:00,5.575,31.41035033213108,25.344065488236784,10.181265115438823,27.95443510974539 
 01/01  09:00:00,8.2625,40.33529959855388,34.20117954574739,13.662747273858699,37.06549834586011 
 01/01  10:00:00,10.200000000000001,44.736654740096017,40.07390377228889,15.647197112873626,42.078970588117588 
 01/01  11:00:00,11.3,44.3170332158504,41.357056440918999,16.75312580626929,42.141131297487387 
 01/01  12:00:00,12.1625,40.99757238788096,39.51150024945807,16.968803702087049,39.53314667861341 
 01/01  13:00:00,12.749999999999999,32.09304977262383,30.89623210019178,15.796443364515234,30.69826280120364 
 01/01  14:00:00,13.087499999999999,20.00508425470143,19.886361678726588,13.633268923691873,19.697957847652839 
 01/01  15:00:00,9.1375,14.218062232395536,14.498049854397259,11.946219004523958,14.301775245282303 
 01/01  16:00:00,5.887500000000001,9.4744928740998,9.573901381542094,10.466878640168476,9.349311937795559 
 01/01  17:00:00,4.025,7.389438423036802,7.586597430979596,9.536751780260966,7.329605698455199 
 01/01  18:00:00,2.3875,3.858547500398755,4.169395873463002,9.038359605495032,3.8718586742173306 
 01/01  19:00:00,2.4000000000000005,2.2536162293795627,2.442860046421301,7.763316743294213,2.1209164153096324 
 01/01  20:00:00,2.575,2.207139481027626,2.3635547127194176,7.585341323977395,2.0380559907184265 
 01/01  21:00:00,2.375,1.9145124620571066,1.9797860810738282,7.412106723505049,1.6505451159806873 
 01/01  22:00:00,1.8625000000000003,1.3873150691770527,1.3637731490977577,7.19122222367185,1.0308822361378388 
 01/01  23:00:00,1.4125,0.8829421821947991,0.739719218559611,6.958298592469507,0.40695097635229929 
 01/01  24:00:00,0.8625,0.5724663853834308,0.35764644313940366,6.719741706217866,0.03640253892747666 
 01/02  01:00:00,0.35,0.23490590242600635,-0.05325860683581353,6.469576470806417,-0.3612667913364449 
 01/02  02:00:00,0.1375,0.030375520718574607,-0.3158642152318024,6.270027764597921,-0.6105001248669094 
 01/02  03:00:00,0.0375,-0.17602544978172109,-0.5670355164039076,6.095538546489174,-0.8505178577889163 
 01/02  04:00:00,-0.125,-0.47638235498064948,-0.9275319338779833,5.90301737578239,-1.2018351874476428 
 01/02  05:00:00,-0.7625000000000001,-0.8955918016633956,-1.3993801163648628,5.62826625090206,-1.6617183106001954 
 01/02  06:00:00,-0.975,6.069508768058752,4.627217556980559,5.792817010666935,5.071575412605544 
 01/02  07:00:00,0.16250000000000004,18.870178815667904,14.15875670209924,7.936059580631639,15.942649329591342 
 01/02  08:00:00,2.9250000000000004,27.433235830686887,21.010343167494065,9.512982905053466,23.485226441127414 
 01/02  09:00:00,6.324999999999999,36.90098571989314,30.338068758337028,12.899095818638447,33.123446832671678 
 01/02  10:00:00,9.0375,42.60918761185588,37.29001738394761,15.050640773680966,39.41994785456114 
 01/02  11:00:00,10.5875,43.86950381389969,40.7454072704118,16.451037570506409,41.57042066095272 
 01/02  12:00:00,12.000000000000002,43.244369666272948,41.88305787860956,17.370640079883118,41.91675367378895 
 01/02  13:00:00,13.599999999999998,41.188398930211437,39.685027512744529,17.54504220310911,39.22942811534445 
 01/02  14:00:00,14.575,29.05938836962326,28.471231583866119,15.734407534222627,28.03629324627898 
 01/02  15:00:00,12.8,23.753513887582387,22.982675982957745,14.291528836588413,22.34323828114244 
