"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664779, LBL: Pared Sur)","Temp, °C (SEN S/N: 20664779, LBL: Pared Oeste)","Temp, °C (SEN S/N: 20664779, LBL: Ventana)","Temp, °C (SEN S/N: 20664779, LBL: Piso)"
02/16/23 10:10:00,12.195,14.253,16.883,13.978
02/16/23 10:25:00,12.414,14.381,17.473,13.988
02/16/23 10:40:00,12.494,14.307,17.793,13.915
02/16/23 10:55:00,12.636,14.325,18.259,13.963
02/16/23 11:10:00,12.871,14.450,18.806,14.234
02/16/23 11:25:00,13.154,14.623,19.426,14.512
02/16/23 11:40:00,13.452,14.803,19.926,14.750
02/16/23 11:55:00,13.756,14.989,20.344,14.969
02/16/23 12:10:00,14.065,15.179,20.942,15.179
02/16/23 12:25:00,14.388,15.384,21.609,15.406
02/16/23 12:40:00,14.711,15.590,22.057,15.609
02/16/23 12:55:00,15.039,15.800,22.541,15.819
02/16/23 13:10:00,15.363,16.006,22.845,16.010
02/16/23 13:25:00,15.678,16.201,22.971,16.177
02/16/23 13:40:00,15.979,16.376,23.079,16.318
02/16/23 13:55:00,16.265,16.552,23.261,16.470
02/16/23 14:10:00,16.534,16.713,23.115,16.574
02/16/23 14:25:00,16.780,16.842,22.715,16.640
02/16/23 14:40:00,17.010,16.973,22.155,16.716
02/16/23 14:55:00,17.208,17.071,21.008,16.743
02/16/23 15:10:00,17.360,17.147,19.891,16.741
02/16/23 15:25:00,17.525,17.226,19.295,16.762
02/16/23 15:40:00,17.656,17.303,18.921,16.781
02/16/23 15:55:00,17.751,17.347,18.521,16.774
02/16/23 16:10:00,17.825,17.391,18.131,16.771
02/16/23 16:25:00,17.877,17.434,17.699,16.765
02/16/23 16:40:00,17.903,17.473,17.339,16.765
02/16/23 16:55:00,17.922,17.513,17.562,16.781
02/16/23 17:10:00,17.923,17.540,18.062,16.781
02/16/23 17:25:00,17.901,17.547,18.198,16.766
02/16/23 17:40:00,17.867,17.559,17.193,16.801
02/16/23 17:55:00,17.821,17.550,16.132,16.799
02/16/23 18:10:00,17.749,17.516,15.111,16.860
02/16/23 18:25:00,17.663,17.492,14.411,16.816
02/16/23 18:40:00,17.562,17.460,13.792,16.783
02/16/23 18:55:00,17.446,17.431,13.320,16.732
02/16/23 19:10:00,17.326,17.397,12.987,16.670
02/16/23 19:25:00,17.189,17.358,12.764,16.609
02/16/23 19:40:00,17.042,17.321,12.588,16.542
02/16/23 19:55:00,16.894,17.286,12.500,16.518
02/16/23 20:10:00,16.746,17.245,12.416,16.478
02/16/23 20:25:00,16.598,17.211,12.497,16.302
02/16/23 20:40:00,16.448,17.176,12.471,16.384
02/16/23 20:55:00,16.304,17.138,12.616,16.181
02/16/23 21:10:00,16.162,17.110,12.705,16.105
02/16/23 21:25:00,16.025,17.068,12.751,16.038
02/16/23 21:40:00,15.873,17.015,12.755,15.953
02/16/23 21:55:00,15.731,16.973,12.704,15.904
02/16/23 22:10:00,15.590,16.927,12.648,15.868
02/16/23 22:25:00,15.457,16.878,12.634,15.809
02/16/23 22:40:00,15.317,16.827,12.517,15.776
02/16/23 22:55:00,15.190,16.775,12.480,15.713
02/16/23 23:10:00,15.054,16.717,12.269,15.663
02/16/23 23:25:00,14.930,16.664,12.083,15.697
02/16/23 23:40:00,14.798,16.606,11.957,15.616
02/16/23 23:55:00,14.644,16.512,11.777,15.560
02/17/23 00:10:00,14.486,16.417,11.693,15.411
02/17/23 00:25:00,14.378,16.378,11.616,15.446
02/17/23 00:40:00,14.256,16.318,11.461,15.384
02/17/23 00:55:00,14.125,16.254,11.371,15.315
02/17/23 01:10:00,13.999,16.189,11.250,15.246
02/17/23 01:25:00,13.873,16.117,11.017,15.197
02/17/23 01:40:00,13.754,16.049,10.844,15.160
02/17/23 01:55:00,13.625,15.973,10.776,15.087
02/17/23 02:10:00,13.491,15.894,10.647,15.018
02/17/23 02:25:00,13.365,15.813,10.548,14.933
02/17/23 02:40:00,13.239,15.740,10.450,14.877
02/17/23 02:55:00,13.112,15.664,10.303,14.810
02/17/23 03:10:00,12.990,15.588,10.158,14.735
02/17/23 03:25:00,12.858,15.500,9.955,14.641
02/17/23 03:40:00,12.726,15.411,9.817,14.553
02/17/23 03:55:00,12.592,15.320,9.671,14.457
02/17/23 04:10:00,12.459,15.225,9.472,14.364
02/17/23 04:25:00,12.322,15.130,9.344,14.268
02/17/23 04:40:00,12.190,15.040,9.182,14.183
02/17/23 04:55:00,12.054,14.943,9.009,14.084
02/17/23 05:10:00,11.918,14.848,8.892,13.991
02/17/23 05:25:00,11.784,14.750,8.778,13.903
02/17/23 05:40:00,11.651,14.655,8.672,13.798
02/17/23 05:55:00,11.516,14.554,8.475,13.690
02/17/23 06:10:00,11.388,14.457,8.282,13.604
02/17/23 06:25:00,11.271,14.378,8.277,13.553
02/17/23 06:40:00,11.187,14.325,8.546,13.571
02/17/23 06:55:00,11.129,14.303,9.067,13.649
02/17/23 07:10:00,11.073,14.271,9.721,13.705
02/17/23 07:25:00,11.011,14.228,10.412,13.715
02/17/23 07:40:00,10.951,14.177,11.123,13.700
02/17/23 07:55:00,10.919,14.140,11.887,13.675
02/17/23 08:10:00,10.907,14.116,12.630,13.681
02/17/23 08:25:00,10.921,14.101,13.291,13.699
02/17/23 08:40:00,10.960,14.092,13.925,13.732
02/17/23 08:55:00,11.014,14.090,14.503,13.777
02/17/23 09:10:00,11.094,14.096,15.064,13.828
02/17/23 09:25:00,11.203,14.123,15.628,13.897
02/17/23 09:40:00,11.338,14.165,16.171,13.988
02/17/23 09:55:00,11.499,14.225,16.738,14.090
02/17/23 10:10:00,11.680,14.298,17.284,14.207
02/17/23 10:25:00,11.892,14.394,17.906,14.351
02/17/23 10:40:00,12.133,14.515,18.461,14.506
02/17/23 10:55:00,12.393,14.650,18.958,14.664
02/17/23 11:10:00,12.668,14.800,19.430,14.819
02/17/23 11:25:00,12.957,14.964,19.766,14.992
02/17/23 11:40:00,13.251,15.128,19.811,15.166
02/17/23 11:55:00,13.536,15.291,19.844,15.309
02/17/23 12:10:00,13.829,15.452,19.865,15.458
02/17/23 12:25:00,14.132,15.618,20.003,15.612
02/17/23 12:40:00,14.438,15.794,20.265,15.766
02/17/23 12:55:00,14.744,15.974,20.473,15.925
02/17/23 13:10:00,15.033,16.143,20.661,16.080
02/17/23 13:25:00,15.321,16.324,20.822,16.234
02/17/23 13:40:00,15.600,16.496,20.850,16.366
02/17/23 13:55:00,15.864,16.649,20.822,16.478
02/17/23 14:10:00,16.107,16.799,20.610,16.579
02/17/23 14:25:00,16.341,16.933,20.415,16.665
02/17/23 14:40:00,16.560,17.057,20.164,16.740
02/17/23 14:55:00,16.747,17.170,19.882,16.801
02/17/23 15:10:00,16.927,17.277,19.557,16.850
02/17/23 15:25:00,17.079,17.370,19.199,16.881
02/17/23 15:40:00,17.211,17.451,18.818,16.906
02/17/23 15:55:00,17.321,17.516,18.427,16.924
02/17/23 16:10:00,17.421,17.587,18.212,16.942
02/17/23 16:25:00,17.503,17.657,17.940,16.963
02/17/23 16:40:00,17.547,17.703,17.625,16.972
02/17/23 16:55:00,17.579,17.733,17.568,16.988
02/17/23 17:10:00,17.586,17.755,17.911,16.957
02/17/23 17:25:00,17.595,17.784,18.406,16.938
02/17/23 17:40:00,17.598,17.799,17.944,16.909
02/17/23 17:55:00,17.583,17.807,17.009,16.863
02/17/23 18:10:00,17.556,17.813,16.073,16.841
02/17/23 18:25:00,17.501,17.800,15.315,16.836
02/17/23 18:40:00,17.439,17.778,14.637,16.841
02/17/23 18:55:00,17.369,17.766,14.339,16.816
02/17/23 19:10:00,17.290,17.755,14.274,16.698
02/17/23 19:25:00,17.190,17.742,14.140,16.741
02/17/23 19:40:00,17.076,17.709,13.948,16.641
02/17/23 19:55:00,16.960,17.681,13.853,16.577
02/17/23 20:10:00,16.838,17.654,13.718,16.512
02/17/23 20:25:00,16.717,17.628,13.709,16.452
02/17/23 20:40:00,16.589,17.587,13.643,16.394
02/17/23 20:55:00,16.466,17.549,13.581,16.360
02/17/23 21:10:00,16.332,17.507,13.466,16.397
02/17/23 21:25:00,16.192,17.455,13.162,16.502
02/17/23 21:40:00,16.065,17.405,12.945,16.430
02/17/23 21:55:00,15.933,17.350,12.737,16.438
02/17/23 22:10:00,15.800,17.278,12.414,16.350
02/17/23 22:25:00,15.673,17.228,12.420,16.217
02/17/23 22:40:00,15.557,17.184,12.592,16.083
02/17/23 22:55:00,15.437,17.137,12.749,16.004
02/17/23 23:10:00,15.320,17.082,12.840,15.950
02/17/23 23:25:00,15.202,17.025,12.799,15.868
02/17/23 23:40:00,15.090,16.967,12.749,15.842
02/17/23 23:55:00,14.951,16.877,12.576,15.755
02/18/23 00:10:00,14.815,16.784,12.477,15.657
02/18/23 00:25:00,14.729,16.750,12.509,15.627
02/18/23 00:40:00,14.637,16.701,12.447,15.590
02/18/23 00:55:00,14.539,16.647,12.326,15.564
02/18/23 01:10:00,14.430,16.582,12.224,15.523
02/18/23 01:25:00,14.325,16.513,12.080,15.499
02/18/23 01:40:00,14.222,16.445,11.886,15.440
02/18/23 01:55:00,14.117,16.384,11.740,15.409
02/18/23 02:10:00,14.008,16.315,11.583,15.342
02/18/23 02:25:00,13.901,16.241,11.425,15.282
02/18/23 02:40:00,13.792,16.172,11.234,15.263
02/18/23 02:55:00,13.679,16.093,11.117,15.164
02/18/23 03:10:00,13.557,16.013,11.009,15.094
02/18/23 03:25:00,13.445,15.934,10.875,15.025
02/18/23 03:40:00,13.327,15.852,10.692,14.967
02/18/23 03:55:00,13.219,15.773,10.514,14.891
02/18/23 04:10:00,13.093,15.691,10.316,14.807
02/18/23 04:25:00,12.968,15.597,10.133,14.716
02/18/23 04:40:00,12.841,15.503,9.924,14.616
02/18/23 04:55:00,12.710,15.408,9.746,14.518
02/18/23 05:10:00,12.573,15.308,9.561,14.418
02/18/23 05:25:00,12.440,15.212,9.362,14.322
02/18/23 05:40:00,12.302,15.118,9.247,14.240
02/18/23 05:55:00,12.171,15.022,9.155,14.152
02/18/23 06:10:00,12.053,14.942,9.194,14.093
02/18/23 06:25:00,11.969,14.894,9.390,14.096
02/18/23 06:40:00,11.889,14.858,9.808,14.122
02/18/23 06:55:00,11.818,14.819,10.294,14.152
02/18/23 07:10:00,11.743,14.768,10.928,14.147
02/18/23 07:25:00,11.665,14.702,11.475,14.105
02/18/23 07:40:00,11.601,14.650,12.075,14.093
02/18/23 07:55:00,11.569,14.613,12.705,14.075
02/18/23 08:10:00,11.569,14.589,13.344,14.077
02/18/23 08:25:00,11.581,14.571,13.894,14.087
02/18/23 08:40:00,11.614,14.554,14.462,14.108
02/18/23 08:55:00,11.663,14.542,15.046,14.129
02/18/23 09:10:00,11.734,14.541,15.654,14.165
02/18/23 09:25:00,11.836,14.557,16.208,14.226
02/18/23 09:40:00,11.963,14.584,16.755,14.297
02/18/23 09:55:00,12.107,14.625,17.066,14.388
02/18/23 10:10:00,12.272,14.677,17.253,14.462
02/18/23 10:25:00,12.456,14.738,17.592,14.554
02/18/23 10:40:00,12.666,14.825,18.010,14.676
02/18/23 10:55:00,12.886,14.928,18.488,14.816
02/18/23 11:10:00,13.124,15.040,18.986,14.946
02/18/23 11:25:00,13.388,15.181,19.505,15.097
02/18/23 11:40:00,13.669,15.336,19.970,15.260
02/18/23 11:55:00,13.954,15.499,20.251,15.431
02/18/23 12:10:00,14.238,15.661,20.402,15.593
02/18/23 12:25:00,14.521,15.819,20.293,15.748
02/18/23 12:40:00,14.792,15.973,20.170,15.888
02/18/23 12:55:00,15.072,16.131,20.241,16.025
02/18/23 13:10:00,15.334,16.281,20.210,16.152
02/18/23 13:25:00,15.593,16.427,20.245,16.272
02/18/23 13:40:00,15.830,16.573,20.176,16.385
02/18/23 13:55:00,16.067,16.717,20.260,16.488
02/18/23 14:10:00,16.292,16.859,20.226,16.604
02/18/23 14:25:00,16.493,16.982,20.083,16.694
02/18/23 14:40:00,16.688,17.107,19.805,16.771
02/18/23 14:55:00,16.853,17.210,19.587,16.826
02/18/23 15:10:00,17.009,17.309,19.267,16.877
02/18/23 15:25:00,17.146,17.396,18.943,16.909
02/18/23 15:40:00,17.268,17.470,18.576,16.933
02/18/23 15:55:00,17.381,17.550,18.331,16.970
02/18/23 16:10:00,17.477,17.620,18.170,17.005
02/18/23 16:25:00,17.570,17.694,18.036,17.039
02/18/23 16:40:00,17.634,17.760,17.846,17.066
02/18/23 16:55:00,17.687,17.821,17.911,17.100
02/18/23 17:10:00,17.724,17.873,17.968,17.121
02/18/23 17:25:00,17.751,17.904,18.033,17.101
02/18/23 17:40:00,17.761,17.920,17.390,17.064
02/18/23 17:55:00,17.752,17.920,16.563,17.036
02/18/23 18:10:00,17.586,17.781,15.570,16.123
02/18/23 18:25:00,17.531,17.738,15.075,15.730
02/18/23 18:40:00,17.595,17.846,14.785,16.050
02/18/23 18:55:00,17.580,17.889,14.477,16.220
02/18/23 19:10:00,17.538,17.913,14.282,16.286
02/18/23 19:25:00,17.469,17.926,14.179,16.283
02/18/23 19:40:00,17.153,17.699,13.648,15.167
02/18/23 19:55:00,17.095,17.726,13.572,15.652
02/18/23 20:10:00,16.988,17.726,13.608,15.688
02/18/23 20:25:00,16.784,17.577,13.617,14.237
02/18/23 20:40:00,16.546,17.464,13.299,14.089
02/18/23 20:55:00,16.491,17.510,13.348,14.696
02/18/23 21:10:00,16.487,17.584,13.457,15.051
02/18/23 21:25:00,16.436,17.611,13.491,14.942
02/18/23 21:40:00,16.350,17.610,13.431,14.924
02/18/23 21:55:00,16.260,17.605,13.231,14.888
02/18/23 22:10:00,16.171,17.590,13.153,14.879
02/18/23 22:25:00,16.065,17.565,13.061,14.958
02/18/23 22:40:00,15.947,17.521,12.719,15.113
02/18/23 22:55:00,15.828,17.473,12.361,15.105
02/18/23 23:10:00,15.727,17.452,12.382,14.909
02/18/23 23:25:00,15.618,17.418,12.344,14.792
02/18/23 23:40:00,15.515,17.394,12.406,14.723
02/18/23 23:55:00,15.385,17.326,12.363,14.668
02/19/23 00:10:00,15.233,17.247,12.284,14.587
02/19/23 00:25:00,15.146,17.237,12.210,14.535
02/19/23 00:40:00,15.043,17.207,12.157,14.501
02/19/23 00:55:00,14.955,17.174,12.137,14.471
02/19/23 01:10:00,14.840,17.121,12.034,14.444
02/19/23 01:25:00,14.728,17.067,11.989,14.399
02/19/23 01:40:00,14.608,17.010,11.897,14.349
02/19/23 01:55:00,14.493,16.952,11.733,14.318
02/19/23 02:10:00,14.364,16.884,11.522,14.298
02/19/23 02:25:00,14.229,16.802,11.114,14.309
02/19/23 02:40:00,14.086,16.717,10.724,14.298
02/19/23 02:55:00,13.952,16.630,10.262,14.385
02/19/23 03:10:00,13.799,16.533,9.869,14.372
02/19/23 03:25:00,13.640,16.429,9.514,14.349
02/19/23 03:40:00,13.482,16.333,9.319,14.315
02/19/23 03:55:00,13.329,16.232,9.152,14.225
02/19/23 04:10:00,13.174,16.138,9.183,14.143
02/19/23 04:25:00,13.025,16.055,9.149,14.077
02/19/23 04:40:00,12.838,15.930,8.943,13.925
02/19/23 04:55:00,12.657,15.812,8.691,13.826
02/19/23 05:10:00,12.482,15.696,8.416,13.745
02/19/23 05:25:00,12.323,15.588,8.255,13.681
02/19/23 05:40:00,12.152,15.476,8.156,13.617
02/19/23 05:55:00,12.000,15.385,8.174,13.563
02/19/23 06:10:00,11.915,15.361,8.409,13.631
02/19/23 06:25:00,11.593,15.091,8.157,12.889
02/19/23 06:40:00,11.453,14.988,8.276,13.046
02/19/23 06:55:00,11.259,14.830,8.579,12.719
02/19/23 07:10:00,11.167,14.773,9.199,12.912
02/19/23 07:25:00,11.073,14.702,9.944,13.002
02/19/23 07:40:00,10.995,14.635,10.724,12.826
02/19/23 07:55:00,10.849,14.484,11.420,12.865
02/19/23 08:10:00,10.843,14.457,12.180,13.091
02/19/23 08:25:00,10.849,14.429,12.877,13.207
02/19/23 08:40:00,10.884,14.408,13.562,13.284
02/19/23 08:55:00,10.928,14.384,14.176,13.330
02/19/23 09:10:00,11.000,14.372,14.797,13.364
02/19/23 09:25:00,11.099,14.381,15.431,13.394
