"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664778, LBL: Pared Norte)","Temp, °C (SEN S/N: 20664778, LBL: Pared Este)","Temp, °C (SEN S/N: 20664778, LBL: Techo )","Temp, °C (SEN S/N: 20664778, LBL: Pared Exterior Este)"
02/16/23 10:10:00,16.140,14.952,17.662,16.655
02/16/23 10:25:00,16.175,15.072,18.262,17.049
02/16/23 10:40:00,16.143,15.134,18.449,17.469
02/16/23 10:55:00,16.155,15.231,19.204,17.651
02/16/23 11:10:00,16.274,15.381,20.281,17.910
02/16/23 11:25:00,16.429,15.596,21.081,18.164
02/16/23 11:40:00,16.589,15.833,21.893,18.311
02/16/23 11:55:00,16.758,16.076,21.895,18.433
02/16/23 12:10:00,16.929,16.336,23.025,18.580
02/16/23 12:25:00,17.113,16.618,23.507,18.741
02/16/23 12:40:00,17.296,16.897,23.632,18.903
02/16/23 12:55:00,17.497,17.184,23.781,18.989
02/16/23 13:10:00,17.691,17.464,24.459,19.091
02/16/23 13:25:00,17.883,17.735,23.325,19.197
02/16/23 13:40:00,18.060,18.001,24.351,19.225
02/16/23 13:55:00,18.234,18.253,24.673,19.359
02/16/23 14:10:00,18.394,18.479,24.532,19.353
02/16/23 14:25:00,18.542,18.681,24.287,19.273
02/16/23 14:40:00,18.674,18.873,23.168,19.216
02/16/23 14:55:00,18.785,19.023,22.175,19.041
02/16/23 15:10:00,18.864,19.145,20.609,18.842
02/16/23 15:25:00,18.961,19.273,21.172,18.745
02/16/23 15:40:00,19.044,19.384,20.431,18.644
02/16/23 15:55:00,19.108,19.475,21.672,18.561
02/16/23 16:10:00,19.167,19.552,20.945,18.461
02/16/23 16:25:00,19.228,19.619,21.239,18.354
02/16/23 16:40:00,19.277,19.673,21.340,18.237
02/16/23 16:55:00,19.340,19.728,21.161,18.148
02/16/23 17:10:00,19.389,19.765,20.054,18.072
02/16/23 17:25:00,19.423,19.787,19.829,17.996
02/16/23 17:40:00,19.448,19.793,18.666,17.854
02/16/23 17:55:00,19.471,19.786,19.060,17.674
02/16/23 18:10:00,19.475,19.755,18.641,17.464
02/16/23 18:25:00,19.491,19.719,18.634,17.299
02/16/23 18:40:00,19.485,19.673,17.292,17.095
02/16/23 18:55:00,19.478,19.625,17.250,16.911
02/16/23 19:10:00,19.482,19.576,16.430,16.744
02/16/23 19:25:00,19.472,19.518,17.454,16.591
02/16/23 19:40:00,19.465,19.457,16.609,16.454
02/16/23 19:55:00,19.456,19.392,17.641,16.327
02/16/23 20:10:00,19.454,19.326,17.222,16.187
02/16/23 20:25:00,19.450,19.261,18.824,16.141
02/16/23 20:40:00,19.436,19.190,18.173,16.037
02/16/23 20:55:00,19.417,19.117,18.915,16.001
02/16/23 21:10:00,19.405,19.048,19.047,15.871
02/16/23 21:25:00,19.390,18.973,18.692,15.794
02/16/23 21:40:00,19.356,18.886,18.879,15.709
02/16/23 21:55:00,19.331,18.806,18.640,15.560
02/16/23 22:10:00,19.314,18.720,18.409,15.485
02/16/23 22:25:00,19.285,18.637,18.427,15.406
02/16/23 22:40:00,19.248,18.549,18.210,15.296
02/16/23 22:55:00,19.213,18.461,18.238,15.166
02/16/23 23:10:00,19.167,18.371,18.002,14.984
02/16/23 23:25:00,19.132,18.280,17.534,14.897
02/16/23 23:40:00,19.094,18.186,17.400,14.824
02/16/23 23:55:00,19.020,18.072,16.572,14.756
02/17/23 00:10:00,18.935,17.943,17.140,14.628
02/17/23 00:25:00,18.904,17.856,16.911,14.541
02/17/23 00:40:00,18.864,17.761,16.990,14.429
