"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658678, LBL: Tint Dormitorio damas)","HR, % (SEN S/N: 20658678, LBL: HR)","Intensidad, lux (SEN S/N: 20658678, LBL: Int luz)"
02/16/23 10:20:00,22.681,27.882,193.2
02/16/23 10:35:00,18.842,29.519,193.2
02/16/23 10:50:00,17.701,30.751,216.8
02/16/23 11:05:00,17.819,31.224,224.7
02/16/23 11:20:00,18.509,31.350,232.6
02/16/23 11:35:00,19.199,31.045,256.2
02/16/23 11:50:00,19.746,30.760,256.2
02/16/23 12:05:00,20.293,30.574,272.0
02/16/23 12:20:00,20.817,30.218,279.9
02/16/23 12:35:00,21.294,29.923,185.3
02/16/23 12:50:00,21.724,29.724,264.1
02/16/23 13:05:00,22.178,29.560,256.2
02/16/23 13:20:00,22.513,29.319,264.1
02/16/23 13:35:00,22.705,29.301,272.0
02/16/23 13:50:00,22.968,29.187,248.3
02/16/23 14:05:00,23.112,29.098,248.3
02/16/23 14:20:00,23.112,29.132,240.5
02/16/23 14:35:00,23.184,29.205,240.5
02/16/23 14:50:00,23.112,29.469,177.4
02/16/23 15:05:00,22.872,29.314,193.2
02/16/23 15:20:00,22.800,29.140,193.2
02/16/23 15:35:00,22.776,29.138,138.0
02/16/23 15:50:00,22.609,29.293,145.8
02/16/23 16:05:00,22.537,29.422,122.2
02/16/23 16:20:00,22.417,29.513,122.2
02/16/23 16:35:00,22.345,29.574,98.5
02/16/23 16:50:00,22.298,29.604,114.3
02/16/23 17:05:00,22.226,29.665,106.4
02/16/23 17:20:00,22.130,29.926,82.8
02/16/23 17:35:00,21.963,30.113,59.1
02/16/23 17:50:00,21.795,30.300,19.7
02/16/23 18:05:00,21.581,30.315,11.8
02/16/23 18:20:00,21.390,30.466,11.8
02/16/23 18:35:00,21.199,30.317,11.8
02/16/23 18:50:00,20.984,30.432,11.8
02/16/23 19:05:00,20.865,30.489,11.8
02/16/23 19:20:00,20.722,30.543,11.8
02/16/23 19:35:00,20.579,30.598,11.8
02/16/23 19:50:00,20.460,30.655,11.8
02/16/23 20:05:00,20.388,30.848,11.8
02/16/23 20:20:00,20.317,31.142,11.8
02/16/23 20:35:00,20.293,31.406,11.8
02/16/23 20:50:00,20.198,31.664,11.8
02/16/23 21:05:00,20.174,31.794,11.8
02/16/23 21:20:00,20.103,31.954,11.8
02/16/23 21:35:00,19.984,32.142,11.8
02/16/23 21:50:00,19.865,32.165,11.8
02/16/23 22:05:00,19.793,32.390,11.8
02/16/23 22:20:00,19.698,32.514,11.8
02/16/23 22:35:00,19.579,32.702,11.8
02/16/23 22:50:00,19.460,32.857,3.9
02/16/23 23:05:00,19.341,32.978,11.8
02/16/23 23:20:00,19.246,33.101,11.8
02/16/23 23:35:00,19.127,33.321,11.8
02/16/23 23:50:00,18.937,33.633,11.8
02/17/23 00:05:00,18.390,34.173,11.8
02/17/23 00:20:00,18.580,33.929,11.8
02/17/23 00:35:00,18.509,33.856,11.8
02/17/23 00:50:00,18.438,33.784,11.8
02/17/23 01:05:00,18.295,33.705,11.8
02/17/23 01:20:00,18.176,33.792,11.8
02/17/23 01:35:00,18.057,33.880,11.8
02/17/23 01:50:00,17.915,34.063,11.8
02/17/23 02:05:00,17.748,34.277,11.8
02/17/23 02:20:00,17.582,34.294,11.8
02/17/23 02:35:00,17.463,34.413,11.8
02/17/23 02:50:00,17.344,34.533,11.8
02/17/23 03:05:00,17.249,34.589,11.8
02/17/23 03:20:00,17.082,34.769,3.9
02/17/23 03:35:00,16.892,35.012,11.8
02/17/23 03:50:00,16.749,35.193,11.8
02/17/23 04:05:00,16.558,35.370,11.8
02/17/23 04:20:00,16.392,35.549,11.8
02/17/23 04:35:00,16.249,35.600,11.8
02/17/23 04:50:00,16.106,35.651,11.8
02/17/23 05:05:00,15.915,35.632,11.8
02/17/23 05:20:00,15.772,35.813,11.8
02/17/23 05:35:00,15.629,35.993,11.8
02/17/23 05:50:00,15.461,36.170,11.8
02/17/23 06:05:00,15.294,36.315,19.7
02/17/23 06:20:00,15.223,36.373,27.6
02/17/23 06:35:00,15.270,36.281,67.0
02/17/23 06:50:00,15.557,35.824,82.8
02/17/23 07:05:00,15.724,35.548,90.7
02/17/23 07:20:00,15.748,35.486,106.4
02/17/23 07:35:00,15.676,35.609,114.3
02/17/23 07:50:00,15.652,35.477,130.1
02/17/23 08:05:00,15.724,35.159,138.0
02/17/23 08:20:00,15.843,34.780,145.8
02/17/23 08:35:00,15.986,34.436,153.7
02/17/23 08:50:00,16.106,34.285,153.7
02/17/23 09:05:00,16.272,33.974,145.8
02/17/23 09:20:00,16.463,33.633,153.7
02/17/23 09:35:00,16.701,33.229,161.6
02/17/23 09:50:00,17.011,32.930,161.6
02/17/23 10:05:00,17.368,32.634,169.5
02/17/23 10:20:00,17.724,32.271,177.4
02/17/23 10:35:00,18.152,31.782,169.5
02/17/23 10:50:00,18.652,31.164,177.4
02/17/23 11:05:00,19.151,30.344,169.5
02/17/23 11:20:00,19.674,29.521,169.5
02/17/23 11:35:00,20.126,28.823,169.5
02/17/23 11:50:00,20.460,28.313,169.5
02/17/23 12:05:00,20.770,27.733,169.5
02/17/23 12:20:00,21.056,27.486,169.5
02/17/23 12:35:00,21.437,27.245,169.5
02/17/23 12:50:00,21.795,27.070,145.8
02/17/23 13:05:00,22.130,27.028,177.4
02/17/23 13:20:00,22.417,26.847,185.3
02/17/23 13:35:00,22.633,26.728,177.4
02/17/23 13:50:00,22.824,26.810,177.4
02/17/23 14:05:00,22.968,26.821,177.4
02/17/23 14:20:00,23.064,27.099,169.5
02/17/23 14:35:00,23.112,27.103,169.5
