		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
28/03/23	6:00 p	3.9	4.8	3.8	94	3.0	10.0	SE	10.00	19.0	SE	0.2	3.9	0.2	-3.1	30.628	0.00	0.00	10	0.86	53	0.0	0.00	0.0	0.602	0.000	23.2	33	6.0	22.3	6.57	 .0755	0.000	1405	1	100.0	60
28/03/23	7:00 p	3.9	4.1	3.7	94	3.1	8.0	SE	8.00	18.0	SE	0.8	3.9	0.8	-2.9	30.662	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.600	0.000	23.1	33	6.0	22.2	6.58	 .0756	0.000	1404	1	100.0	60
28/03/23	8:00 p	4.2	4.3	3.9	94	3.3	4.0	SE	4.00	9.0	SE	2.7	4.2	2.7	-1.2	30.692	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.588	0.000	22.3	34	5.7	21.0	6.81	 .0759	0.000	1406	1	100.0	60
28/03/23	9:00 p	4.2	4.3	4.1	95	3.4	2.0	S	2.00	7.0	SE	4.0	4.2	4.0	0.1	30.725	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.590	0.000	21.8	35	5.7	20.3	7.02	 .0761	0.000	1404	1	100.0	60
28/03/23	10:00 p	4.1	4.3	4.1	94	3.2	0.0	S	0.00	4.0	S	4.1	4.1	4.1	0.1	30.709	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.595	0.000	21.4	35	5.3	19.8	7.04	 .0762	0.000	1405	1	100.0	60
28/03/23	11:00 p	3.3	4.1	3.3	93	2.3	2.0	NNW	2.00	9.0	N	3.1	3.3	3.1	-0.9	30.691	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.627	0.000	20.9	35	4.8	19.2	7.05	 .0763	0.000	1405	1	100.0	60
29/03/23	12:00 a	3.5	3.6	2.9	93	2.5	2.0	NNW	2.00	7.0	NNW	3.3	3.5	3.3	-0.7	30.688	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.618	0.000	19.8	36	4.3	18.2	7.20	 .0766	0.000	1405	1	100.0	60
29/03/23	1:00 a	4.8	4.8	3.3	87	2.8	2.0	N	2.00	7.0	NNW	4.7	4.7	4.6	0.6	30.675	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.565	0.000	19.9	36	4.4	18.3	7.21	 .0765	0.000	1404	1	100.0	60
29/03/23	2:00 a	4.4	4.8	4.3	89	2.8	1.0	SW	1.00	5.0	WNW	4.4	4.4	4.4	0.4	30.661	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.579	0.000	19.4	37	4.4	17.8	7.35	 .0766	0.000	1405	1	100.0	60
