"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664781, LBL: Pared Norte)","Temp, °C (SEN S/N: 20664781, LBL: Pared Este)","Temp, °C (SEN S/N: 20664781, LBL: Techo)","Temp, °C (SEN S/N: 20664781, LBL: Piso)"
08/18/21 10:15:00,10.079,9.898,16.435,9.134
08/18/21 10:30:00,10.162,10.073,17.073,9.183
08/18/21 10:45:00,10.282,10.306,17.665,9.267
08/18/21 11:00:00,10.395,10.508,18.390,9.376
08/18/21 11:15:00,10.507,10.620,18.714,9.395
08/18/21 11:30:00,10.621,10.730,19.062,9.429
08/18/21 11:45:00,10.806,10.898,18.949,9.484
08/18/21 12:00:00,10.986,11.081,19.365,9.538
08/18/21 12:15:00,11.186,11.269,19.598,9.598
08/18/21 12:30:00,11.388,11.470,19.787,9.665
08/18/21 12:45:00,11.593,11.660,19.994,9.728
08/18/21 13:00:00,11.787,11.836,20.248,9.783
08/18/21 13:15:00,11.987,12.028,20.455,9.840
08/18/21 13:30:00,12.172,12.195,20.238,9.897
08/18/21 13:45:00,12.341,12.328,19.642,9.960
08/18/21 14:00:00,12.483,12.438,18.304,10.070
08/18/21 14:15:00,12.621,12.515,17.431,10.072
08/18/21 14:30:00,12.716,12.548,16.125,10.113
08/18/21 14:45:00,12.828,12.686,17.577,10.150
08/18/21 15:00:00,12.953,12.861,18.715,10.239
08/18/21 15:15:00,13.091,13.076,19.420,10.343
08/18/21 15:30:00,13.234,13.290,19.627,10.436
08/18/21 15:45:00,13.371,13.500,19.918,10.518
08/18/21 16:00:00,13.520,13.672,19.300,10.566
08/18/21 16:15:00,13.631,13.795,18.328,10.589
08/18/21 16:30:00,13.700,13.787,16.674,10.531
08/18/21 16:45:00,13.732,13.726,15.599,10.444
08/18/21 17:00:00,13.756,13.669,14.616,10.407
08/18/21 17:15:00,13.775,13.626,14.000,10.378
08/18/21 17:30:00,13.793,13.623,14.011,10.352
08/18/21 17:45:00,13.808,13.619,13.912,10.340
08/18/21 18:00:00,13.825,13.625,13.868,10.331
08/18/21 18:15:00,13.841,13.623,13.799,10.326
08/18/21 18:30:00,13.856,13.611,13.485,10.320
08/18/21 18:45:00,13.861,13.586,12.929,10.299
08/18/21 19:00:00,13.856,13.542,12.260,10.277
08/18/21 19:15:00,13.846,13.493,11.812,10.262
08/18/21 19:30:00,13.826,13.434,11.452,10.250
08/18/21 19:45:00,13.808,13.380,11.073,10.233
08/18/21 20:00:00,13.790,13.326,10.904,10.221
08/18/21 20:15:00,13.769,13.282,10.701,10.231
08/18/21 20:30:00,13.748,13.239,10.507,10.225
08/18/21 20:45:00,13.724,13.189,10.360,10.210
08/18/21 21:00:00,13.699,13.138,10.237,10.207
08/18/21 21:15:00,13.670,13.084,10.121,10.198
08/18/21 21:30:00,13.635,13.022,9.857,10.187
08/18/21 21:45:00,13.601,12.960,9.818,10.173
08/18/21 22:00:00,13.565,12.895,9.680,10.161
08/18/21 22:15:00,13.527,12.826,9.538,10.145
08/18/21 22:30:00,13.487,12.760,9.305,10.132
08/18/21 22:45:00,13.446,12.689,9.162,10.116
08/18/21 23:00:00,13.401,12.613,8.894,10.098
08/18/21 23:15:00,13.351,12.532,8.663,10.081
08/18/21 23:30:00,13.302,12.452,8.478,10.063
08/18/21 23:45:00,13.246,12.364,8.229,10.043
08/19/21 00:00:00,13.192,12.276,8.062,10.024
08/19/21 00:15:00,13.135,12.190,7.879,10.006
08/19/21 00:30:00,13.075,12.095,7.600,9.998
08/19/21 00:45:00,13.013,11.993,7.330,9.964
08/19/21 01:00:00,12.950,11.906,7.281,9.943
08/19/21 01:15:00,12.888,11.819,7.118,9.921
08/19/21 01:30:00,12.825,11.728,6.927,9.900
08/19/21 01:45:00,12.761,11.643,6.818,9.878
08/19/21 02:00:00,12.695,11.554,6.622,9.852
08/19/21 02:15:00,12.625,11.463,6.480,9.832
08/19/21 02:30:00,12.547,11.365,6.215,9.806
08/19/21 02:45:00,12.468,11.269,6.029,9.780
08/19/21 03:00:00,12.394,11.178,5.882,9.749
08/19/21 03:15:00,12.326,11.094,5.811,9.726
08/19/21 03:30:00,12.254,11.006,5.715,9.697
08/19/21 03:45:00,12.178,10.916,5.566,9.675
08/19/21 04:00:00,12.101,10.822,5.417,9.651
08/19/21 04:15:00,12.021,10.721,5.239,9.628
08/19/21 04:30:00,11.947,10.631,5.144,9.598
08/19/21 04:45:00,11.862,10.527,4.974,9.577
08/19/21 05:00:00,11.778,10.429,4.787,9.535
08/19/21 05:15:00,11.698,10.332,4.581,9.512
08/19/21 05:30:00,11.616,10.231,4.459,9.480
08/19/21 05:45:00,11.535,10.135,4.360,9.443
08/19/21 06:00:00,11.458,10.040,4.215,9.427
