"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658680, LBL: Tint)","HR, % (SEN S/N: 20658680, LBL: HR)","Intensidad, lux (SEN S/N: 20658680, LBL: Luz)"
02/12/21 09:53:00,14.792,60.121,894.8
02/12/21 10:08:00,14.553,60.350,713.5
02/12/21 10:23:00,14.721,60.854,1202.3
02/12/21 10:38:00,15.127,60.085,674.1
02/12/21 10:53:00,15.461,59.211,1107.7
02/12/21 11:08:00,15.796,58.060,981.5
02/12/21 11:23:00,16.010,57.731,981.5
02/12/21 11:38:00,16.129,57.931,784.4
02/12/21 11:53:00,16.296,57.564,800.2
02/12/21 12:08:00,16.463,57.317,689.8
02/12/21 12:23:00,16.630,56.493,800.2
02/12/21 12:38:00,16.892,55.435,611.0
02/12/21 12:53:00,16.939,54.678,784.4
02/12/21 13:08:00,16.868,53.748,863.3
02/12/21 13:23:00,17.701,53.652,863.3
02/12/21 13:38:00,19.341,49.306,697.7
02/12/21 13:53:00,19.817,47.667,721.4
02/12/21 14:08:00,19.603,48.775,1139.2
02/12/21 14:23:00,19.722,48.664,721.4
02/12/21 14:38:00,19.912,46.919,674.1
02/12/21 14:53:00,20.150,46.282,816.0
02/12/21 15:08:00,20.436,44.532,1289.0
02/12/21 15:23:00,19.865,44.560,453.3
02/12/21 15:38:00,18.675,46.796,319.3
02/12/21 15:53:00,17.486,49.718,303.5
02/12/21 16:08:00,16.606,53.403,264.1
02/12/21 16:23:00,16.630,54.081,216.8
02/12/21 16:38:00,16.392,54.934,161.6
02/12/21 16:53:00,16.010,55.061,161.6
02/12/21 17:08:00,15.724,56.083,138.0
02/12/21 17:23:00,15.509,56.263,106.4
02/12/21 17:38:00,15.438,57.371,90.7
02/12/21 17:53:00,15.342,57.507,67.0
02/12/21 18:08:00,15.294,56.987,51.2
02/12/21 18:23:00,15.031,57.459,43.4
02/12/21 18:38:00,14.721,57.983,11.8
02/12/21 18:53:00,14.314,58.849,3.9
02/12/21 19:08:00,14.146,59.659,11.8
02/12/21 19:23:00,14.122,59.774,3.9
02/12/21 19:38:00,14.074,60.540,43.4
02/12/21 19:53:00,14.194,59.935,3.9
02/12/21 20:08:00,14.098,60.128,3.9
02/12/21 20:23:00,14.098,60.217,3.9
02/12/21 20:38:00,14.026,60.294,3.9
02/12/21 20:53:00,13.954,60.461,3.9
02/12/21 21:08:00,13.978,60.406,3.9
02/12/21 21:23:00,13.954,60.342,3.9
02/12/21 21:38:00,13.834,60.323,3.9
02/12/21 21:53:00,13.714,60.036,3.9
02/12/21 22:08:00,13.594,59.867,3.9
02/12/21 22:23:00,13.546,59.860,3.9
02/12/21 22:38:00,13.449,59.785,3.9
