"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658680, LBL: Tint)","HR, % (SEN S/N: 20658680, LBL: HR)","Intensidad, lux (SEN S/N: 20658680, LBL: Luz)"
08/16/21 18:00:00,13.834,47.651,43.4
08/16/21 18:15:00,13.040,45.902,35.5
08/16/21 18:30:00,12.461,45.113,35.5
08/16/21 18:45:00,12.001,44.776,35.5
08/16/21 19:00:00,11.734,45.055,35.5
08/16/21 19:15:00,11.492,44.807,35.5
08/16/21 19:30:00,11.248,44.964,35.5
08/16/21 19:45:00,11.127,45.384,35.5
08/16/21 20:00:00,11.005,45.027,43.4
08/16/21 20:15:00,10.810,45.220,3.9
08/16/21 20:30:00,10.541,45.744,3.9
08/16/21 20:45:00,10.247,46.047,3.9
08/16/21 21:00:00,10.124,46.680,3.9
08/16/21 21:15:00,10.026,47.098,3.9
08/16/21 21:30:00,9.829,47.410,3.9
08/16/21 21:45:00,9.583,47.562,3.9
08/16/21 22:00:00,9.460,47.945,3.9
08/16/21 22:15:00,9.312,48.078,3.9
08/16/21 22:30:00,9.163,48.486,3.9
08/16/21 22:45:00,9.139,48.514,3.9
08/16/21 23:00:00,9.040,48.317,3.9
08/16/21 23:15:00,8.866,48.233,3.9
08/16/21 23:30:00,8.668,47.902,3.9
08/16/21 23:45:00,8.494,48.062,3.9
08/17/21 00:00:00,8.394,48.171,3.9
08/17/21 00:15:00,8.145,48.320,3.9
08/17/21 00:30:00,7.970,48.297,3.9
08/17/21 00:45:00,8.020,48.121,3.9
08/17/21 01:00:00,8.020,47.572,3.9
08/17/21 01:15:00,7.820,47.577,3.9
08/17/21 01:30:00,7.695,47.591,3.9
08/17/21 01:45:00,7.594,47.547,3.9
08/17/21 02:00:00,7.469,47.500,3.9
08/17/21 02:15:00,7.419,47.494,3.9
08/17/21 02:30:00,7.368,46.938,3.9
08/17/21 02:45:00,7.242,46.922,3.9
08/17/21 03:00:00,7.091,47.024,3.9
08/17/21 03:15:00,7.015,47.197,3.9
08/17/21 03:30:00,6.864,47.177,3.9
08/17/21 03:45:00,6.763,46.829,3.9
08/17/21 04:00:00,6.661,46.664,3.9
08/17/21 04:15:00,6.509,46.217,3.9
08/17/21 04:30:00,6.382,45.896,3.9
08/17/21 04:45:00,6.331,45.584,3.9
08/17/21 05:00:00,6.306,45.672,3.9
08/17/21 05:15:00,6.230,45.754,3.9
08/17/21 05:30:00,6.102,45.555,3.9
08/17/21 05:45:00,6.000,45.420,3.9
08/17/21 06:00:00,6.000,45.114,3.9
08/17/21 06:15:00,6.026,44.903,27.6
08/17/21 06:30:00,6.026,44.658,67.0
08/17/21 06:45:00,6.051,44.324,114.3
08/17/21 07:00:00,6.204,43.974,603.1
08/17/21 07:15:00,6.509,43.704,626.8
08/17/21 07:30:00,6.940,43.325,886.9
08/17/21 07:45:00,7.393,43.008,1036.7
08/17/21 08:00:00,7.845,42.504,1115.6
08/17/21 08:15:00,8.245,41.431,1170.7
08/17/21 08:30:00,8.693,40.733,1281.1
08/17/21 08:45:00,9.163,40.096,1312.6
08/17/21 09:00:00,9.657,39.522,1336.3
08/17/21 09:15:00,10.222,38.604,1304.8
08/17/21 09:30:00,10.810,36.569,1265.3
08/17/21 09:45:00,11.492,35.069,1312.6
08/17/21 10:00:00,12.268,31.847,1257.5
08/17/21 10:15:00,12.823,29.938,1186.5
08/17/21 10:30:00,13.112,31.597,1107.7
08/17/21 10:45:00,13.209,33.167,1020.9
08/17/21 11:00:00,13.137,34.520,942.1
08/17/21 11:15:00,13.161,32.513,855.4
08/17/21 11:30:00,13.040,30.807,760.8
08/17/21 11:45:00,12.992,30.411,752.9
08/17/21 12:00:00,12.920,30.862,658.3
08/17/21 12:15:00,12.871,31.054,658.3
08/17/21 12:30:00,13.040,31.949,642.5
08/17/21 12:45:00,13.305,32.786,642.5
08/17/21 13:00:00,13.257,33.301,618.9
08/17/21 13:15:00,13.233,33.493,603.1
08/17/21 13:30:00,13.185,34.137,595.2
08/17/21 13:45:00,13.209,34.139,705.6
08/17/21 14:00:00,13.281,34.857,768.7
08/17/21 14:15:00,13.425,36.128,871.2
08/17/21 14:30:00,13.666,37.213,926.3
08/17/21 14:45:00,13.858,35.753,926.3
08/17/21 15:00:00,13.834,35.492,965.8
08/17/21 15:15:00,13.714,37.795,1020.9
08/17/21 15:30:00,13.882,39.028,879.0
08/17/21 15:45:00,13.930,38.970,973.6
08/17/21 16:00:00,14.026,40.478,855.4
08/17/21 16:15:00,13.834,41.123,934.2
08/17/21 16:30:00,13.522,41.405,571.6
08/17/21 16:45:00,12.364,42.094,122.2
08/17/21 17:00:00,11.200,45.424,90.7
08/17/21 17:15:00,10.907,49.300,43.4
08/17/21 17:30:00,10.565,54.467,3.9
08/17/21 17:45:00,10.369,56.144,3.9
08/17/21 18:00:00,10.443,56.095,3.9
08/17/21 18:15:00,10.687,55.025,3.9
08/17/21 18:30:00,13.016,50.751,35.5
08/17/21 18:45:00,15.199,44.318,3.9
08/17/21 19:00:00,15.819,41.411,3.9
08/17/21 19:15:00,15.079,40.244,3.9
08/17/21 19:30:00,14.601,39.074,3.9
08/17/21 19:45:00,14.385,37.512,3.9
08/17/21 20:00:00,14.218,35.853,3.9
08/17/21 20:15:00,14.026,34.541,3.9
08/17/21 20:30:00,13.906,33.427,3.9
08/17/21 20:45:00,13.834,33.160,3.9
08/17/21 21:00:00,13.690,32.170,11.8
08/17/21 21:15:00,13.570,31.507,3.9
08/17/21 21:30:00,13.473,30.780,3.9
08/17/21 21:45:00,13.329,30.375,3.9
08/17/21 22:00:00,13.185,30.526,3.9
08/17/21 22:15:00,12.992,30.738,3.9
08/17/21 22:30:00,12.847,30.660,3.9
08/17/21 22:45:00,12.703,30.549,3.9
08/17/21 23:00:00,12.582,30.376,3.9
08/17/21 23:15:00,12.292,29.926,3.9
08/17/21 23:30:00,12.098,29.942,3.9
08/17/21 23:45:00,11.832,29.724,3.9
08/18/21 00:00:00,11.637,29.707,3.9
08/18/21 00:15:00,11.540,29.568,3.9
08/18/21 00:30:00,11.419,29.525,3.9
08/18/21 00:45:00,11.224,29.215,3.9
08/18/21 01:00:00,10.980,28.933,3.9
08/18/21 01:15:00,10.785,28.852,3.9
08/18/21 01:30:00,10.663,28.777,3.9
08/18/21 01:45:00,10.516,28.960,3.9
08/18/21 02:00:00,10.369,28.752,3.9
08/18/21 02:15:00,10.149,28.799,3.9
08/18/21 02:30:00,10.026,28.659,3.9
08/18/21 02:45:00,9.780,28.378,3.9
08/18/21 03:00:00,9.558,28.294,3.9
08/18/21 03:15:00,9.386,28.248,3.9
08/18/21 03:30:00,9.139,27.934,3.9
08/18/21 03:45:00,8.965,27.790,3.9
08/18/21 04:00:00,8.742,27.935,3.9
