"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664781, LBL: Pared Norte)","Temp, °C (SEN S/N: 20664781, LBL: Pared Este)","Temp, °C (SEN S/N: 20664781, LBL: Techo)","Temp, °C (SEN S/N: 20664781, LBL: Piso)"
12/07/22 11:00:00,13.494,13.524,17.119,12.675
12/07/22 11:15:00,13.512,13.502,16.034,12.645
12/07/22 11:30:00,13.539,13.503,14.995,12.631
12/07/22 11:45:00,13.574,13.563,16.178,12.686
12/07/22 12:00:00,13.640,13.708,18.955,12.757
12/07/22 12:15:00,13.705,13.811,20.120,12.769
12/07/22 12:30:00,13.753,13.835,18.247,12.755
12/07/22 12:45:00,13.786,13.846,16.987,12.758
12/07/22 13:00:00,13.820,13.850,16.649,12.746
12/07/22 13:15:00,13.847,13.840,15.936,12.743
12/07/22 13:30:00,13.871,13.847,15.599,12.737
12/07/22 13:45:00,13.900,13.876,15.694,12.755
12/07/22 14:00:00,13.945,13.952,16.714,12.769
12/07/22 14:15:00,13.981,13.987,16.341,12.764
12/07/22 14:30:00,14.014,14.023,16.220,12.775
12/07/22 14:45:00,14.042,14.038,16.129,12.763
12/07/22 15:00:00,14.060,14.017,15.343,12.730
12/07/22 15:15:00,14.071,13.994,15.019,12.725
12/07/22 15:30:00,14.080,13.987,14.957,12.728
12/07/22 15:45:00,14.102,14.014,15.133,12.722
12/07/22 16:00:00,14.114,14.084,15.894,12.793
12/07/22 16:15:00,14.135,14.117,16.673,12.788
12/07/22 16:30:00,14.173,14.252,17.422,12.817
12/07/22 16:45:00,14.204,14.280,17.033,12.791
12/07/22 17:00:00,14.216,14.213,15.427,12.746
12/07/22 17:15:00,14.274,14.276,14.595,12.840
12/07/22 17:30:00,14.340,14.334,14.379,12.879
12/07/22 17:45:00,14.391,14.369,14.132,12.909
12/07/22 18:00:00,14.396,14.316,13.657,12.784
12/07/22 18:15:00,14.381,14.247,13.206,12.821
12/07/22 18:30:00,14.393,14.225,13.115,12.867
12/07/22 18:45:00,14.399,14.203,13.067,12.883
12/07/22 19:00:00,14.400,14.183,13.079,12.892
12/07/22 19:15:00,14.397,14.165,13.054,12.901
12/07/22 19:30:00,14.391,14.146,12.951,12.907
12/07/22 19:45:00,14.384,14.123,12.782,12.910
12/07/22 20:00:00,14.372,14.095,12.403,12.912
12/07/22 20:15:00,14.354,14.057,11.933,12.912
12/07/22 20:30:00,14.334,14.015,11.429,12.909
12/07/22 20:45:00,14.309,13.967,11.052,12.904
12/07/22 21:00:00,14.280,13.919,10.741,12.900
12/07/22 21:15:00,14.250,13.868,10.560,12.895
12/07/22 21:30:00,14.219,13.822,10.406,12.889
12/07/22 21:45:00,14.186,13.775,10.257,12.883
12/07/22 22:00:00,14.152,13.726,10.087,12.876
12/07/22 22:15:00,14.116,13.678,9.989,12.868
12/07/22 22:30:00,14.078,13.629,9.891,12.859
12/07/22 22:45:00,14.042,13.581,9.838,12.852
12/07/22 23:00:00,14.003,13.532,9.748,12.841
