"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664781, LBL: Pared Norte)","Temp, °C (SEN S/N: 20664781, LBL: Pared Este)","Temp, °C (SEN S/N: 20664781, LBL: Techo)","Temp, °C (SEN S/N: 20664781, LBL: Piso)"
11/08/19 08:15:00,11.152,10.507,12.971,10.337
11/08/19 08:30:00,11.167,10.537,13.225,10.361
11/08/19 08:45:00,11.166,10.513,13.356,10.363
11/08/19 09:00:00,11.177,10.545,13.961,10.372
11/08/19 09:15:00,11.192,10.592,14.373,10.394
11/08/19 09:30:00,11.212,10.654,14.821,10.413
11/08/19 09:45:00,11.239,10.721,14.906,10.438
11/08/19 10:00:00,11.271,10.786,15.033,10.449
11/08/19 10:15:00,11.301,10.846,15.118,10.466
11/08/19 10:30:00,11.326,10.886,15.317,10.466
11/08/19 10:45:00,11.344,10.896,14.240,10.470
11/08/19 11:00:00,11.385,11.009,15.652,10.521
11/08/19 11:15:00,11.456,11.189,17.785,10.573
11/08/19 11:30:00,11.573,11.400,19.019,10.643
11/08/19 11:45:00,11.678,11.570,19.340,10.683
11/08/19 12:00:00,11.759,11.622,16.643,10.738
11/08/19 12:15:00,11.790,11.646,15.982,10.733
11/08/19 12:30:00,11.839,11.699,15.746,10.771
11/08/19 12:45:00,11.875,11.733,15.900,10.765
11/08/19 13:00:00,11.880,11.692,14.328,10.751
11/08/19 13:15:00,11.884,11.630,13.260,10.713
11/08/19 13:30:00,11.889,11.567,12.310,10.675
11/08/19 13:45:00,11.897,11.517,11.519,10.663
11/08/19 14:00:00,11.898,11.460,10.956,10.641
11/08/19 14:15:00,11.910,11.422,10.960,10.628
11/08/19 14:30:00,11.928,11.400,10.953,10.620
11/08/19 14:45:00,11.943,11.382,10.918,10.617
11/08/19 15:00:00,11.963,11.377,11.131,10.611
11/08/19 15:15:00,11.975,11.359,11.193,10.602
11/08/19 15:30:00,11.969,11.323,10.890,10.585
11/08/19 15:45:00,11.984,11.307,10.962,10.583
11/08/19 16:00:00,11.990,11.280,10.820,10.576
11/08/19 16:15:00,11.998,11.269,10.857,10.565
11/08/19 16:30:00,12.004,11.262,10.898,10.551
11/08/19 16:45:00,12.009,11.259,11.062,10.560
11/08/19 17:00:00,12.013,11.245,10.951,10.557
11/08/19 17:15:00,12.015,11.216,10.507,10.551
11/08/19 17:30:00,12.012,11.186,10.124,10.544
11/08/19 17:45:00,12.004,11.151,9.934,10.536
11/08/19 18:00:00,11.993,11.117,9.846,10.527
11/08/19 18:15:00,11.983,11.087,9.772,10.521
11/08/19 18:30:00,11.972,11.062,9.761,10.514
11/08/19 18:45:00,11.959,11.038,9.654,10.507
11/08/19 19:00:00,11.937,11.000,9.356,10.498
11/08/19 19:15:00,11.909,10.950,9.121,10.476
11/08/19 19:30:00,11.872,10.889,8.906,10.449
11/08/19 19:45:00,11.839,10.838,8.736,10.432
11/08/19 20:00:00,11.810,10.793,8.619,10.417
11/08/19 20:15:00,11.789,10.760,8.557,10.413
11/08/19 20:30:00,11.769,10.728,8.492,10.404
11/08/19 20:45:00,11.749,10.696,8.442,10.398
11/08/19 21:00:00,11.731,10.670,8.465,10.392
11/08/19 21:15:00,11.712,10.640,8.507,10.381
11/08/19 21:30:00,11.684,10.603,8.515,10.368
11/08/19 21:45:00,11.661,10.569,8.475,10.357
11/08/19 22:00:00,11.640,10.537,8.386,10.343
11/08/19 22:15:00,11.619,10.504,8.126,10.334
11/08/19 22:30:00,11.598,10.469,7.768,10.329
11/08/19 22:45:00,11.575,10.427,7.522,10.309
11/08/19 23:00:00,11.551,10.389,7.448,10.299
11/08/19 23:15:00,11.517,10.343,7.447,10.282
11/08/19 23:30:00,11.485,10.302,7.582,10.270
11/08/19 23:45:00,11.450,10.257,7.545,10.250
11/09/19 00:00:00,11.418,10.216,7.390,10.234
11/09/19 00:15:00,11.388,10.175,7.236,10.219
11/09/19 00:30:00,11.362,10.141,7.214,10.211
11/09/19 00:45:00,11.336,10.110,7.220,10.202
11/09/19 01:00:00,11.311,10.075,7.066,10.188
11/09/19 01:15:00,11.282,10.030,6.745,10.171
11/09/19 01:30:00,11.250,9.981,6.474,10.147
11/09/19 01:45:00,11.219,9.931,6.290,10.119
11/09/19 02:00:00,11.183,9.872,6.142,10.090
11/09/19 02:15:00,11.142,9.809,6.011,10.056
11/09/19 02:30:00,11.105,9.765,5.957,10.052
11/09/19 02:45:00,11.070,9.717,5.885,10.026
11/09/19 03:00:00,11.035,9.674,5.832,10.012
11/09/19 03:15:00,11.000,9.624,5.707,9.986
11/09/19 03:30:00,10.960,9.572,5.528,9.963
11/09/19 03:45:00,10.922,9.523,5.441,9.949
11/09/19 04:00:00,10.884,9.470,5.414,9.920
11/09/19 04:15:00,10.844,9.421,5.362,9.895
11/09/19 04:30:00,10.805,9.370,5.308,9.883
11/09/19 04:45:00,10.765,9.319,5.245,9.861
11/09/19 05:00:00,10.727,9.274,5.181,9.841
11/09/19 05:15:00,10.687,9.227,5.174,9.814
11/09/19 05:30:00,10.652,9.189,5.258,9.801
11/09/19 05:45:00,10.620,9.165,5.375,9.805
11/09/19 06:00:00,10.597,9.160,5.699,9.811
