"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20658680, LBL: Tint)","HR, % (SEN S/N: 20658680, LBL: HR)","Intensidad, lux (SEN S/N: 20658680, LBL: Luz)"
12/07/22 11:00:00,22.250,40.610,240.5
12/07/22 11:15:00,17.605,44.226,130.1
12/07/22 11:30:00,16.225,46.990,240.5
12/07/22 11:45:00,16.153,48.450,587.3
12/07/22 12:00:00,16.796,48.253,674.1
12/07/22 12:15:00,17.225,47.839,382.4
12/07/22 12:30:00,17.106,47.384,145.8
12/07/22 12:45:00,16.868,47.668,256.2
12/07/22 13:00:00,16.749,47.715,224.7
12/07/22 13:15:00,16.487,48.150,185.3
12/07/22 13:30:00,16.368,48.416,256.2
12/07/22 13:45:00,16.392,48.513,421.8
12/07/22 14:00:00,16.654,48.078,311.4
12/07/22 14:15:00,16.630,48.013,366.6
12/07/22 14:30:00,16.606,48.447,279.9
12/07/22 14:45:00,16.511,48.871,618.9
12/07/22 15:00:00,16.249,49.148,145.8
12/07/22 15:15:00,16.058,49.776,145.8
12/07/22 15:30:00,15.986,49.859,800.2
12/07/22 15:45:00,16.034,50.083,153.7
12/07/22 16:00:00,16.320,49.096,855.4
12/07/22 16:15:00,16.582,48.131,492.7
12/07/22 16:30:00,17.153,46.951,224.7
12/07/22 16:45:00,17.082,46.313,114.3
12/07/22 17:00:00,16.463,47.052,59.1
12/07/22 17:15:00,16.487,48.338,106.4
12/07/22 17:30:00,16.606,48.572,67.0
12/07/22 17:45:00,16.582,49.068,51.2
12/07/22 18:00:00,16.225,48.678,35.5
12/07/22 18:15:00,15.748,49.548,3.9
12/07/22 18:30:00,15.605,49.684,3.9
12/07/22 18:45:00,15.557,49.554,3.9
12/07/22 19:00:00,15.509,49.454,3.9
12/07/22 19:15:00,15.461,49.355,3.9
12/07/22 19:30:00,15.390,49.314,3.9
12/07/22 19:45:00,15.318,49.243,3.9
12/07/22 20:00:00,15.199,49.258,3.9
12/07/22 20:15:00,15.031,49.360,3.9
12/07/22 20:30:00,14.840,49.520,3.9
12/07/22 20:45:00,14.649,49.618,3.9
12/07/22 21:00:00,14.481,49.719,3.9
12/07/22 21:15:00,14.337,49.762,3.9
12/07/22 21:30:00,14.218,49.776,3.9
12/07/22 21:45:00,14.122,49.733,3.9
12/07/22 22:00:00,14.002,49.778,3.9
12/07/22 22:15:00,13.906,49.734,3.9
12/07/22 22:30:00,13.810,49.721,3.9
12/07/22 22:45:00,13.738,49.712,3.9
12/07/22 23:00:00,13.642,49.699,3.9
12/07/22 23:15:00,13.570,49.720,3.9
12/07/22 23:30:00,13.497,49.649,3.9
12/07/22 23:45:00,13.425,49.639,3.9
12/08/22 00:00:00,13.185,49.914,3.9
12/08/22 00:15:00,13.112,49.966,3.9
12/08/22 00:30:00,13.112,49.781,3.9
12/08/22 00:45:00,13.064,49.652,3.9
12/08/22 01:00:00,13.016,49.553,3.9
12/08/22 01:15:00,12.920,49.571,3.9
12/08/22 01:30:00,12.847,49.653,3.9
12/08/22 01:45:00,12.823,49.619,3.9
12/08/22 02:00:00,12.727,49.699,3.9
12/08/22 02:15:00,12.678,49.723,3.9
12/08/22 02:30:00,12.606,49.744,3.9
12/08/22 02:45:00,12.509,49.823,3.9
12/08/22 03:00:00,12.413,49.933,3.9
12/08/22 03:15:00,12.316,49.981,3.9
12/08/22 03:30:00,12.243,49.971,3.9
12/08/22 03:45:00,12.147,49.897,3.9
12/08/22 04:00:00,12.050,49.853,3.9
12/08/22 04:15:00,11.977,49.782,3.9
12/08/22 04:30:00,11.929,49.775,3.9
12/08/22 04:45:00,11.880,49.707,3.9
12/08/22 05:00:00,11.856,49.643,3.9
12/08/22 05:15:00,11.832,49.670,3.9
12/08/22 05:30:00,11.832,49.639,3.9
12/08/22 05:45:00,11.856,49.612,19.7
12/08/22 06:00:00,11.880,49.523,51.2
12/08/22 06:15:00,11.953,49.410,51.2
12/08/22 06:30:00,12.025,49.328,67.0
12/08/22 06:45:00,12.122,49.156,153.7
12/08/22 07:00:00,12.292,48.841,153.7
12/08/22 07:15:00,12.461,48.555,177.4
12/08/22 07:30:00,12.630,48.330,145.8
12/08/22 07:45:00,12.775,48.102,208.9
12/08/22 08:00:00,12.968,48.869,279.9
12/08/22 08:15:00,13.064,48.727,461.2
12/08/22 08:30:00,13.497,48.073,374.5
12/08/22 08:45:00,13.666,46.136,327.2
12/08/22 09:00:00,13.834,46.220,477.0
12/08/22 09:15:00,14.194,46.764,571.6
12/08/22 09:30:00,14.864,47.317,240.5
12/08/22 09:45:00,15.629,47.509,279.9
12/08/22 10:00:00,15.366,45.062,886.9
12/08/22 10:15:00,15.557,45.526,839.6
12/08/22 10:30:00,16.201,46.799,650.4
12/08/22 10:45:00,16.796,46.843,469.1
12/08/22 11:00:00,17.510,45.924,634.6
12/08/22 11:15:00,17.463,45.160,563.7
12/08/22 11:30:00,17.819,45.045,406.0
12/08/22 11:45:00,17.962,45.316,98.5
12/08/22 12:00:00,17.677,46.071,287.8
12/08/22 12:15:00,17.558,46.750,208.9
12/08/22 12:30:00,17.534,46.527,642.5
12/08/22 12:45:00,18.033,45.989,721.4
12/08/22 13:00:00,18.913,44.796,516.4
12/08/22 13:15:00,19.365,43.478,406.0
12/08/22 13:30:00,17.677,47.080,540.0
12/08/22 13:45:00,19.008,44.139,1076.1
12/08/22 14:00:00,20.341,42.243,500.6
12/08/22 14:15:00,20.412,41.638,792.3
12/08/22 14:30:00,20.126,41.896,232.6
